number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.419338186396587,COMPLETE,2025-11-27 03:03:04.389473,2025-11-27 03:03:35.779198,0 days 00:00:31.389725,"[512, 256, 128, 64, 64, 64]",[],"[1, 2, 4, 5]",tanh,512,48,0.1,0.0005,,L2,6,AdamW,decreasing,,max,False,1e-05
1,0.44390180398691326,COMPLETE,2025-11-27 03:03:35.779198,2025-11-27 03:04:02.665133,0 days 00:00:26.885935,[896],[],[],tanh,896,16,,0.0001,,minmax,1,AdamW,decreasing,,mean,False,0.0
2,0.3309143686502177,PRUNED,2025-11-27 03:04:02.667138,2025-11-27 03:04:04.103247,0 days 00:00:01.436109,[1024],[],[],elu,1024,96,,0.0005,,minmax,1,AdamW,increasing,0.5,mean,True,1e-06
3,0.21758419036095988,COMPLETE,2025-11-27 03:04:04.104250,2025-11-27 03:04:40.092267,0 days 00:00:35.988017,"[64, 64, 96, 192]","[1, 2, 3]","[1, 2, 3]",silu,192,16,0.4,0.0005,0.7,L2,4,SGD,increasing,,max,False,1e-05
4,0.4212246815152188,COMPLETE,2025-11-27 03:04:40.092267,2025-11-27 03:04:50.404744,0 days 00:00:10.312477,"[96, 192, 384]",[1],[],tanh,384,128,,5e-05,,minmax,3,Adam,increasing,,mean,False,1e-05
5,0.28055407423811607,COMPLETE,2025-11-27 03:04:50.404744,2025-11-27 03:04:58.127671,0 days 00:00:07.722927,[256],[],[],silu,256,64,,1e-05,0.7,minmax,1,SGD,decreasing,0.6,mean,True,0.0
6,0.21637426900584797,PRUNED,2025-11-27 03:04:58.129677,2025-11-27 03:05:08.545586,0 days 00:00:10.415909,"[192, 192, 192, 192, 192]","[1, 2, 4]","[1, 4]",elu,192,96,0.4,0.0005,,minmax,5,Adam,uniform,,mean,False,1e-06
7,0.28518518518518515,PRUNED,2025-11-27 03:05:08.545586,2025-11-27 03:05:10.857766,0 days 00:00:02.312180,[512],[],[],relu,512,32,,0.0005,0.0,minmax,1,SGD,decreasing,0.9,max,True,0.0
8,0.1761006289308176,PRUNED,2025-11-27 03:05:10.857766,2025-11-27 03:05:12.264587,0 days 00:00:01.406821,"[512, 256]",[],[1],leakyrelu,512,128,0.1,2e-05,,L2,2,RMSprop,decreasing,0.9,max,True,1e-05
9,0.21238938053097345,PRUNED,2025-11-27 03:05:12.280257,2025-11-27 03:05:44.795775,0 days 00:00:32.515518,"[512, 512, 512, 512, 512]",[4],"[2, 3]",tanh,512,16,0.5,1e-05,,minmax,5,RMSprop,uniform,0.7,max,True,1e-06
10,0.4281345688997743,COMPLETE,2025-11-27 03:05:44.795775,2025-11-27 03:06:16.248831,0 days 00:00:31.453056,"[896, 448, 224]",[2],[],gelu,896,16,,0.0001,,L2,3,AdamW,decreasing,,mean,False,0.0001
11,0.21637426900584797,PRUNED,2025-11-27 03:06:16.248831,2025-11-27 03:06:34.835148,0 days 00:00:18.586317,"[896, 448, 224]",[2],[],gelu,896,16,,0.0001,,L2,3,AdamW,decreasing,,mean,False,0.0001
12,0.32717244616558117,PRUNED,2025-11-27 03:06:34.836150,2025-11-27 03:06:39.988947,0 days 00:00:05.152797,"[896, 448]",[],[],gelu,896,16,,0.0001,,L2,2,AdamW,decreasing,,mean,False,0.0001
13,0.4549757190847551,COMPLETE,2025-11-27 03:06:39.989949,2025-11-27 03:07:12.388855,0 days 00:00:32.398906,"[896, 448]",[],[],leakyrelu,896,16,,0.0002,,L2,2,AdamW,decreasing,,mean,False,1e-07
14,0.21839080459770113,PRUNED,2025-11-27 03:07:12.388855,2025-11-27 03:07:15.608417,0 days 00:00:03.219562,"[640, 320]",[1],[],leakyrelu,640,32,,0.0002,,minmax,2,AdamW,decreasing,,mean,False,1e-07
15,0.21238938053097345,PRUNED,2025-11-27 03:07:15.608417,2025-11-27 03:07:24.065598,0 days 00:00:08.457181,"[128, 128]",[],[],leakyrelu,128,48,,0.0002,,L2,2,AdamW,uniform,,mean,False,1e-07
16,0.41635641108793997,COMPLETE,2025-11-27 03:07:24.066601,2025-11-27 03:07:33.498643,0 days 00:00:09.432042,[768],[],[],relu,768,64,,0.001,,L2,1,AdamW,decreasing,,mean,False,1e-07
17,0.2964396284829722,PRUNED,2025-11-27 03:07:33.498643,2025-11-27 03:07:38.545848,0 days 00:00:05.047205,"[896, 448]",[],[],tanh,896,16,,0.0002,,minmax,2,RMSprop,decreasing,,mean,False,0.0
18,0.3886878109452736,PRUNED,2025-11-27 03:07:38.545848,2025-11-27 03:07:56.889045,0 days 00:00:18.343197,"[896, 896, 896, 896]","[1, 3]","[1, 2, 3]",leakyrelu,896,16,0.2,5e-05,,minmax,4,Adam,uniform,,mean,False,1e-07
19,0.21839080459770113,PRUNED,2025-11-27 03:07:56.889045,2025-11-27 03:07:59.077250,0 days 00:00:02.188205,[256],[],[],tanh,256,16,,2e-05,,L2,1,AdamW,increasing,,mean,False,0.0
