number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.38417480204609655,COMPLETE,2025-11-27 03:12:09.640016,2025-11-27 03:12:16.076693,0 days 00:00:06.436677,"[64, 128]",[],[],gelu,128,128,,0.001,,minmax,2,AdamW,increasing,,max,False,0.0
1,0.3630505505505506,PRUNED,2025-11-27 03:12:16.076693,2025-11-27 03:12:19.920656,0 days 00:00:03.843963,"[160, 320, 640]",[2],[2],gelu,640,32,0.3,0.0002,,minmax,3,AdamW,increasing,0.5,max,True,0.0
2,0.21839080459770113,PRUNED,2025-11-27 03:12:19.920656,2025-11-27 03:12:22.451599,0 days 00:00:02.530943,"[512, 256, 128, 64, 64, 64]",[3],"[2, 3, 5]",gelu,512,32,0.4,5e-05,,L2,6,RMSprop,decreasing,,mean,False,1e-07
3,0.32852720755946563,PRUNED,2025-11-27 03:12:22.451599,2025-11-27 03:12:24.473535,0 days 00:00:02.021936,"[896, 896, 896, 896, 896, 896]","[1, 2, 3, 5]","[2, 3, 4, 5]",relu,896,64,0.4,0.0001,,minmax,6,Adam,uniform,,max,False,0.0
4,0.24390800985995612,COMPLETE,2025-11-27 03:12:24.474537,2025-11-27 03:12:47.871740,0 days 00:00:23.397203,"[64, 64, 64, 64, 64, 128]","[3, 4, 5]","[1, 3, 5]",relu,128,48,0.4,0.0002,,minmax,6,AdamW,increasing,,mean,False,1e-07
5,0.220518045268499,COMPLETE,2025-11-27 03:12:47.873759,2025-11-27 03:13:02.608098,0 days 00:00:14.734339,"[448, 896]",[1],[],relu,896,32,,0.0005,0.9,L2,2,SGD,increasing,,max,False,1e-05
6,0.31544100709685585,COMPLETE,2025-11-27 03:13:02.608098,2025-11-27 03:13:12.818514,0 days 00:00:10.210416,"[192, 96]",[],[],relu,192,64,,0.001,,L2,2,RMSprop,decreasing,0.5,mean,True,1e-07
7,0.3868057174181202,COMPLETE,2025-11-27 03:13:12.820530,2025-11-27 03:13:21.279645,0 days 00:00:08.459115,"[640, 640, 640, 640]","[1, 3]",[2],silu,640,128,0.5,0.0001,,minmax,4,AdamW,uniform,0.8,mean,True,1e-05
8,0.2432783608195902,PRUNED,2025-11-27 03:13:21.281743,2025-11-27 03:13:22.221416,0 days 00:00:00.939673,"[768, 768]",[],[],gelu,768,64,,0.0005,,L2,2,AdamW,uniform,,max,False,1e-06
9,0.1761006289308176,PRUNED,2025-11-27 03:13:22.221416,2025-11-27 03:13:25.290667,0 days 00:00:03.069251,"[768, 768, 768]",[],[2],relu,768,96,0.2,0.0001,,L2,3,Adam,uniform,,max,False,0.0001
10,0.1865396232701259,COMPLETE,2025-11-27 03:13:25.291670,2025-11-27 03:13:33.858134,0 days 00:00:08.566464,"[640, 640, 640, 640]",[1],[1],silu,640,128,0.5,2e-05,0.7,minmax,4,SGD,uniform,0.8,mean,True,1e-05
11,0.34494001043296824,PRUNED,2025-11-27 03:13:33.858134,2025-11-27 03:13:35.514441,0 days 00:00:01.656307,"[64, 64, 64, 128]",[1],"[1, 2]",elu,128,128,0.5,0.001,,minmax,4,AdamW,increasing,0.8,mean,True,0.0
12,0.2382679536129436,COMPLETE,2025-11-27 03:13:35.514441,2025-11-27 03:13:40.488786,0 days 00:00:04.974345,[256],[],[],silu,256,128,,1e-05,,minmax,1,AdamW,uniform,0.6,max,True,1e-05
13,0.3927389137473171,PRUNED,2025-11-27 03:13:40.490791,2025-11-27 03:13:58.389777,0 days 00:00:17.898986,"[64, 128, 256, 512, 1024]","[1, 2, 3, 4]",[4],leakyrelu,1024,16,0.1,0.0001,,minmax,5,AdamW,increasing,0.9,mean,True,1e-06
14,0.362481438706484,PRUNED,2025-11-27 03:13:58.389777,2025-11-27 03:13:59.639214,0 days 00:00:01.249437,[384],[],[],tanh,384,128,,0.001,,minmax,1,AdamW,decreasing,,max,False,0.0001
