number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.22328874549080235,COMPLETE,2025-11-27 03:18:28.186857,2025-11-27 03:18:41.046199,0 days 00:00:12.859342,"[448, 896]",[1],[1],silu,896,48,0.5,1e-05,,minmax,2,AdamW,increasing,0.5,mean,True,0.0
1,0.3908135616220631,COMPLETE,2025-11-27 03:18:41.047205,2025-11-27 03:18:55.292372,0 days 00:00:14.245167,"[1024, 512, 256]","[1, 2]","[1, 2]",tanh,1024,64,0.3,2e-05,,L2,3,RMSprop,decreasing,0.5,max,True,1e-06
2,0.21758419036095988,COMPLETE,2025-11-27 03:18:55.294383,2025-11-27 03:19:03.024693,0 days 00:00:07.730310,"[64, 96, 192]",[],[1],tanh,192,96,0.3,5e-05,,L2,3,RMSprop,increasing,0.8,mean,True,1e-06
3,0.40372893260012627,COMPLETE,2025-11-27 03:19:03.026777,2025-11-27 03:20:12.232420,0 days 00:01:09.205643,"[1024, 512, 256, 128, 64, 64]",[5],"[1, 3]",elu,1024,16,0.4,1e-05,,minmax,6,Adam,decreasing,,max,False,1e-05
4,0.31359558316080055,PRUNED,2025-11-27 03:20:12.235437,2025-11-27 03:20:13.312168,0 days 00:00:01.076731,"[768, 768, 768, 768, 768]","[3, 4]",[1],tanh,768,128,0.1,0.0001,,minmax,5,RMSprop,uniform,,max,False,1e-06
5,0.1761006289308176,PRUNED,2025-11-27 03:20:13.313182,2025-11-27 03:20:14.427216,0 days 00:00:01.114034,"[256, 128, 64, 64]","[1, 2]","[1, 3]",leakyrelu,256,96,0.2,0.0005,0.0,minmax,4,SGD,decreasing,,max,False,1e-05
6,0.21621621621621623,PRUNED,2025-11-27 03:20:14.428720,2025-11-27 03:20:16.166160,0 days 00:00:01.737440,"[1024, 512, 256, 128]","[2, 3]",[1],relu,1024,128,0.5,1e-05,,L2,4,Adam,decreasing,,mean,False,0.0
7,0.3761317748640588,COMPLETE,2025-11-27 03:20:16.167166,2025-11-27 03:21:08.082681,0 days 00:00:51.915515,"[64, 64, 128, 256, 512, 1024]","[1, 2, 3]","[1, 4, 5]",gelu,1024,32,0.2,2e-05,,L2,6,Adam,increasing,0.5,max,True,1e-06
8,0.08333333333333333,PRUNED,2025-11-27 03:21:08.084693,2025-11-27 03:21:16.430011,0 days 00:00:08.345318,"[384, 192, 96]","[1, 2]","[1, 2]",relu,384,48,0.1,2e-05,0.0,minmax,3,SGD,decreasing,,mean,False,0.0001
9,0.26336184835855814,PRUNED,2025-11-27 03:21:16.431016,2025-11-27 03:21:19.816525,0 days 00:00:03.385509,"[128, 256, 512]",[],[],leakyrelu,512,16,,5e-05,,minmax,3,Adam,increasing,0.5,max,True,0.0
10,0.21839080459770113,PRUNED,2025-11-27 03:21:19.816525,2025-11-27 03:21:29.831727,0 days 00:00:10.015202,"[128, 128, 128, 128, 128, 128]",[5],"[2, 3]",elu,128,16,0.4,0.001,,minmax,6,AdamW,uniform,,max,False,1e-05
11,0.3963071985986689,COMPLETE,2025-11-27 03:21:29.832732,2025-11-27 03:21:40.141992,0 days 00:00:10.309260,[640],[],[],elu,640,64,,0.0002,,L2,1,RMSprop,decreasing,0.6,max,True,1e-07
12,0.4091036123950861,COMPLETE,2025-11-27 03:21:40.144003,2025-11-27 03:21:53.144487,0 days 00:00:13.000484,[640],[],[],elu,640,64,,0.0002,,L2,1,Adam,decreasing,0.6,max,True,1e-07
13,0.4121896385900284,COMPLETE,2025-11-27 03:21:53.146569,2025-11-27 03:22:45.168582,0 days 00:00:52.022013,[768],[],[],elu,768,16,,0.0002,,L2,1,Adam,decreasing,,max,False,1e-07
14,0.29172932330827067,PRUNED,2025-11-27 03:22:45.171599,2025-11-27 03:22:46.213885,0 days 00:00:01.042286,[768],[],[],elu,768,64,,0.0002,,L2,1,Adam,decreasing,0.9,max,True,1e-07
15,0.23511904761904764,PRUNED,2025-11-27 03:22:46.213885,2025-11-27 03:22:49.358345,0 days 00:00:03.144460,[640],[],[],elu,640,32,,0.0002,,L2,1,Adam,decreasing,,max,False,1e-07
16,0.21637426900584797,PRUNED,2025-11-27 03:22:49.359364,2025-11-27 03:22:55.983370,0 days 00:00:06.624006,"[768, 768]",[1],[],gelu,768,64,,0.0002,,L2,2,Adam,uniform,0.6,max,True,1e-07
17,0.21052631578947367,PRUNED,2025-11-27 03:22:55.984375,2025-11-27 03:23:02.984740,0 days 00:00:07.000365,"[640, 320]",[1],[],elu,640,16,,0.0002,,L2,2,Adam,decreasing,,max,False,1e-07
18,0.24611646098042533,COMPLETE,2025-11-27 03:23:02.985745,2025-11-27 03:23:24.266974,0 days 00:00:21.281229,[192],[],[],silu,192,16,,0.0001,0.7,L2,1,SGD,decreasing,,mean,False,0.0001
19,0.21839080459770113,PRUNED,2025-11-27 03:23:24.269512,2025-11-27 03:23:26.494227,0 days 00:00:02.224715,"[512, 512]",[],[],elu,512,64,,0.001,,L2,2,AdamW,uniform,0.7,max,True,1e-07
20,0.2916666666666667,PRUNED,2025-11-27 03:23:26.495233,2025-11-27 03:23:29.241348,0 days 00:00:02.746115,[128],[],[],elu,128,48,,0.0005,,L2,1,Adam,decreasing,0.6,max,True,1e-07
21,0.23156089193825044,PRUNED,2025-11-27 03:23:29.241348,2025-11-27 03:23:44.854856,0 days 00:00:15.613508,"[896, 448, 224, 112, 64]",[],"[1, 2, 3]",elu,896,16,0.4,1e-05,,minmax,5,Adam,decreasing,,max,False,1e-05
22,0.1761006289308176,PRUNED,2025-11-27 03:23:44.855861,2025-11-27 03:23:53.326580,0 days 00:00:08.470719,"[384, 192, 96, 64, 64]",[4],"[1, 3, 4]",elu,384,16,0.4,1e-05,,minmax,5,Adam,decreasing,,max,False,1e-05
23,0.21839080459770113,PRUNED,2025-11-27 03:23:53.328089,2025-11-27 03:23:58.829321,0 days 00:00:05.501232,"[256, 128]",[],[],elu,256,16,,0.0002,,minmax,2,Adam,decreasing,,max,False,1e-05
24,0.21839080459770113,PRUNED,2025-11-27 03:23:58.829321,2025-11-27 03:24:09.779947,0 days 00:00:10.950626,"[768, 384, 192, 96]",[],"[1, 3]",elu,768,16,0.4,0.0002,,L2,4,Adam,decreasing,,max,False,1e-07
25,0.21839080459770113,PRUNED,2025-11-27 03:24:09.780954,2025-11-27 03:24:14.703871,0 days 00:00:04.922917,"[640, 320, 160, 80, 64, 64]",[5],"[1, 2, 3]",silu,640,32,0.4,1e-05,,L2,6,Adam,decreasing,,max,False,0.0001
26,0.21839080459770113,PRUNED,2025-11-27 03:24:14.704878,2025-11-27 03:24:16.562189,0 days 00:00:01.857311,[1024],[],[],relu,1024,128,,0.0002,,minmax,1,Adam,decreasing,,mean,False,1e-05
