number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.4382180971609646,COMPLETE,2025-11-27 04:05:04.251319,2025-11-27 04:05:24.068237,0 days 00:00:19.816918,"[768, 768, 768, 768, 768, 768]","[1, 2, 4, 5]","[4, 5]",relu,768,64,0.3,2e-05,,minmax,6,Adam,uniform,0.8,mean,True,1e-06
1,0.42433890600807417,COMPLETE,2025-11-27 04:05:24.070747,2025-11-27 04:05:44.719320,0 days 00:00:20.648573,"[768, 384, 192]",[1],[1],gelu,768,32,0.4,0.0002,,L2,3,RMSprop,decreasing,0.7,mean,True,1e-07
2,0.22782370997736998,COMPLETE,2025-11-27 04:05:44.721343,2025-11-27 04:05:54.150092,0 days 00:00:09.428749,[1024],[],[],elu,1024,48,,5e-05,0.7,minmax,1,SGD,uniform,,max,False,0.0001
3,0.42016393900688065,COMPLETE,2025-11-27 04:05:54.152103,2025-11-27 04:06:03.922029,0 days 00:00:09.769926,"[64, 64, 64, 128]","[1, 2, 3]",[1],gelu,128,128,0.3,0.0005,,minmax,4,Adam,increasing,,max,False,0.0001
4,0.2626831433031381,COMPLETE,2025-11-27 04:06:03.924050,2025-11-27 04:06:19.223346,0 days 00:00:15.299296,"[64, 64, 64, 64, 128]","[2, 4]",[1],tanh,128,64,0.4,1e-05,0.8,minmax,5,SGD,increasing,0.7,mean,True,1e-05
5,0.1714285714285714,PRUNED,2025-11-27 04:06:19.225358,2025-11-27 04:06:20.501589,0 days 00:00:01.276231,"[768, 384]",[],[],relu,768,128,,2e-05,0.0,minmax,2,SGD,decreasing,,max,False,0.0
6,0.1761006289308176,PRUNED,2025-11-27 04:06:20.502595,2025-11-27 04:06:24.271525,0 days 00:00:03.768930,[1024],[],[],leakyrelu,1024,48,,0.0001,0.8,L2,1,SGD,uniform,,mean,False,0.0001
7,0.1761006289308176,PRUNED,2025-11-27 04:06:24.272531,2025-11-27 04:06:31.024978,0 days 00:00:06.752447,"[64, 64, 64, 64, 64, 128]",[],"[3, 5]",leakyrelu,128,48,0.4,5e-05,,L2,6,Adam,increasing,,max,False,0.0
8,0.38022255698082247,COMPLETE,2025-11-27 04:06:31.025984,2025-11-27 04:06:45.596197,0 days 00:00:14.570213,"[320, 640]",[1],[1],elu,640,64,0.1,1e-05,,minmax,2,RMSprop,increasing,,mean,False,1e-06
9,0.23839009287925697,PRUNED,2025-11-27 04:06:45.598209,2025-11-27 04:06:49.500300,0 days 00:00:03.902091,"[128, 64, 64, 64]","[1, 3]","[1, 3]",gelu,128,96,0.3,1e-05,,L2,4,AdamW,decreasing,,max,False,1e-07
10,0.21839080459770113,PRUNED,2025-11-27 04:06:49.501305,2025-11-27 04:06:55.307451,0 days 00:00:05.806146,"[256, 256, 256, 256, 256, 256]","[1, 2, 4, 5]","[2, 4]",relu,256,16,0.5,2e-05,,minmax,6,Adam,uniform,0.8,mean,True,1e-06
11,0.3685954708004902,COMPLETE,2025-11-27 04:06:55.308456,2025-11-27 04:07:18.496969,0 days 00:00:23.188513,"[768, 384, 192]",[1],[],silu,768,32,,0.0002,,L2,3,RMSprop,decreasing,0.9,mean,True,1e-07
12,0.33998100664767333,PRUNED,2025-11-27 04:07:18.499499,2025-11-27 04:07:27.515050,0 days 00:00:09.015551,"[768, 384, 192]","[1, 2]","[1, 2]",gelu,768,32,0.2,0.001,,L2,3,RMSprop,decreasing,0.6,mean,True,1e-06
13,0.39323726533789455,COMPLETE,2025-11-27 04:07:27.516055,2025-11-27 04:07:51.857061,0 days 00:00:24.341006,"[512, 512, 512, 512, 512]","[1, 4]",[4],relu,512,32,0.3,0.0002,,L2,5,AdamW,uniform,0.7,mean,True,1e-07
14,0.40557129616543264,COMPLETE,2025-11-27 04:07:51.859067,2025-11-27 04:08:08.501543,0 days 00:00:16.642476,"[384, 192, 96, 64, 64]",[1],[4],silu,384,64,0.4,0.0002,,minmax,5,RMSprop,decreasing,0.5,mean,True,1e-05
15,0.21052631578947367,PRUNED,2025-11-27 04:08:08.503554,2025-11-27 04:08:11.619322,0 days 00:00:03.115768,"[896, 896, 896]","[1, 2]","[1, 2]",tanh,896,96,0.2,2e-05,,L2,3,Adam,uniform,0.8,mean,True,1e-06
16,0.21637426900584797,PRUNED,2025-11-27 04:08:11.620339,2025-11-27 04:08:40.990359,0 days 00:00:29.370020,"[192, 192]",[],[1],gelu,192,16,0.5,0.0001,,minmax,2,RMSprop,uniform,0.7,mean,True,1e-07
17,0.21839080459770113,PRUNED,2025-11-27 04:08:40.991365,2025-11-27 04:08:43.769609,0 days 00:00:02.778244,"[768, 384, 192, 96]","[1, 2, 3]",[3],relu,768,64,0.1,0.0005,,L2,4,Adam,decreasing,0.8,mean,True,1e-06
18,0.4447294571612315,COMPLETE,2025-11-27 04:08:43.770625,2025-11-27 04:09:14.175931,0 days 00:00:30.405306,"[768, 384, 192, 96, 64, 64]","[1, 4, 5]","[1, 4, 5]",relu,768,32,0.3,0.001,,L2,6,AdamW,decreasing,0.6,mean,True,1e-07
19,0.1761006289308176,PRUNED,2025-11-27 04:09:14.177941,2025-11-27 04:09:19.925822,0 days 00:00:05.747881,"[192, 192, 192, 192, 192, 192]","[1, 4, 5]","[2, 4, 5]",relu,192,32,0.3,0.001,,minmax,6,AdamW,uniform,0.6,mean,True,1e-05
20,0.21839080459770113,PRUNED,2025-11-27 04:09:19.925822,2025-11-27 04:09:25.721384,0 days 00:00:05.795562,"[640, 320, 160, 80, 64]","[2, 4]",[4],relu,640,64,0.3,0.001,,L2,5,AdamW,decreasing,0.6,mean,True,0.0
21,0.391365524028307,COMPLETE,2025-11-27 04:09:25.722389,2025-11-27 04:10:12.707599,0 days 00:00:46.985210,"[768, 384, 192, 96, 64, 64]","[1, 4, 5]","[1, 4, 5]",relu,768,32,0.4,2e-05,,L2,6,AdamW,decreasing,0.9,mean,True,1e-07
22,0.2727119216480918,PRUNED,2025-11-27 04:10:12.710110,2025-11-27 04:10:15.419392,0 days 00:00:02.709282,"[768, 384, 192, 96, 64]","[1, 4]","[1, 4]",gelu,768,32,0.3,0.001,,L2,5,AdamW,decreasing,0.5,mean,True,1e-07
23,0.4486303192439263,COMPLETE,2025-11-27 04:10:15.419896,2025-11-27 04:10:49.642433,0 days 00:00:34.222537,"[768, 384, 192, 96, 64, 64]","[1, 3, 5]","[1, 3, 5]",relu,768,32,0.3,0.0002,,L2,6,RMSprop,decreasing,0.6,mean,True,1e-07
24,0.21839080459770113,PRUNED,2025-11-27 04:10:49.644456,2025-11-27 04:11:02.214967,0 days 00:00:12.570511,"[384, 192, 96, 64, 64, 64]","[1, 3, 5]","[1, 3, 5]",relu,384,32,0.3,0.001,,L2,6,Adam,decreasing,0.6,mean,True,1e-07
25,0.3435294117647059,PRUNED,2025-11-27 04:11:02.215971,2025-11-27 04:11:04.653739,0 days 00:00:02.437768,"[512, 512, 512, 512, 512, 512]","[1, 3, 5]","[1, 3, 5]",relu,512,128,0.3,2e-05,,L2,6,AdamW,uniform,0.6,mean,True,1e-06
26,0.21839080459770113,PRUNED,2025-11-27 04:11:04.654739,2025-11-27 04:11:24.115658,0 days 00:00:19.460919,"[896, 448, 224, 112, 64]","[1, 2, 3]","[1, 3]",relu,896,16,0.3,0.0002,,minmax,5,RMSprop,decreasing,0.8,max,True,1e-07
27,0.21839080459770113,PRUNED,2025-11-27 04:11:24.116658,2025-11-27 04:11:25.703534,0 days 00:00:01.586876,"[256, 128, 64, 64, 64, 64]","[1, 3, 4, 5]","[1, 2, 3, 4, 5]",relu,256,96,0.3,5e-05,,L2,6,Adam,decreasing,0.6,mean,True,1e-07
28,0.21637426900584797,PRUNED,2025-11-27 04:11:25.704541,2025-11-27 04:11:37.155272,0 days 00:00:11.450731,"[64, 96, 192, 384, 768]",[2],[],silu,768,64,,0.0001,,minmax,5,Adam,increasing,0.6,mean,True,1e-06
29,0.24444444444444444,PRUNED,2025-11-27 04:11:37.157284,2025-11-27 04:11:41.282388,0 days 00:00:04.125104,"[768, 768, 768, 768]",[1],[1],leakyrelu,768,32,0.3,0.0002,,L2,4,RMSprop,uniform,0.8,mean,True,1e-07
30,0.331653687585891,PRUNED,2025-11-27 04:11:41.282388,2025-11-27 04:11:53.086888,0 days 00:00:11.804500,"[768, 384, 192, 96, 64, 64]","[1, 3, 4]","[3, 4]",elu,768,32,0.5,0.0005,,L2,6,AdamW,decreasing,0.6,mean,True,0.0
31,0.43499361430395916,PRUNED,2025-11-27 04:11:53.087893,2025-11-27 04:12:02.129598,0 days 00:00:09.041705,"[1024, 512, 256]",[1],[1],tanh,1024,32,0.4,0.0002,,L2,3,RMSprop,decreasing,0.7,mean,True,1e-07
32,0.2432783608195902,PRUNED,2025-11-27 04:12:02.130614,2025-11-27 04:12:06.341985,0 days 00:00:04.211371,"[768, 384, 192, 96]",[1],[1],gelu,768,32,0.1,0.0002,,L2,4,RMSprop,decreasing,0.7,max,True,1e-07
33,0.255952380952381,PRUNED,2025-11-27 04:12:06.342991,2025-11-27 04:12:19.845540,0 days 00:00:13.502549,"[768, 384, 192, 96, 64, 64]","[1, 3, 5]","[1, 3, 5]",elu,768,48,0.2,0.0002,0.9,minmax,6,SGD,decreasing,0.9,mean,True,1e-07
34,0.21839080459770113,PRUNED,2025-11-27 04:12:19.846546,2025-11-27 04:12:20.704129,0 days 00:00:00.857583,"[384, 768]",[1],[1],relu,768,128,0.4,5e-05,,L2,2,RMSprop,increasing,,max,False,0.0001
35,0.19193548387096773,PRUNED,2025-11-27 04:12:20.705134,2025-11-27 04:12:23.363876,0 days 00:00:02.658742,[768],[],[],gelu,768,32,,2e-05,0.7,minmax,1,SGD,decreasing,0.5,mean,True,0.0001
36,0.08333333333333333,PRUNED,2025-11-27 04:12:23.363876,2025-11-27 04:12:31.333541,0 days 00:00:07.969665,"[768, 768, 768, 768, 768]","[1, 4]","[1, 4]",tanh,768,64,0.3,0.001,,L2,5,RMSprop,uniform,,mean,False,1e-05
37,0.30784508440913605,PRUNED,2025-11-27 04:12:31.334547,2025-11-27 04:12:40.471858,0 days 00:00:09.137311,"[64, 64, 128, 256, 512, 1024]","[2, 4, 5]","[1, 4, 5]",leakyrelu,1024,48,0.3,0.0005,,minmax,6,Adam,increasing,0.8,max,True,0.0001
38,0.21839080459770113,PRUNED,2025-11-27 04:12:40.472863,2025-11-27 04:12:44.848807,0 days 00:00:04.375944,"[640, 320, 160, 80]","[1, 3]","[1, 3]",relu,640,128,0.4,1e-05,0.9,L2,4,SGD,decreasing,,mean,False,1e-07
39,0.2839100783026017,PRUNED,2025-11-27 04:12:44.849807,2025-11-27 04:12:52.017978,0 days 00:00:07.168171,"[128, 128]",[],[1],relu,128,32,0.3,0.0002,,minmax,2,RMSprop,uniform,0.7,mean,True,0.0
40,0.21839080459770113,PRUNED,2025-11-27 04:12:52.017978,2025-11-27 04:12:53.528294,0 days 00:00:01.510316,"[256, 128, 64, 64, 64]","[1, 2]",[],elu,256,64,,2e-05,,L2,5,Adam,decreasing,,max,False,1e-06
41,0.40395786683592155,COMPLETE,2025-11-27 04:12:53.529798,2025-11-27 04:13:06.916943,0 days 00:00:13.387145,"[64, 64, 64, 64, 64, 128]","[1, 2, 3, 4, 5]","[1, 4, 5]",gelu,128,128,0.3,0.0005,,minmax,6,Adam,increasing,,max,False,0.0001
42,0.21839080459770113,PRUNED,2025-11-27 04:13:06.919455,2025-11-27 04:13:08.551512,0 days 00:00:01.632057,"[64, 64, 128]","[1, 2]",[1],gelu,128,128,0.3,0.0005,,minmax,3,Adam,increasing,,max,False,0.0001
43,0.26666666666666666,PRUNED,2025-11-27 04:13:08.552552,2025-11-27 04:13:12.673558,0 days 00:00:04.121006,"[64, 64, 64, 128]","[1, 2, 3]",[1],gelu,128,128,0.4,0.0005,,minmax,4,Adam,increasing,,max,False,0.0001
44,0.3425531397503623,COMPLETE,2025-11-27 04:13:12.674565,2025-11-27 04:13:28.534291,0 days 00:00:15.859726,"[128, 256, 512]","[1, 2]",[1],gelu,512,96,0.1,1e-05,,minmax,3,RMSprop,increasing,,max,False,1e-07
45,0.4042295021472409,COMPLETE,2025-11-27 04:13:28.537310,2025-11-27 04:13:56.869767,0 days 00:00:28.332457,[384],[],[],silu,384,16,,0.0001,,minmax,1,Adam,increasing,,mean,False,1e-05
