number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-27 04:15:20.713256,2025-11-27 04:15:41.936009,0 days 00:00:21.222753,"[64, 64, 64, 64, 128]","[3, 4]","[2, 4]",leakyrelu,128,32,0.2,0.001,0.0,minmax,5,SGD,increasing,,mean,False,1e-05
1,0.3530498786340599,COMPLETE,2025-11-27 04:15:41.938020,2025-11-27 04:16:07.369511,0 days 00:00:25.431491,"[128, 256, 512]",[2],[2],tanh,512,32,0.2,1e-05,,L2,3,Adam,increasing,0.6,max,True,0.0001
2,0.1761006289308176,PRUNED,2025-11-27 04:16:07.371533,2025-11-27 04:16:10.411474,0 days 00:00:03.039941,"[192, 192, 192, 192, 192]","[1, 2, 3, 4]","[1, 4]",elu,192,64,0.2,2e-05,,L2,5,Adam,uniform,,max,False,0.0001
3,0.18238993710691823,PRUNED,2025-11-27 04:16:10.412481,2025-11-27 04:16:37.285272,0 days 00:00:26.872791,"[768, 768, 768, 768, 768]","[1, 2]","[1, 2]",elu,768,16,0.2,0.0002,,L2,5,RMSprop,uniform,,max,False,1e-07
4,0.08333333333333333,PRUNED,2025-11-27 04:16:37.286278,2025-11-27 04:16:47.806645,0 days 00:00:10.520367,"[64, 64, 64, 96, 192, 384]","[2, 4]","[1, 3, 4]",relu,384,48,0.4,0.0005,0.8,minmax,6,SGD,increasing,0.9,max,True,1e-05
5,0.21758419036095988,COMPLETE,2025-11-27 04:16:47.807650,2025-11-27 04:16:57.029695,0 days 00:00:09.222045,[768],[],[],leakyrelu,768,48,,1e-05,,minmax,1,RMSprop,uniform,0.8,mean,True,0.0
6,0.21758419036095988,COMPLETE,2025-11-27 04:16:57.031718,2025-11-27 04:17:11.407178,0 days 00:00:14.375460,"[192, 96, 64, 64, 64, 64]","[2, 3, 4]","[2, 3, 4]",tanh,192,64,0.5,2e-05,,minmax,6,RMSprop,decreasing,,mean,False,1e-06
7,0.44739954781389424,COMPLETE,2025-11-27 04:17:11.408196,2025-11-27 04:17:34.209977,0 days 00:00:22.801781,"[128, 64, 64, 64, 64, 64]",[2],"[1, 4]",leakyrelu,128,48,0.3,0.0005,,minmax,6,AdamW,decreasing,0.9,mean,True,1e-05
8,0.21758419036095988,COMPLETE,2025-11-27 04:17:34.213049,2025-11-27 04:17:55.694266,0 days 00:00:21.481217,"[256, 256, 256, 256]","[1, 2]","[1, 3]",silu,256,32,0.5,0.001,0.8,minmax,4,SGD,uniform,,mean,False,1e-05
9,0.21253632212536322,PRUNED,2025-11-27 04:17:55.696371,2025-11-27 04:17:59.049930,0 days 00:00:03.353559,"[64, 112, 224, 448, 896]","[1, 3]","[2, 4]",silu,896,48,0.2,0.0002,0.0,L2,5,SGD,increasing,,mean,False,0.0
10,0.40926500259163384,COMPLETE,2025-11-27 04:17:59.050434,2025-11-27 04:18:09.923697,0 days 00:00:10.873263,"[640, 320]",[],[1],gelu,640,96,0.3,0.0005,,minmax,2,AdamW,decreasing,0.9,mean,True,1e-07
11,0.21839080459770113,PRUNED,2025-11-27 04:18:09.926208,2025-11-27 04:18:11.729922,0 days 00:00:01.803714,"[640, 320]",[],[1],gelu,640,96,0.3,0.0005,,minmax,2,AdamW,decreasing,0.9,mean,True,1e-07
12,0.21758419036095988,COMPLETE,2025-11-27 04:18:11.730426,2025-11-27 04:18:19.181387,0 days 00:00:07.450961,"[640, 320]",[],[1],gelu,640,96,0.3,5e-05,,minmax,2,AdamW,decreasing,0.9,mean,True,1e-07
13,0.1761006289308176,PRUNED,2025-11-27 04:18:19.183401,2025-11-27 04:18:21.938203,0 days 00:00:02.754802,"[128, 64, 64]",[],[1],gelu,128,128,0.3,0.0001,,minmax,3,AdamW,decreasing,0.5,mean,True,1e-06
