number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.21680458016605733,COMPLETE,2025-11-27 04:24:02.948875,2025-11-27 04:24:09.183895,0 days 00:00:06.235020,[768],[],[],tanh,768,96,,0.0005,0.0,minmax,1,SGD,increasing,,max,False,1e-06
1,0.4618706934610811,COMPLETE,2025-11-27 04:24:09.185906,2025-11-27 04:24:39.353869,0 days 00:00:30.167963,"[192, 96, 64, 64, 64]",[4],"[1, 4]",relu,192,32,0.3,0.0001,,L2,5,Adam,decreasing,0.7,mean,True,1e-07
2,0.21758419036095988,COMPLETE,2025-11-27 04:24:39.355881,2025-11-27 04:25:01.374379,0 days 00:00:22.018498,[128],[],[],elu,128,16,,2e-05,,L2,1,Adam,uniform,,max,False,0.0001
3,0.3526570048309179,PRUNED,2025-11-27 04:25:01.376902,2025-11-27 04:25:03.297725,0 days 00:00:01.920823,"[512, 512, 512, 512, 512]",[3],"[1, 3]",elu,512,48,0.4,5e-05,,minmax,5,RMSprop,uniform,,max,False,0.0
4,0.3468776430167172,COMPLETE,2025-11-27 04:25:03.298732,2025-11-27 04:25:27.178608,0 days 00:00:23.879876,"[96, 192, 384]",[1],[1],silu,384,32,0.3,0.0005,,L2,3,AdamW,increasing,0.6,max,True,0.0001
5,0.4508338081099373,COMPLETE,2025-11-27 04:25:27.181128,2025-11-27 04:25:46.269795,0 days 00:00:19.088667,"[384, 192]",[1],[1],tanh,384,48,0.2,0.0002,,L2,2,Adam,decreasing,0.8,max,True,1e-07
6,0.21839080459770113,PRUNED,2025-11-27 04:25:46.271817,2025-11-27 04:25:47.916611,0 days 00:00:01.644794,"[128, 128, 128, 128, 128]","[2, 4]","[1, 3, 4]",elu,128,64,0.4,2e-05,,minmax,5,Adam,uniform,,mean,False,1e-05
7,0.26715506715506715,PRUNED,2025-11-27 04:25:47.916611,2025-11-27 04:25:49.012296,0 days 00:00:01.095685,"[384, 768]",[],[],tanh,768,64,,1e-05,,L2,2,AdamW,increasing,0.6,max,True,1e-06
8,0.29012345679012347,PRUNED,2025-11-27 04:25:49.013309,2025-11-27 04:25:52.196603,0 days 00:00:03.183294,"[64, 80, 160, 320, 640]","[1, 3]","[1, 2, 4]",elu,640,64,0.1,1e-05,,minmax,5,AdamW,increasing,,max,False,1e-06
9,0.08888888888888889,PRUNED,2025-11-27 04:25:52.197645,2025-11-27 04:25:55.998261,0 days 00:00:03.800616,"[384, 384, 384]",[],[],elu,384,64,,0.0005,0.0,minmax,3,SGD,uniform,0.6,max,True,0.0001
10,0.3215488215488216,PRUNED,2025-11-27 04:25:55.999270,2025-11-27 04:25:59.003027,0 days 00:00:03.003757,"[192, 96, 64, 64, 64, 64]","[2, 4, 5]","[2, 4, 5]",relu,192,32,0.3,0.0001,,L2,6,RMSprop,decreasing,0.7,mean,True,1e-07
11,0.23393939393939397,PRUNED,2025-11-27 04:25:59.004033,2025-11-27 04:26:02.675821,0 days 00:00:03.671788,"[192, 96, 64, 64]",[1],[1],leakyrelu,192,128,0.2,0.0002,,L2,4,Adam,decreasing,0.8,mean,True,1e-07
12,0.482539328914402,COMPLETE,2025-11-27 04:26:02.676827,2025-11-27 04:26:19.532564,0 days 00:00:16.855737,"[1024, 512]",[1],[1],gelu,1024,48,0.5,0.001,,L2,2,Adam,decreasing,0.9,mean,True,1e-07
