number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.45424167694971285,COMPLETE,2025-11-27 04:31:39.098771,2025-11-27 04:32:27.301666,0 days 00:00:48.202895,"[192, 96]",[1],[],elu,192,16,,0.0001,,L2,2,AdamW,decreasing,0.6,max,True,1e-06
1,0.4104250874815822,COMPLETE,2025-11-27 04:32:27.304682,2025-11-27 04:33:12.261292,0 days 00:00:44.956610,"[160, 320, 640]",[1],"[1, 2]",gelu,640,32,0.2,1e-05,,L2,3,AdamW,increasing,0.9,mean,True,0.0001
2,0.24758898161397308,COMPLETE,2025-11-27 04:33:12.264321,2025-11-27 04:33:39.432664,0 days 00:00:27.168343,"[128, 64, 64, 64]",[2],[2],tanh,128,32,0.4,2e-05,0.0,minmax,4,SGD,decreasing,0.9,max,True,1e-06
3,0.10651340996168583,PRUNED,2025-11-27 04:33:39.436692,2025-11-27 04:33:48.668850,0 days 00:00:09.232158,[192],[],[],gelu,192,32,,0.0001,0.0,minmax,1,SGD,decreasing,,mean,False,0.0001
4,0.21839080459770113,PRUNED,2025-11-27 04:33:48.668850,2025-11-27 04:33:51.217948,0 days 00:00:02.549098,[1024],[],[],silu,1024,48,,0.0005,,minmax,1,Adam,decreasing,0.8,max,True,0.0001
5,0.21839080459770113,PRUNED,2025-11-27 04:33:51.218956,2025-11-27 04:33:55.180232,0 days 00:00:03.961276,"[768, 384, 192]",[],[],leakyrelu,768,64,,2e-05,,L2,3,Adam,decreasing,0.5,mean,True,0.0001
6,0.4107801162624267,COMPLETE,2025-11-27 04:33:55.181252,2025-11-27 04:34:08.535752,0 days 00:00:13.354500,[128],[],[],elu,128,32,,0.001,,L2,1,RMSprop,decreasing,0.6,mean,True,1e-05
7,0.24955102428146086,COMPLETE,2025-11-27 04:34:08.537763,2025-11-27 04:35:02.511730,0 days 00:00:53.973967,"[64, 64, 64, 64, 64, 128]","[4, 5]","[3, 4, 5]",leakyrelu,128,16,0.4,0.0001,,minmax,6,AdamW,increasing,0.7,mean,True,0.0
8,0.21839080459770113,PRUNED,2025-11-27 04:35:02.513755,2025-11-27 04:35:04.631037,0 days 00:00:02.117282,"[160, 320, 640]","[1, 2]",[1],relu,640,32,0.2,0.0001,0.0,L2,3,SGD,increasing,,max,False,0.0001
9,0.39090893417397915,COMPLETE,2025-11-27 04:35:04.632041,2025-11-27 04:35:12.637343,0 days 00:00:08.005302,"[128, 128, 128]",[2],[],tanh,128,128,,0.0002,,L2,3,Adam,uniform,0.5,max,True,0.0
10,0.4953673068602546,COMPLETE,2025-11-27 04:35:12.639366,2025-11-27 04:36:05.682131,0 days 00:00:53.042765,"[512, 512, 512, 512, 512]","[1, 3]",[2],elu,512,16,0.3,5e-05,,L2,5,AdamW,uniform,,max,False,1e-06
11,0.21839080459770113,PRUNED,2025-11-27 04:36:05.684144,2025-11-27 04:36:28.281431,0 days 00:00:22.597287,"[512, 512, 512, 512, 512]","[1, 3]",[2],elu,512,16,0.3,5e-05,,L2,5,AdamW,uniform,,max,False,1e-06
12,0.4079967360261118,PRUNED,2025-11-27 04:36:28.282475,2025-11-27 04:36:51.989036,0 days 00:00:23.706561,"[192, 192, 192, 192, 192]","[1, 3]",[2],elu,192,16,0.3,5e-05,,L2,5,AdamW,uniform,,max,False,1e-06
13,0.21839080459770113,PRUNED,2025-11-27 04:36:51.990540,2025-11-27 04:36:54.879278,0 days 00:00:02.888738,"[512, 512]",[1],[],elu,512,96,,5e-05,,L2,2,AdamW,uniform,,max,False,1e-07
14,0.1761006289308176,PRUNED,2025-11-27 04:36:54.880278,2025-11-27 04:37:00.984957,0 days 00:00:06.104679,"[896, 896, 896, 896, 896, 896]","[1, 3]","[1, 2, 3]",elu,896,16,0.1,0.001,,L2,6,RMSprop,uniform,,max,False,1e-06
15,0.21839080459770113,PRUNED,2025-11-27 04:37:00.985963,2025-11-27 04:37:32.660882,0 days 00:00:31.674919,"[256, 128, 64, 64]","[1, 2, 3]",[2],relu,256,16,0.5,0.0002,,L2,4,AdamW,decreasing,,max,False,1e-06
16,0.3183357522980164,PRUNED,2025-11-27 04:37:32.662902,2025-11-27 04:37:34.436189,0 days 00:00:01.773287,"[384, 384]",[1],[],silu,384,128,,1e-05,,L2,2,AdamW,uniform,0.6,max,True,1e-05
17,0.21839080459770113,PRUNED,2025-11-27 04:37:34.437195,2025-11-27 04:37:39.268031,0 days 00:00:04.830836,"[192, 96, 64, 64, 64]","[1, 3, 4]","[1, 2, 4]",elu,192,96,0.3,0.0005,,L2,5,AdamW,decreasing,,max,False,1e-07
18,0.19273075083692015,PRUNED,2025-11-27 04:37:39.269037,2025-11-27 04:37:47.473570,0 days 00:00:08.204533,"[512, 512]",[1],[],elu,512,64,,5e-05,,minmax,2,RMSprop,uniform,0.6,max,True,1e-06
19,0.4442240724465575,COMPLETE,2025-11-27 04:37:47.474576,2025-11-27 04:38:09.968959,0 days 00:00:22.494383,"[64, 64, 128, 256]",[1],"[2, 3]",elu,256,48,0.1,0.0001,,L2,4,AdamW,increasing,,max,False,1e-06
20,0.21839080459770113,PRUNED,2025-11-27 04:38:09.970463,2025-11-27 04:38:30.902903,0 days 00:00:20.932440,"[384, 192, 96, 64, 64]","[1, 2, 3]",[],leakyrelu,384,16,,0.0001,,L2,5,AdamW,decreasing,,max,False,1e-06
21,0.21839080459770113,PRUNED,2025-11-27 04:38:30.903910,2025-11-27 04:38:35.746196,0 days 00:00:04.842286,"[64, 64, 128, 256]",[1],"[2, 3]",elu,256,48,0.1,0.0001,,L2,4,AdamW,increasing,,max,False,1e-06
22,0.29053694843168526,PRUNED,2025-11-27 04:38:35.747203,2025-11-27 04:38:39.097706,0 days 00:00:03.350503,"[64, 64, 128, 256]",[1],"[2, 3]",elu,256,48,0.1,0.0001,,L2,4,AdamW,increasing,,max,False,1e-06
23,0.35714285714285715,PRUNED,2025-11-27 04:38:39.098710,2025-11-27 04:38:43.303163,0 days 00:00:04.204453,"[64, 64, 128, 256, 512, 1024]",[1],"[2, 3]",elu,1024,48,0.5,0.0001,,L2,6,AdamW,increasing,,max,False,1e-06
24,0.47540790591995863,COMPLETE,2025-11-27 04:38:43.304167,2025-11-27 04:39:54.935019,0 days 00:01:11.630852,"[64, 96, 192, 384, 768]","[1, 4]","[2, 3, 4]",elu,768,16,0.3,5e-05,,L2,5,AdamW,increasing,,max,False,1e-07
25,0.21839080459770113,PRUNED,2025-11-27 04:39:54.937030,2025-11-27 04:40:03.633509,0 days 00:00:08.696479,"[64, 96, 192, 384, 768]","[3, 4]","[2, 4]",silu,768,16,0.3,5e-05,,L2,5,AdamW,increasing,,max,False,1e-07
26,0.21839080459770113,PRUNED,2025-11-27 04:40:03.634514,2025-11-27 04:40:24.351445,0 days 00:00:20.716931,"[768, 768, 768, 768, 768, 768]","[1, 4, 5]","[1, 2, 3, 4, 5]",relu,768,16,0.3,5e-05,,minmax,6,RMSprop,uniform,0.7,mean,True,1e-07
27,0.5114263279090376,COMPLETE,2025-11-27 04:40:24.352450,2025-11-27 04:40:58.520515,0 days 00:00:34.168065,"[448, 896]",[1],[],tanh,896,16,,5e-05,,L2,2,Adam,increasing,,max,False,1e-07
28,0.4541743264924059,COMPLETE,2025-11-27 04:40:58.522553,2025-11-27 04:42:09.111386,0 days 00:01:10.588833,"[64, 112, 224, 448, 896]","[1, 4]","[2, 3, 4]",tanh,896,16,0.3,5e-05,,L2,5,Adam,increasing,,max,False,1e-07
29,0.2541045718615812,PRUNED,2025-11-27 04:42:09.113410,2025-11-27 04:42:15.242804,0 days 00:00:06.129394,"[448, 896]",[],[1],tanh,896,16,0.3,5e-05,,L2,2,Adam,increasing,,max,False,1e-07
30,0.21839080459770113,PRUNED,2025-11-27 04:42:15.243825,2025-11-27 04:42:39.339546,0 days 00:00:24.095721,"[64, 64, 96, 192, 384, 768]","[1, 2, 3, 4, 5]",[5],tanh,768,16,0.3,5e-05,,L2,6,Adam,increasing,,max,False,1e-07
31,0.21839080459770113,PRUNED,2025-11-27 04:42:39.340546,2025-11-27 04:42:42.647073,0 days 00:00:03.306527,"[448, 896]",[1],[],gelu,896,16,,1e-05,,L2,2,Adam,increasing,,max,False,1e-07
32,0.21839080459770113,PRUNED,2025-11-27 04:42:42.648078,2025-11-27 04:42:51.938868,0 days 00:00:09.290790,"[160, 320, 640]",[1],[2],tanh,640,16,0.5,2e-05,,L2,3,AdamW,increasing,0.8,max,True,1e-05
33,0.21839080459770113,PRUNED,2025-11-27 04:42:51.938868,2025-11-27 04:42:52.657562,0 days 00:00:00.718694,[192],[],[],gelu,192,128,,5e-05,0.7,L2,1,SGD,decreasing,,mean,False,0.0
34,0.1761006289308176,PRUNED,2025-11-27 04:42:52.658567,2025-11-27 04:42:54.741503,0 days 00:00:02.082936,"[512, 256]",[1],[],elu,512,64,,0.0005,0.9,minmax,2,SGD,decreasing,0.6,max,True,1e-07
35,0.21839080459770113,PRUNED,2025-11-27 04:42:54.741503,2025-11-27 04:42:55.582770,0 days 00:00:00.841267,[192],[],[],tanh,192,96,,5e-05,,L2,1,Adam,uniform,,max,False,1e-07
36,0.21839080459770113,PRUNED,2025-11-27 04:42:55.583776,2025-11-27 04:43:07.518686,0 days 00:00:11.934910,"[768, 384, 192]",[1],[2],gelu,768,16,0.4,0.001,,minmax,3,AdamW,decreasing,0.6,mean,True,0.0001
37,0.1761006289308176,PRUNED,2025-11-27 04:43:07.519692,2025-11-27 04:43:13.404992,0 days 00:00:05.885300,"[128, 256, 512, 1024]",[1],[],silu,1024,32,,2e-05,,L2,4,Adam,increasing,0.9,max,True,1e-05
38,0.1761006289308176,PRUNED,2025-11-27 04:43:13.405997,2025-11-27 04:43:21.825623,0 days 00:00:08.419626,[512],[],[],leakyrelu,512,16,,0.0002,0.8,L2,1,SGD,decreasing,,mean,False,0.0
