number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-26 21:50:45.096590,2025-11-26 21:50:53.562481,0 days 00:00:08.465891,[1024],[],[],leakyrelu,1024,64,,1e-05,minmax,1,increasing,0.9,max,True,1e-07
1,0.4522715013362588,COMPLETE,2025-11-26 21:50:53.562481,2025-11-26 21:51:14.045162,0 days 00:00:20.482681,"[256, 512]",[1],[],relu,512,32,,0.0001,L2,2,increasing,,max,False,0.0001
2,0.42079700098162987,COMPLETE,2025-11-26 21:51:14.045162,2025-11-26 21:51:27.185978,0 days 00:00:13.140816,"[1024, 1024, 1024, 1024]","[1, 2, 3]","[1, 3]",leakyrelu,1024,96,0.3,0.001,L2,4,uniform,0.9,max,True,0.0001
3,0.3859649122807018,PRUNED,2025-11-26 21:51:27.185978,2025-11-26 21:51:28.045549,0 days 00:00:00.859571,"[768, 384]",[1],[],leakyrelu,768,96,,0.0005,minmax,2,decreasing,,mean,False,1e-05
4,0.20384294068504594,PRUNED,2025-11-26 21:51:28.045549,2025-11-26 21:51:30.217877,0 days 00:00:02.172328,"[192, 384]",[1],[1],tanh,384,96,0.1,5e-05,L2,2,increasing,,mean,False,1e-07
5,0.22028985507246376,PRUNED,2025-11-26 21:51:30.217877,2025-11-26 21:51:31.749138,0 days 00:00:01.531261,"[128, 128, 128, 128, 128, 128]",[3],"[1, 2, 3, 4]",elu,128,64,0.4,0.0001,minmax,6,uniform,0.5,max,True,0.0
6,0.3224139045034567,PRUNED,2025-11-26 21:51:31.749138,2025-11-26 21:51:34.608239,0 days 00:00:02.859101,"[64, 64, 128, 256, 512, 1024]","[1, 2, 5]","[1, 5]",leakyrelu,1024,32,0.3,5e-05,minmax,6,increasing,,max,False,1e-05
7,0.4494256664243263,COMPLETE,2025-11-26 21:51:34.608239,2025-11-26 21:51:55.201687,0 days 00:00:20.593448,"[128, 128, 128, 128, 128]","[2, 4]","[1, 2]",silu,128,96,0.2,0.0001,minmax,5,uniform,0.9,mean,True,1e-06
8,0.26060606060606056,PRUNED,2025-11-26 21:51:55.205364,2025-11-26 21:51:58.107963,0 days 00:00:02.902599,"[64, 64, 80, 160, 320, 640]","[1, 2, 3, 4]","[1, 2, 3, 4, 5]",silu,640,96,0.4,0.0001,L2,6,increasing,0.5,max,True,1e-05
9,0.21839080459770113,PRUNED,2025-11-26 21:51:58.107963,2025-11-26 21:51:59.577293,0 days 00:00:01.469330,"[128, 64, 64, 64, 64]","[2, 3]",[4],leakyrelu,128,64,0.1,1e-05,minmax,5,decreasing,0.7,max,True,0.0
10,0.21839080459770113,PRUNED,2025-11-26 21:51:59.577293,2025-11-26 21:52:03.280837,0 days 00:00:03.703544,"[128, 256, 512]",[1],[],relu,512,32,,0.0002,L2,3,increasing,,mean,False,0.0001
11,0.44622251227480836,COMPLETE,2025-11-26 21:52:03.280837,2025-11-26 21:52:39.967486,0 days 00:00:36.686649,"[896, 896, 896, 896]",[2],[2],relu,896,16,0.2,2e-05,L2,4,uniform,,mean,False,1e-06
12,0.19487179487179487,PRUNED,2025-11-26 21:52:39.967486,2025-11-26 21:52:41.389718,0 days 00:00:01.422232,"[512, 512, 512]",[],[2],silu,512,128,0.2,0.0001,L2,3,uniform,,mean,False,1e-06
13,0.1761006289308176,PRUNED,2025-11-26 21:52:41.389718,2025-11-26 21:52:43.183217,0 days 00:00:01.793499,[256],[],[],gelu,256,48,,0.0001,minmax,1,uniform,0.6,mean,True,1e-06
14,0.21839080459770113,PRUNED,2025-11-26 21:52:43.183217,2025-11-26 21:52:47.733315,0 days 00:00:04.550098,"[512, 256, 128, 64, 64]","[2, 4]","[1, 2]",relu,512,32,0.5,0.0001,minmax,5,decreasing,0.8,max,True,0.0001
15,0.1761006289308176,PRUNED,2025-11-26 21:52:47.733315,2025-11-26 21:52:50.625331,0 days 00:00:02.892016,"[64, 128]",[],[],silu,128,48,,0.001,L2,2,increasing,,mean,False,0.0001
16,0.46021685594544487,COMPLETE,2025-11-26 21:52:50.625331,2025-11-26 21:53:59.764227,0 days 00:01:09.138896,"[256, 256, 256, 256, 256]","[1, 4]","[1, 2]",gelu,256,16,0.2,2e-05,minmax,5,uniform,,mean,False,1e-06
17,0.389990954395632,COMPLETE,2025-11-26 21:53:59.764227,2025-11-26 21:55:01.755971,0 days 00:01:01.991744,"[256, 256, 256]",[1],[2],gelu,256,16,0.5,2e-05,L2,3,uniform,,max,False,1e-06
18,0.21839080459770113,PRUNED,2025-11-26 21:55:01.758978,2025-11-26 21:55:05.654796,0 days 00:00:03.895818,"[64, 64, 128, 256]",[1],"[1, 2]",gelu,256,16,0.2,2e-05,minmax,4,increasing,,max,False,0.0001
19,0.45089137517695815,COMPLETE,2025-11-26 21:55:05.654796,2025-11-26 21:55:12.310968,0 days 00:00:06.656172,"[640, 320]",[1],[],tanh,640,128,,0.0002,L2,2,decreasing,,mean,False,1e-07
20,0.37301325514629524,PRUNED,2025-11-26 21:55:12.326691,2025-11-26 21:55:14.888927,0 days 00:00:02.562236,"[768, 768, 768, 768, 768]","[1, 4]","[1, 3]",elu,768,32,0.2,0.0005,minmax,5,uniform,,max,False,0.0
21,0.26666666666666666,PRUNED,2025-11-26 21:55:14.888927,2025-11-26 21:55:16.264492,0 days 00:00:01.375565,"[640, 320]",[1],[],tanh,640,128,,0.0002,L2,2,decreasing,,mean,False,1e-07
22,0.3203907203907204,PRUNED,2025-11-26 21:55:16.264492,2025-11-26 21:55:16.920991,0 days 00:00:00.656499,[640],[],[],tanh,640,128,,0.0002,L2,1,decreasing,,mean,False,1e-07
23,0.21839080459770113,PRUNED,2025-11-26 21:55:16.920991,2025-11-26 21:55:24.779639,0 days 00:00:07.858648,"[896, 448, 224]",[1],[2],relu,896,16,0.5,0.0002,L2,3,decreasing,,mean,False,1e-07
24,0.424335282093404,COMPLETE,2025-11-26 21:55:24.779639,2025-11-26 21:55:41.701217,0 days 00:00:16.921578,"[384, 192]",[1],[],tanh,384,128,,2e-05,L2,2,decreasing,,mean,False,1e-07
25,0.1761006289308176,PRUNED,2025-11-26 21:55:41.701217,2025-11-26 21:55:49.811246,0 days 00:00:08.110029,[640],[],[],gelu,640,16,,2e-05,L2,1,decreasing,,mean,False,0.0001
26,0.4854854952637323,COMPLETE,2025-11-26 21:55:49.811246,2025-11-26 21:56:19.842993,0 days 00:00:30.031747,"[64, 64, 128, 256]",[1],[2],relu,256,32,0.4,0.0002,L2,4,increasing,,mean,False,1e-06
27,0.1730769230769231,PRUNED,2025-11-26 21:56:19.842993,2025-11-26 21:56:23.514788,0 days 00:00:03.671795,"[64, 64, 128, 256]",[1],[2],relu,256,32,0.4,1e-05,L2,4,increasing,,mean,False,1e-06
28,0.18238993710691823,PRUNED,2025-11-26 21:56:23.514788,2025-11-26 21:56:44.797405,0 days 00:00:21.282617,"[64, 64, 64, 128, 256]","[1, 4]",[2],relu,256,32,0.4,0.001,minmax,5,increasing,,max,False,1e-06
29,0.21839080459770113,PRUNED,2025-11-26 21:56:44.797405,2025-11-26 21:56:51.061153,0 days 00:00:06.263748,"[64, 128, 256, 512]",[1],[2],relu,512,32,0.4,0.0005,minmax,4,increasing,,max,False,1e-06
30,0.3398692810457516,PRUNED,2025-11-26 21:56:51.061153,2025-11-26 21:56:52.967549,0 days 00:00:01.906396,"[64, 128, 256]",[1],"[1, 2]",gelu,256,32,0.3,5e-05,L2,3,increasing,,mean,False,1e-06
31,0.3361344537815126,PRUNED,2025-11-26 21:56:52.967549,2025-11-26 21:56:58.093411,0 days 00:00:05.125862,[256],[],[],tanh,256,128,,0.0002,L2,1,increasing,,mean,False,1e-07
32,0.21839080459770113,PRUNED,2025-11-26 21:56:58.109291,2025-11-26 21:57:00.576544,0 days 00:00:02.467253,"[512, 1024]",[1],[],relu,1024,48,,0.0002,L2,2,increasing,,mean,False,0.0001
33,0.1761006289308176,PRUNED,2025-11-26 21:57:00.576544,2025-11-26 21:57:02.920138,0 days 00:00:02.343594,"[640, 640, 640, 640]",[1],[2],elu,640,64,0.1,0.0002,L2,4,uniform,,mean,False,1e-06
34,0.21637426900584797,PRUNED,2025-11-26 21:57:02.920138,2025-11-26 21:57:06.999354,0 days 00:00:04.079216,"[512, 256]",[1],[],tanh,512,128,,0.0002,L2,2,decreasing,,mean,False,1e-05
35,0.3455964325529543,PRUNED,2025-11-26 21:57:06.999354,2025-11-26 21:57:10.390163,0 days 00:00:03.390809,"[192, 384, 768]",[1],[],gelu,768,16,,1e-05,L2,3,increasing,,mean,False,1e-07
36,0.21839080459770113,PRUNED,2025-11-26 21:57:10.390163,2025-11-26 21:57:12.561435,0 days 00:00:02.171272,"[384, 384, 384, 384]",[1],[2],relu,384,32,0.2,2e-05,L2,4,uniform,,max,False,0.0
37,0.3055555555555556,PRUNED,2025-11-26 21:57:12.561435,2025-11-26 21:57:15.296840,0 days 00:00:02.735405,"[64, 64, 64, 64, 128, 256]","[1, 4, 5]","[1, 2]",leakyrelu,256,32,0.4,0.001,minmax,6,increasing,,mean,False,0.0001
38,0.4385550472463902,COMPLETE,2025-11-26 21:57:15.296840,2025-11-26 21:57:33.076946,0 days 00:00:17.780106,"[1024, 512, 256, 128, 64]","[1, 3]","[3, 4]",tanh,1024,96,0.4,5e-05,L2,5,decreasing,0.6,mean,True,1e-05
