number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.36758622614437797,COMPLETE,2025-11-26 22:07:23.352018,2025-11-26 22:07:41.186943,0 days 00:00:17.834925,"[384, 192, 96, 64]",[1],[2],leakyrelu,384,64,0.3,5e-05,minmax,4,decreasing,,max,False,0.0001
1,0.23859649122807017,PRUNED,2025-11-26 22:07:41.186943,2025-11-26 22:07:43.760175,0 days 00:00:02.573232,[512],[],[],leakyrelu,512,32,,0.0001,minmax,1,increasing,0.6,mean,True,1e-05
2,0.08888888888888889,PRUNED,2025-11-26 22:07:43.761177,2025-11-26 22:07:45.998890,0 days 00:00:02.237713,"[128, 256, 512, 1024]",[],"[1, 2, 3]",gelu,1024,64,0.1,2e-05,minmax,4,increasing,,max,False,0.0001
3,0.36479897929343424,COMPLETE,2025-11-26 22:07:45.998890,2025-11-26 22:08:09.014188,0 days 00:00:23.015298,[768],[],[],silu,768,16,,0.001,minmax,1,uniform,0.6,max,True,0.0001
4,0.3841140709209138,COMPLETE,2025-11-26 22:08:09.016240,2025-11-26 22:08:29.045031,0 days 00:00:20.028791,"[896, 896, 896, 896, 896]","[2, 3, 4]","[1, 2, 4]",silu,896,48,0.2,0.0002,L2,5,uniform,0.8,max,True,1e-07
5,0.19404761904761902,PRUNED,2025-11-26 22:08:29.045031,2025-11-26 22:08:35.733003,0 days 00:00:06.687972,[1024],[],[],relu,1024,16,,2e-05,L2,1,increasing,0.7,mean,True,1e-07
6,0.22520360029809075,COMPLETE,2025-11-26 22:08:35.733003,2025-11-26 22:08:43.701558,0 days 00:00:07.968555,"[128, 64, 64]",[2],"[1, 2]",elu,128,96,0.5,5e-05,L2,3,decreasing,0.5,mean,True,0.0001
7,0.36490090505817274,COMPLETE,2025-11-26 22:08:43.701558,2025-11-26 22:08:52.171151,0 days 00:00:08.469593,"[768, 384]",[],[],relu,768,96,,0.0005,minmax,2,decreasing,0.8,max,True,1e-07
8,0.3487007449740948,COMPLETE,2025-11-26 22:08:52.186886,2025-11-26 22:09:08.342824,0 days 00:00:16.155938,"[640, 320, 160, 80]","[1, 2, 3]",[1],tanh,640,96,0.4,2e-05,L2,4,decreasing,0.7,max,True,1e-05
9,0.3557709817664301,COMPLETE,2025-11-26 22:09:08.342824,2025-11-26 22:09:21.045280,0 days 00:00:12.702456,[512],[],[],tanh,512,32,,0.0005,L2,1,increasing,0.9,max,True,0.0001
10,0.41600635126728014,COMPLETE,2025-11-26 22:09:21.045280,2025-11-26 22:09:48.482925,0 days 00:00:27.437645,"[896, 896, 896, 896, 896, 896]","[2, 3, 4, 5]","[1, 4, 5]",silu,896,48,0.2,0.0002,L2,6,uniform,,mean,False,1e-06
11,0.21839080459770113,PRUNED,2025-11-26 22:09:48.482925,2025-11-26 22:09:54.374487,0 days 00:00:05.891562,"[896, 896, 896, 896, 896, 896]","[2, 3, 4, 5]","[1, 4, 5]",silu,896,48,0.2,0.0002,L2,6,uniform,,mean,False,1e-06
12,0.4270409021482712,COMPLETE,2025-11-26 22:09:54.374487,2025-11-26 22:10:17.999577,0 days 00:00:23.625090,"[896, 896, 896, 896, 896, 896]","[2, 3, 4]","[1, 4, 5]",silu,896,48,0.2,0.0002,L2,6,uniform,,mean,False,1e-06
13,0.2909090909090909,PRUNED,2025-11-26 22:10:17.999577,2025-11-26 22:10:22.654897,0 days 00:00:04.655320,"[896, 896, 896, 896, 896, 896]","[2, 3, 4]","[1, 5]",silu,896,128,0.2,1e-05,L2,6,uniform,,mean,False,1e-06
14,0.27641205736025753,PRUNED,2025-11-26 22:10:22.654897,2025-11-26 22:10:24.467774,0 days 00:00:01.812877,"[256, 256, 256, 256, 256]","[2, 3]","[1, 3, 4]",silu,256,48,0.2,0.0002,L2,5,uniform,,mean,False,1e-06
15,0.21839080459770113,PRUNED,2025-11-26 22:10:24.467774,2025-11-26 22:10:32.755421,0 days 00:00:08.287647,"[896, 896, 896, 896, 896, 896]","[1, 2, 3, 4]","[4, 5]",elu,896,48,0.2,0.0002,L2,6,uniform,,mean,False,0.0
16,0.39481359828706286,COMPLETE,2025-11-26 22:10:32.756424,2025-11-26 22:10:52.155332,0 days 00:00:19.398908,"[896, 896, 896, 896, 896]","[3, 4]","[1, 4]",gelu,896,48,0.1,0.0002,L2,5,uniform,,mean,False,1e-06
17,0.1761006289308176,PRUNED,2025-11-26 22:10:52.155332,2025-11-26 22:10:55.155494,0 days 00:00:03.000162,"[128, 128, 128, 128, 128, 128]","[2, 5]","[1, 3]",silu,128,128,0.5,0.0001,L2,6,uniform,,mean,False,1e-06
