number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.4217082279349299,COMPLETE,2025-11-26 22:17:12.237105,2025-11-26 22:17:27.910929,0 days 00:00:15.673824,[640],[],[],relu,640,32,,0.0005,minmax,1,uniform,,mean,False,0.0001
1,0.24722510258761726,COMPLETE,2025-11-26 22:17:27.911935,2025-11-26 22:17:44.013589,0 days 00:00:16.101654,"[128, 128]",[1],[],elu,128,48,,1e-05,minmax,2,uniform,,max,False,0.0001
2,0.4126420738643507,COMPLETE,2025-11-26 22:17:44.016100,2025-11-26 22:18:33.860719,0 days 00:00:49.844619,"[640, 320, 160, 80, 64]","[2, 4]",[],elu,640,16,,0.0001,L2,5,decreasing,,mean,False,0.0
3,0.37391463640725836,COMPLETE,2025-11-26 22:18:33.862745,2025-11-26 22:19:09.274143,0 days 00:00:35.411398,"[640, 320, 160, 80, 64]",[4],[],relu,640,32,,1e-05,minmax,5,decreasing,,max,False,1e-05
4,0.1761006289308176,PRUNED,2025-11-26 22:19:09.276150,2025-11-26 22:19:11.442403,0 days 00:00:02.166253,"[64, 64, 128]",[],[1],silu,128,64,0.4,5e-05,L2,3,increasing,0.7,mean,True,1e-05
5,0.21116443546350086,PRUNED,2025-11-26 22:19:11.443409,2025-11-26 22:19:15.088527,0 days 00:00:03.645118,"[768, 768, 768]",[1],[],leakyrelu,768,16,,1e-05,minmax,3,uniform,0.5,max,True,1e-07
6,0.29489304601783883,PRUNED,2025-11-26 22:19:15.089532,2025-11-26 22:19:17.461070,0 days 00:00:02.371538,"[896, 448, 224, 112]","[1, 3]",[3],relu,896,96,0.3,1e-05,minmax,4,decreasing,,max,False,0.0001
7,0.18238993710691823,PRUNED,2025-11-26 22:19:17.462076,2025-11-26 22:19:22.327886,0 days 00:00:04.865810,"[64, 64, 64, 128]","[2, 3]",[2],relu,128,128,0.4,5e-05,minmax,4,increasing,0.8,mean,True,1e-06
8,0.11345939933259176,PRUNED,2025-11-26 22:19:22.328892,2025-11-26 22:19:26.834227,0 days 00:00:04.505335,"[64, 64, 64, 64, 64, 128]","[1, 5]","[1, 2, 3, 4]",tanh,128,96,0.2,1e-05,L2,6,increasing,,mean,False,0.0
9,0.1761006289308176,PRUNED,2025-11-26 22:19:26.835233,2025-11-26 22:19:29.129338,0 days 00:00:02.294105,"[640, 320, 160, 80, 64, 64]",[],"[1, 2, 3, 5]",relu,640,96,0.3,5e-05,L2,6,decreasing,,max,False,1e-05
10,0.21839080459770113,PRUNED,2025-11-26 22:19:29.130344,2025-11-26 22:19:35.318863,0 days 00:00:06.188519,[1024],[],[],gelu,1024,32,,0.0005,minmax,1,uniform,0.6,mean,True,0.0001
11,0.3771211894058279,COMPLETE,2025-11-26 22:19:35.319868,2025-11-26 22:20:27.111380,0 days 00:00:51.791512,[640],[],[],elu,640,16,,0.0001,L2,1,uniform,,mean,False,0.0
12,0.21637426900584797,PRUNED,2025-11-26 22:20:27.113440,2025-11-26 22:21:06.272657,0 days 00:00:39.159217,"[512, 256, 128, 64, 64]","[2, 4]",[],elu,512,16,,0.001,L2,5,decreasing,,mean,False,0.0
13,0.34132621849235933,COMPLETE,2025-11-26 22:21:06.273662,2025-11-26 22:21:37.042706,0 days 00:00:30.769044,"[256, 256]",[],[1],gelu,256,32,0.5,0.0002,L2,2,uniform,,mean,False,1e-06
14,0.3106060606060606,PRUNED,2025-11-26 22:21:37.044718,2025-11-26 22:21:40.963481,0 days 00:00:03.918763,"[384, 192, 96, 64, 64]","[2, 4]",[4],silu,384,48,0.1,2e-05,minmax,5,decreasing,,mean,False,1e-07
15,0.21839080459770113,PRUNED,2025-11-26 22:21:40.964486,2025-11-26 22:21:42.961457,0 days 00:00:01.996971,"[640, 640]",[],[],leakyrelu,640,64,,0.0005,L2,2,uniform,,mean,False,0.0001
16,0.40266822422102333,COMPLETE,2025-11-26 22:21:42.962462,2025-11-26 22:21:52.661017,0 days 00:00:09.698555,"[640, 320, 160, 80]","[1, 2, 3]","[1, 2]",tanh,640,128,0.1,0.0001,minmax,4,decreasing,,mean,False,0.0
17,0.21839080459770113,PRUNED,2025-11-26 22:21:52.663031,2025-11-26 22:21:56.866075,0 days 00:00:04.203044,"[768, 768, 768]",[2],[],elu,768,32,,0.0001,L2,3,uniform,,mean,False,0.0
