number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.45202534639343944,COMPLETE,2025-11-26 22:28:10.588173,2025-11-26 22:28:47.292877,0 days 00:00:36.704704,"[512, 256, 128]",[2],[2],leakyrelu,512,16,0.2,0.001,minmax,3,decreasing,,max,False,0.0
1,0.35772681954137586,PRUNED,2025-11-26 22:28:47.294889,2025-11-26 22:28:48.865260,0 days 00:00:01.570371,"[64, 112, 224, 448, 896]",[3],"[1, 4]",silu,896,64,0.2,0.0001,minmax,5,increasing,0.8,mean,True,1e-06
2,0.39818254521063895,PRUNED,2025-11-26 22:28:48.866260,2025-11-26 22:28:50.440196,0 days 00:00:01.573936,"[64, 64, 128, 256, 512]",[2],"[2, 3, 4]",relu,512,64,0.1,0.0002,L2,5,increasing,0.6,mean,True,1e-05
3,0.34074074074074073,PRUNED,2025-11-26 22:28:50.441203,2025-11-26 22:28:52.224458,0 days 00:00:01.783255,"[64, 128]",[],[1],tanh,128,32,0.4,0.0005,minmax,2,increasing,,max,False,1e-06
4,0.40610691324871145,COMPLETE,2025-11-26 22:28:52.225464,2025-11-26 22:30:14.121575,0 days 00:01:21.896111,"[1024, 512, 256, 128, 64]","[1, 3, 4]","[1, 3, 4]",gelu,1024,16,0.2,1e-05,L2,5,decreasing,,mean,False,1e-07
5,0.21839080459770113,PRUNED,2025-11-26 22:30:14.123605,2025-11-26 22:30:14.938282,0 days 00:00:00.814677,[384],[],[],silu,384,96,,2e-05,L2,1,uniform,,max,False,1e-05
6,0.3661397403041418,COMPLETE,2025-11-26 22:30:14.938282,2025-11-26 22:30:39.782472,0 days 00:00:24.844190,"[128, 64, 64, 64, 64, 64]","[1, 5]","[4, 5]",leakyrelu,128,48,0.3,0.0001,minmax,6,decreasing,0.7,mean,True,1e-05
7,0.42728531353065236,COMPLETE,2025-11-26 22:30:39.784484,2025-11-26 22:30:51.649067,0 days 00:00:11.864583,"[896, 448, 224, 112, 64, 64]","[2, 5]","[1, 3]",leakyrelu,896,128,0.4,0.0005,minmax,6,decreasing,0.5,max,True,0.0001
8,0.333939393939394,PRUNED,2025-11-26 22:30:51.651079,2025-11-26 22:30:56.237901,0 days 00:00:04.586822,"[128, 64, 64, 64, 64]","[1, 3, 4]",[4],leakyrelu,128,128,0.5,0.0005,minmax,5,decreasing,,max,False,1e-05
9,0.3167452418369129,PRUNED,2025-11-26 22:30:56.238907,2025-11-26 22:30:59.666319,0 days 00:00:03.427412,"[256, 256, 256, 256, 256, 256]","[2, 4, 5]","[3, 4, 5]",silu,256,64,0.4,0.0001,L2,6,uniform,0.6,mean,True,0.0
10,0.46000891442973246,COMPLETE,2025-11-26 22:30:59.666823,2025-11-26 22:31:40.802773,0 days 00:00:41.135950,"[768, 384, 192]",[2],[2],elu,768,16,0.2,0.001,minmax,3,decreasing,,max,False,0.0
11,0.3564174911008727,PRUNED,2025-11-26 22:31:40.804784,2025-11-26 22:31:48.188002,0 days 00:00:07.383218,"[768, 384, 192]",[2],[2],elu,768,16,0.2,0.001,minmax,3,decreasing,,max,False,0.0
12,0.21839080459770113,PRUNED,2025-11-26 22:31:48.189008,2025-11-26 22:31:54.860010,0 days 00:00:06.671002,"[768, 384, 192]",[2],[2],elu,768,16,0.2,0.001,minmax,3,decreasing,,max,False,0.0
13,0.39224707389777397,PRUNED,2025-11-26 22:31:54.860010,2025-11-26 22:31:57.832217,0 days 00:00:02.972207,"[512, 256]",[],[],elu,512,16,,0.001,minmax,2,decreasing,,max,False,0.0
14,0.21052631578947367,PRUNED,2025-11-26 22:31:57.833241,2025-11-26 22:32:05.956488,0 days 00:00:08.123247,"[640, 320, 160, 80]","[2, 3]",[2],tanh,640,16,0.2,5e-05,minmax,4,decreasing,,max,False,0.0
15,0.21839080459770113,PRUNED,2025-11-26 22:32:05.957506,2025-11-26 22:32:09.152405,0 days 00:00:03.194899,"[768, 768]",[1],[],relu,768,48,,0.001,minmax,2,uniform,,max,False,0.0001
16,0.3723016540510233,PRUNED,2025-11-26 22:32:09.153411,2025-11-26 22:32:10.311938,0 days 00:00:01.158527,"[512, 256, 128, 64]",[2],"[2, 3]",gelu,512,96,0.1,0.001,minmax,4,decreasing,,max,False,1e-07
17,0.4347832727483284,COMPLETE,2025-11-26 22:32:10.312944,2025-11-26 22:32:31.131300,0 days 00:00:20.818356,"[1024, 512, 256]",[2],[2],leakyrelu,1024,32,0.5,0.0002,minmax,3,decreasing,,max,False,0.0
18,0.21839080459770113,PRUNED,2025-11-26 22:32:31.133374,2025-11-26 22:32:33.622421,0 days 00:00:02.489047,[256],[],[],elu,256,16,,5e-05,L2,1,increasing,,max,False,0.0
19,0.3516761543327009,PRUNED,2025-11-26 22:32:33.623477,2025-11-26 22:32:38.006918,0 days 00:00:04.383441,"[384, 384, 384, 384]","[2, 3]",[2],leakyrelu,384,16,0.3,1e-05,minmax,4,uniform,,max,False,0.0
20,0.21839080459770113,PRUNED,2025-11-26 22:32:38.007924,2025-11-26 22:32:46.458826,0 days 00:00:08.450902,"[640, 320]",[1],[1],elu,640,16,0.2,2e-05,minmax,2,decreasing,,max,False,1e-07
21,0.18238993710691823,PRUNED,2025-11-26 22:32:46.459831,2025-11-26 22:32:58.760716,0 days 00:00:12.300885,"[1024, 512, 256]",[2],[2],leakyrelu,1024,32,0.5,0.0002,minmax,3,decreasing,,max,False,0.0
22,0.41846953760710315,COMPLETE,2025-11-26 22:32:58.761723,2025-11-26 22:33:18.834605,0 days 00:00:20.072882,"[1024, 512, 256]",[2],[2],leakyrelu,1024,32,0.5,0.0002,minmax,3,decreasing,,max,False,0.0
23,0.31139481986939616,PRUNED,2025-11-26 22:33:18.836611,2025-11-26 22:33:20.888218,0 days 00:00:02.051607,"[512, 256, 128]",[2],[2],leakyrelu,512,32,0.5,0.0002,minmax,3,decreasing,,max,False,0.0
24,0.3466407806030447,PRUNED,2025-11-26 22:33:20.889225,2025-11-26 22:33:23.231650,0 days 00:00:02.342425,"[1024, 512, 256, 128]",[2],"[2, 3]",leakyrelu,1024,32,0.2,0.001,minmax,4,decreasing,,max,False,0.0001
25,0.21839080459770113,PRUNED,2025-11-26 22:33:23.232656,2025-11-26 22:33:27.485379,0 days 00:00:04.252723,"[768, 384]",[],[],gelu,768,96,,0.001,minmax,2,decreasing,,max,False,1e-06
26,0.21839080459770113,PRUNED,2025-11-26 22:33:27.486884,2025-11-26 22:33:30.594707,0 days 00:00:03.107823,"[512, 256, 128]",[2],[2],relu,512,48,0.5,0.0002,L2,3,decreasing,0.9,mean,True,0.0
27,0.18238993710691823,PRUNED,2025-11-26 22:33:30.595713,2025-11-26 22:33:37.636586,0 days 00:00:07.040873,"[1024, 512, 256, 128]","[2, 3]",[2],tanh,1024,128,0.2,0.001,minmax,4,decreasing,,max,False,0.0
28,0.21839080459770113,PRUNED,2025-11-26 22:33:37.637603,2025-11-26 22:33:41.381586,0 days 00:00:03.743983,"[384, 768]",[1],[1],elu,768,32,0.3,2e-05,minmax,2,increasing,,max,False,0.0
29,0.404002050709917,COMPLETE,2025-11-26 22:33:41.382592,2025-11-26 22:34:02.884451,0 days 00:00:21.501859,"[896, 896, 896]",[2],[2],silu,896,64,0.1,1e-05,minmax,3,uniform,0.8,mean,True,1e-06
30,0.36099773650362693,COMPLETE,2025-11-26 22:34:02.886458,2025-11-26 22:34:47.190164,0 days 00:00:44.303706,[256],[],[],leakyrelu,256,16,,5e-05,minmax,1,increasing,,max,False,0.0
31,0.41538887820248876,COMPLETE,2025-11-26 22:34:47.192176,2025-11-26 22:34:57.769376,0 days 00:00:10.577200,"[896, 448, 224, 112, 64, 64]",[2],"[1, 3]",leakyrelu,896,128,0.4,0.0005,minmax,6,decreasing,0.5,max,True,0.0001
32,0.3360030511060259,PRUNED,2025-11-26 22:34:57.771441,2025-11-26 22:34:58.854409,0 days 00:00:01.082968,"[896, 448, 224, 112]",[2],"[1, 3]",leakyrelu,896,128,0.4,0.0005,minmax,4,decreasing,0.5,max,True,0.0001
33,0.3036549707602339,PRUNED,2025-11-26 22:34:58.854409,2025-11-26 22:35:01.008969,0 days 00:00:02.154560,"[896, 448, 224, 112, 64]",[2],"[1, 2, 3]",leakyrelu,896,128,0.4,0.0005,minmax,5,decreasing,0.5,max,True,0.0001
34,0.42185131716997903,COMPLETE,2025-11-26 22:35:01.009987,2025-11-26 22:35:09.597812,0 days 00:00:08.587825,"[896, 448, 224]",[2],[1],leakyrelu,896,128,0.5,0.0002,L2,3,decreasing,0.7,mean,True,0.0001
35,0.3044662309368192,PRUNED,2025-11-26 22:35:09.599824,2025-11-26 22:35:18.332156,0 days 00:00:08.732332,"[64, 64, 128, 256, 512]",[2],"[1, 2, 3]",relu,512,64,0.4,0.0005,minmax,5,increasing,0.9,max,True,1e-06
36,0.33116834639790965,PRUNED,2025-11-26 22:35:18.333659,2025-11-26 22:35:21.893442,0 days 00:00:03.559783,"[384, 192]",[],[1],gelu,384,32,0.2,0.0001,minmax,2,decreasing,0.5,max,True,1e-07
37,0.3181818181818182,PRUNED,2025-11-26 22:35:21.894442,2025-11-26 22:35:38.438950,0 days 00:00:16.544508,"[1024, 512, 256, 128]",[],"[1, 2, 3]",tanh,1024,16,0.2,0.001,L2,4,decreasing,0.5,mean,True,1e-05
38,0.35121136173767753,PRUNED,2025-11-26 22:35:38.439956,2025-11-26 22:35:44.074889,0 days 00:00:05.634933,"[128, 64, 64, 64, 64, 64]","[2, 4, 5]",[3],silu,128,96,0.1,0.0005,minmax,6,decreasing,,max,False,0.0001
39,0.41557988717211103,COMPLETE,2025-11-26 22:35:44.076393,2025-11-26 22:35:59.867306,0 days 00:00:15.790913,"[768, 768, 768]","[1, 2]",[2],leakyrelu,768,48,0.4,0.0002,minmax,3,uniform,,max,False,1e-05
40,0.2142857142857143,PRUNED,2025-11-26 22:35:59.869403,2025-11-26 22:36:00.922653,0 days 00:00:01.053250,"[64, 80, 160, 320, 640]",[],"[1, 3]",elu,640,128,0.2,0.0001,L2,5,increasing,0.9,mean,True,0.0
41,0.40919078586843904,COMPLETE,2025-11-26 22:36:00.923660,2025-11-26 22:36:10.508102,0 days 00:00:09.584442,"[896, 448, 224]",[2],[1],leakyrelu,896,128,0.5,0.0002,L2,3,decreasing,0.7,mean,True,0.0001
42,0.21839080459770113,PRUNED,2025-11-26 22:36:10.510148,2025-11-26 22:36:12.306697,0 days 00:00:01.796549,"[896, 448, 224]",[2],[1],leakyrelu,896,128,0.5,0.0002,L2,3,decreasing,0.7,mean,True,0.0001
43,0.21839080459770113,PRUNED,2025-11-26 22:36:12.307201,2025-11-26 22:36:13.981903,0 days 00:00:01.674702,"[896, 448, 224]",[2],[1],leakyrelu,896,128,0.5,0.0002,L2,3,decreasing,0.7,mean,True,0.0001
44,0.287166896489871,PRUNED,2025-11-26 22:36:13.982909,2025-11-26 22:36:24.651205,0 days 00:00:10.668296,"[896, 448]",[],[1],leakyrelu,896,16,0.5,1e-05,L2,2,decreasing,0.7,mean,True,0.0001
45,0.2144927536231884,PRUNED,2025-11-26 22:36:24.652220,2025-11-26 22:36:26.407657,0 days 00:00:01.755437,"[128, 64, 64, 64]","[2, 3]",[],leakyrelu,128,128,,0.001,L2,4,decreasing,0.8,mean,True,0.0
46,0.3551923731699012,PRUNED,2025-11-26 22:36:26.408662,2025-11-26 22:36:27.793623,0 days 00:00:01.384961,"[768, 384, 192]","[1, 2]",[1],elu,768,64,0.3,2e-05,minmax,3,decreasing,,max,False,0.0001
47,0.4528580844960738,COMPLETE,2025-11-26 22:36:27.793623,2025-11-26 22:37:18.379636,0 days 00:00:50.586013,"[512, 256]",[],[],silu,512,16,,0.0002,L2,2,decreasing,,max,False,1e-07
48,0.22472944968915498,PRUNED,2025-11-26 22:37:18.381648,2025-11-26 22:37:24.244229,0 days 00:00:05.862581,"[512, 512]",[],[],silu,512,16,,0.001,minmax,2,uniform,,max,False,1e-05
49,0.3060606060606061,PRUNED,2025-11-26 22:37:24.245235,2025-11-26 22:37:38.872470,0 days 00:00:14.627235,[512],[],[],silu,512,16,,5e-05,minmax,1,decreasing,,max,False,1e-07
