number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.44233674519096516,COMPLETE,2025-11-26 22:37:40.644885,2025-11-26 22:38:03.535255,0 days 00:00:22.890370,"[896, 448, 224, 112, 64, 64]","[1, 2, 3, 4]","[2, 4]",tanh,896,64,0.3,0.0002,minmax,6,decreasing,,max,False,1e-06
1,0.4518934261089521,COMPLETE,2025-11-26 22:38:03.537809,2025-11-26 22:38:27.181358,0 days 00:00:23.643549,"[256, 256, 256, 256]",[1],"[2, 3]",gelu,256,64,0.1,5e-05,L2,4,uniform,0.9,max,True,1e-06
2,0.21839080459770113,PRUNED,2025-11-26 22:38:27.184413,2025-11-26 22:38:28.173466,0 days 00:00:00.989053,"[768, 384, 192, 96]",[1],[2],gelu,768,128,0.3,1e-05,minmax,4,decreasing,,mean,False,1e-07
3,0.3176257005288499,PRUNED,2025-11-26 22:38:28.174471,2025-11-26 22:38:32.273101,0 days 00:00:04.098630,"[1024, 1024, 1024, 1024, 1024, 1024]","[1, 3, 4, 5]","[3, 4, 5]",tanh,1024,64,0.5,2e-05,L2,6,uniform,0.6,max,True,1e-07
4,0.25966153068956804,PRUNED,2025-11-26 22:38:32.274106,2025-11-26 22:38:33.380280,0 days 00:00:01.106174,"[512, 512, 512]","[1, 2]",[2],elu,512,96,0.5,1e-05,minmax,3,uniform,,mean,False,0.0001
5,0.3839511866491785,COMPLETE,2025-11-26 22:38:33.381285,2025-11-26 22:39:10.589457,0 days 00:00:37.208172,"[64, 96, 192, 384]","[1, 2]","[1, 3]",silu,384,32,0.3,5e-05,minmax,4,increasing,,mean,False,1e-05
6,0.41030139451192077,PRUNED,2025-11-26 22:39:10.591468,2025-11-26 22:39:14.031517,0 days 00:00:03.440049,"[1024, 1024, 1024, 1024, 1024, 1024]","[2, 3, 5]","[1, 3, 4, 5]",silu,1024,96,0.1,1e-05,L2,6,uniform,0.8,mean,True,1e-05
7,0.32606941081517354,PRUNED,2025-11-26 22:39:14.032550,2025-11-26 22:39:22.381862,0 days 00:00:08.349312,"[128, 256, 512, 1024]","[1, 3]","[2, 3]",relu,1024,48,0.3,0.0002,minmax,4,increasing,0.7,max,True,1e-06
8,0.40384139360747545,PRUNED,2025-11-26 22:39:22.382991,2025-11-26 22:39:31.384506,0 days 00:00:09.001515,"[384, 384, 384, 384]","[1, 2]","[2, 3]",silu,384,16,0.3,2e-05,minmax,4,uniform,,max,False,0.0001
9,0.21839080459770113,PRUNED,2025-11-26 22:39:31.385513,2025-11-26 22:39:33.104563,0 days 00:00:01.719050,"[64, 64, 64, 96, 192, 384]","[1, 3, 4]","[1, 4]",elu,384,64,0.3,0.0005,L2,6,increasing,,mean,False,1e-05
10,0.21839080459770113,PRUNED,2025-11-26 22:39:33.105569,2025-11-26 22:39:35.705806,0 days 00:00:02.600237,[256],[],[],gelu,256,16,,5e-05,L2,1,uniform,0.9,max,True,0.0
