number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.3887267852833744,COMPLETE,2025-11-26 22:52:16.052374,2025-11-26 22:52:31.677239,0 days 00:00:15.624865,"[192, 384, 768]",[2],[1],silu,768,128,0.4,2e-05,minmax,3,increasing,,mean,False,0.0001
1,0.4163175959774496,COMPLETE,2025-11-26 22:52:31.680271,2025-11-26 22:52:56.621266,0 days 00:00:24.940995,"[64, 96, 192, 384]","[1, 2]",[3],leakyrelu,384,32,0.1,0.0002,L2,4,increasing,0.7,max,True,1e-06
2,0.43016871924894584,COMPLETE,2025-11-26 22:52:56.623277,2025-11-26 22:53:10.033511,0 days 00:00:13.410234,[896],[],[],silu,896,32,,0.0005,L2,1,increasing,0.8,mean,True,0.0001
3,0.4217274764505259,COMPLETE,2025-11-26 22:53:10.035523,2025-11-26 22:53:20.342537,0 days 00:00:10.307014,"[128, 256, 512]",[],[1],leakyrelu,512,128,0.5,0.0002,minmax,3,increasing,,max,False,0.0
4,0.21839080459770113,PRUNED,2025-11-26 22:53:20.344587,2025-11-26 22:53:21.108009,0 days 00:00:00.763422,[1024],[],[],tanh,1024,128,,1e-05,L2,1,decreasing,,max,False,1e-07
5,0.21839080459770113,PRUNED,2025-11-26 22:53:21.109015,2025-11-26 22:53:21.981186,0 days 00:00:00.872171,"[384, 768]",[],[],silu,768,96,,2e-05,L2,2,increasing,,mean,False,0.0
6,0.4783681585784162,COMPLETE,2025-11-26 22:53:21.982204,2025-11-26 22:53:37.328157,0 days 00:00:15.345953,"[64, 128, 256]",[1],[1],relu,256,64,0.2,0.0005,L2,3,increasing,,mean,False,1e-07
7,0.21839080459770113,PRUNED,2025-11-26 22:53:37.330210,2025-11-26 22:53:39.002292,0 days 00:00:01.672082,"[1024, 1024, 1024]",[],[2],gelu,1024,128,0.3,0.0001,minmax,3,uniform,,max,False,1e-06
8,0.3563636363636364,PRUNED,2025-11-26 22:53:39.002292,2025-11-26 22:53:42.198340,0 days 00:00:03.196048,"[512, 256]",[1],[],silu,512,16,,2e-05,minmax,2,decreasing,0.6,max,True,1e-07
9,0.21839080459770113,PRUNED,2025-11-26 22:53:42.199347,2025-11-26 22:53:44.697501,0 days 00:00:02.498154,"[384, 192, 96, 64, 64, 64]","[3, 4, 5]","[1, 2, 4]",gelu,384,96,0.2,0.0005,L2,6,decreasing,,max,False,1e-06
10,0.21839080459770113,PRUNED,2025-11-26 22:53:44.698504,2025-11-26 22:53:47.744799,0 days 00:00:03.046295,"[256, 256, 256, 256, 256]","[1, 3]","[1, 3]",relu,256,64,0.2,5e-05,L2,5,uniform,0.5,mean,True,1e-05
11,0.30864197530864196,PRUNED,2025-11-26 22:53:47.745805,2025-11-26 22:53:50.722899,0 days 00:00:02.977094,[896],[],[],elu,896,32,,0.0005,L2,1,increasing,0.8,mean,True,0.0001
12,0.3919834954317713,PRUNED,2025-11-26 22:53:50.723905,2025-11-26 22:53:51.956007,0 days 00:00:01.232102,"[320, 640]",[1],[1],relu,640,64,0.2,0.001,L2,2,increasing,0.8,mean,True,0.0001
13,0.21238938053097345,PRUNED,2025-11-26 22:53:51.957510,2025-11-26 22:53:58.081040,0 days 00:00:06.123530,"[64, 64, 128, 256]",[1],[1],relu,256,48,0.5,0.0005,L2,4,increasing,0.9,mean,True,1e-07
14,0.43197999939012244,COMPLETE,2025-11-26 22:53:58.082047,2025-11-26 22:54:09.965147,0 days 00:00:11.883100,[896],[],[],tanh,896,64,,0.0005,L2,1,increasing,,mean,False,1e-05
15,0.3311965811965812,PRUNED,2025-11-26 22:54:09.967153,2025-11-26 22:54:17.139614,0 days 00:00:07.172461,"[128, 128, 128, 128, 128]","[1, 2, 3, 4]","[1, 2, 3]",tanh,128,64,0.1,0.0005,L2,5,uniform,,mean,False,1e-05
16,0.21839080459770113,PRUNED,2025-11-26 22:54:17.140620,2025-11-26 22:54:18.339179,0 days 00:00:01.198559,"[128, 256]",[1],[1],tanh,256,64,0.4,0.0001,L2,2,increasing,,mean,False,1e-05
17,0.21758419036095988,COMPLETE,2025-11-26 22:54:18.340185,2025-11-26 22:54:29.627934,0 days 00:00:11.287749,"[112, 224, 448, 896]",[1],[],elu,896,64,,1e-05,L2,4,increasing,,mean,False,1e-07
18,0.4680944327033532,COMPLETE,2025-11-26 22:54:29.629948,2025-11-26 22:54:52.359859,0 days 00:00:22.729911,"[128, 128, 128, 128, 128, 128]","[1, 2]","[1, 2, 4, 5]",tanh,128,48,0.3,0.001,minmax,6,uniform,,mean,False,1e-05
19,0.24527629233511586,PRUNED,2025-11-26 22:54:52.361871,2025-11-26 22:54:54.501530,0 days 00:00:02.139659,"[128, 128, 128, 128, 128, 128]","[1, 2]","[1, 2, 4, 5]",relu,128,48,0.3,0.001,minmax,6,uniform,,mean,False,1e-05
20,0.21839080459770113,PRUNED,2025-11-26 22:54:54.502543,2025-11-26 22:54:59.387246,0 days 00:00:04.884703,"[128, 128, 128, 128, 128]","[1, 2]","[1, 2, 4]",relu,128,48,0.3,0.001,minmax,5,uniform,,mean,False,1e-07
21,0.18238993710691823,PRUNED,2025-11-26 22:54:59.388262,2025-11-26 22:55:39.278438,0 days 00:00:39.890176,"[128, 128, 128, 128, 128, 128]","[1, 2]","[1, 2, 4, 5]",tanh,128,16,0.3,5e-05,minmax,6,uniform,,mean,False,1e-05
22,0.18238993710691823,PRUNED,2025-11-26 22:55:39.280450,2025-11-26 22:55:48.237987,0 days 00:00:08.957537,"[640, 640, 640]",[1],[1],tanh,640,48,0.2,0.001,minmax,3,uniform,,mean,False,1e-05
23,0.21839080459770113,PRUNED,2025-11-26 22:55:48.238993,2025-11-26 22:55:51.384974,0 days 00:00:03.145981,"[256, 128, 64, 64, 64]","[1, 2, 3]","[1, 2, 3, 4]",tanh,256,64,0.3,0.0005,minmax,5,decreasing,,mean,False,1e-05
24,0.43245976094156857,COMPLETE,2025-11-26 22:55:51.385983,2025-11-26 22:56:02.074815,0 days 00:00:10.688832,[896],[],[],tanh,896,64,,0.0005,L2,1,increasing,,mean,False,1e-05
25,0.375,PRUNED,2025-11-26 22:56:02.077324,2025-11-26 22:56:03.772602,0 days 00:00:01.695278,"[256, 256, 256, 256]",[1],[1],tanh,256,48,0.2,0.001,L2,4,uniform,,mean,False,0.0
26,0.3704648526077097,PRUNED,2025-11-26 22:56:03.773607,2025-11-26 22:56:08.065999,0 days 00:00:04.292392,"[64, 128]",[],[],gelu,128,64,,0.0005,minmax,2,increasing,,mean,False,1e-07
27,0.21839080459770113,PRUNED,2025-11-26 22:56:08.067503,2025-11-26 22:56:21.671019,0 days 00:00:13.603516,"[224, 448, 896]","[1, 2]","[1, 2]",leakyrelu,896,16,0.4,5e-05,L2,3,increasing,,mean,False,1e-05
28,0.288515406162465,PRUNED,2025-11-26 22:56:21.672025,2025-11-26 22:56:24.105074,0 days 00:00:02.433049,"[1024, 512, 256, 128, 64]","[1, 4]",[1],elu,1024,96,0.1,0.0001,minmax,5,decreasing,,mean,False,1e-05
29,0.21839080459770113,PRUNED,2025-11-26 22:56:24.106080,2025-11-26 22:56:25.739147,0 days 00:00:01.633067,"[768, 768, 768]",[2],"[1, 2]",relu,768,48,0.5,1e-05,minmax,3,uniform,,mean,False,1e-07
30,0.3055309080153801,PRUNED,2025-11-26 22:56:25.740153,2025-11-26 22:56:27.429985,0 days 00:00:01.689832,"[64, 64, 64, 96, 192, 384]","[1, 2, 3]","[2, 3, 4, 5]",tanh,384,64,0.3,0.0002,L2,6,increasing,,mean,False,0.0
31,0.3481481481481481,PRUNED,2025-11-26 22:56:27.429985,2025-11-26 22:56:31.304892,0 days 00:00:03.874907,[896],[],[],tanh,896,64,,0.0005,L2,1,increasing,,mean,False,1e-05
32,0.2770053475935829,PRUNED,2025-11-26 22:56:31.305892,2025-11-26 22:56:32.304631,0 days 00:00:00.998739,[896],[],[],tanh,896,64,,0.0005,L2,1,increasing,,mean,False,1e-05
33,0.21839080459770113,PRUNED,2025-11-26 22:56:32.304631,2025-11-26 22:56:34.118853,0 days 00:00:01.814222,[896],[],[],tanh,896,64,,0.0005,L2,1,increasing,,mean,False,1e-05
34,0.21839080459770113,PRUNED,2025-11-26 22:56:34.119861,2025-11-26 22:56:35.993916,0 days 00:00:01.874055,"[448, 896]",[1],[1],leakyrelu,896,32,0.2,0.0005,L2,2,increasing,,max,False,1e-06
35,0.21839080459770113,PRUNED,2025-11-26 22:56:35.994920,2025-11-26 22:56:36.944021,0 days 00:00:00.949101,[640],[],[],tanh,640,64,,2e-05,L2,1,increasing,,mean,False,0.0001
36,0.49245219867019774,COMPLETE,2025-11-26 22:56:36.945025,2025-11-26 22:56:49.959395,0 days 00:00:13.014370,"[256, 512]",[1],[1],silu,512,128,0.3,0.0002,L2,2,increasing,,mean,False,1e-05
37,0.21839080459770113,PRUNED,2025-11-26 22:56:49.961407,2025-11-26 22:56:51.467395,0 days 00:00:01.505988,"[256, 512]",[1],[1],silu,512,128,0.3,0.0002,L2,2,increasing,,max,False,1e-05
38,0.49397625652457433,COMPLETE,2025-11-26 22:56:51.467899,2025-11-26 22:57:01.149227,0 days 00:00:09.681328,"[128, 256, 512]",[1],[1],silu,512,128,0.3,0.0002,minmax,3,increasing,0.9,mean,True,1e-06
39,0.37690140845070425,PRUNED,2025-11-26 22:57:01.151466,2025-11-26 22:57:02.985789,0 days 00:00:01.834323,"[512, 256, 128]",[1],[1],silu,512,128,0.3,0.0002,minmax,3,decreasing,0.9,max,True,1e-06
40,0.48199591561169386,COMPLETE,2025-11-26 22:57:02.987291,2025-11-26 22:57:12.771281,0 days 00:00:09.783990,"[512, 512, 512, 512]",[1],[1],silu,512,128,0.3,0.0002,minmax,4,uniform,0.9,mean,True,1e-06
41,0.4641751047077965,COMPLETE,2025-11-26 22:57:12.773304,2025-11-26 22:57:24.517833,0 days 00:00:11.744529,"[512, 512, 512, 512]",[1],[1],silu,512,128,0.3,0.0002,minmax,4,uniform,0.9,mean,True,1e-06
42,0.21839080459770113,PRUNED,2025-11-26 22:57:24.520884,2025-11-26 22:57:26.390392,0 days 00:00:01.869508,"[512, 512, 512, 512]",[1],[1],silu,512,128,0.3,0.0002,minmax,4,uniform,0.9,mean,True,1e-06
43,0.39014202172096907,PRUNED,2025-11-26 22:57:26.391397,2025-11-26 22:57:30.287955,0 days 00:00:03.896558,"[512, 512, 512]",[1],[1],silu,512,128,0.3,0.0002,minmax,3,uniform,0.9,mean,True,1e-06
44,0.4686176769071812,COMPLETE,2025-11-26 22:57:30.288960,2025-11-26 22:57:42.260452,0 days 00:00:11.971492,"[512, 512, 512]",[1],[1],silu,512,128,0.3,0.0002,minmax,3,uniform,0.6,mean,True,1e-06
45,0.35699797160243407,PRUNED,2025-11-26 22:57:42.262475,2025-11-26 22:57:44.119166,0 days 00:00:01.856691,"[512, 512, 512]",[1],[1],silu,512,128,0.3,0.0002,minmax,3,uniform,0.6,max,True,1e-06
46,0.36140819964349374,PRUNED,2025-11-26 22:57:44.120172,2025-11-26 22:57:46.226120,0 days 00:00:02.105948,"[64, 128, 256, 512]","[1, 3]","[1, 3]",silu,512,128,0.4,0.0002,minmax,4,increasing,0.6,mean,True,1e-06
47,0.3759596402719894,PRUNED,2025-11-26 22:57:46.227622,2025-11-26 22:57:49.852320,0 days 00:00:03.624698,"[512, 256, 128]",[],[1],silu,512,128,0.3,0.0002,minmax,3,decreasing,0.5,mean,True,1e-06
48,0.21637426900584797,PRUNED,2025-11-26 22:57:49.853320,2025-11-26 22:57:52.367833,0 days 00:00:02.514513,"[256, 512]",[1],[],silu,512,128,,0.0002,minmax,2,increasing,0.7,mean,True,1e-06
49,0.3706392417826175,PRUNED,2025-11-26 22:57:52.368836,2025-11-26 22:57:53.280304,0 days 00:00:00.911468,"[512, 512, 512]",[],[1],silu,512,128,0.1,0.0002,minmax,3,uniform,0.6,mean,True,1e-06
