number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.38988002629054186,COMPLETE,2025-11-26 22:57:54.958247,2025-11-26 22:58:05.781621,0 days 00:00:10.823374,"[64, 64, 64, 128]",[1],[1],silu,128,128,0.2,0.001,L2,4,increasing,0.9,mean,True,1e-06
1,0.44519774670478396,COMPLETE,2025-11-26 22:58:05.784647,2025-11-26 22:58:37.599337,0 days 00:00:31.814690,"[896, 896, 896, 896, 896]",[4],"[1, 4]",gelu,896,32,0.5,0.0002,minmax,5,uniform,0.9,max,True,1e-06
2,0.40926782788867466,COMPLETE,2025-11-26 22:58:37.601350,2025-11-26 22:58:52.030796,0 days 00:00:14.429446,"[512, 512, 512, 512, 512, 512]",[3],"[2, 3, 4]",elu,512,128,0.2,0.0001,L2,6,uniform,0.5,mean,True,0.0001
3,0.21839080459770113,PRUNED,2025-11-26 22:58:52.033813,2025-11-26 22:58:54.703758,0 days 00:00:02.669945,"[128, 256]",[1],[],elu,256,64,,0.0001,L2,2,increasing,,max,False,1e-06
4,0.4567462445968082,COMPLETE,2025-11-26 22:58:54.703758,2025-11-26 22:59:15.322766,0 days 00:00:20.619008,"[256, 256, 256, 256, 256]","[2, 4]",[1],relu,256,48,0.2,0.001,L2,5,uniform,0.6,mean,True,0.0001
5,0.21839080459770113,PRUNED,2025-11-26 22:59:15.324779,2025-11-26 22:59:18.962740,0 days 00:00:03.637961,[1024],[],[],relu,1024,32,,0.0001,minmax,1,increasing,0.9,max,True,1e-07
6,0.1761006289308176,PRUNED,2025-11-26 22:59:18.963745,2025-11-26 22:59:38.271620,0 days 00:00:19.307875,"[128, 64, 64, 64, 64, 64]","[1, 2, 3]","[1, 3, 5]",relu,128,16,0.4,5e-05,minmax,6,decreasing,0.7,mean,True,0.0001
7,0.08888888888888889,PRUNED,2025-11-26 22:59:38.272635,2025-11-26 22:59:41.408809,0 days 00:00:03.136174,"[384, 192, 96, 64]",[],"[2, 3]",gelu,384,128,0.4,0.0001,L2,4,decreasing,,mean,False,1e-05
8,0.424842433985139,COMPLETE,2025-11-26 22:59:41.409816,2025-11-26 22:59:57.445922,0 days 00:00:16.036106,"[128, 256, 512]",[1],[2],relu,512,48,0.3,5e-05,L2,3,increasing,,mean,False,0.0
9,0.33454545454545453,PRUNED,2025-11-26 22:59:57.448457,2025-11-26 23:00:02.075217,0 days 00:00:04.626760,"[640, 640]",[1],[],tanh,640,128,,2e-05,minmax,2,uniform,0.5,max,True,1e-06
10,0.2952069716775599,PRUNED,2025-11-26 23:00:02.076223,2025-11-26 23:00:04.067422,0 days 00:00:01.991199,"[256, 256, 256, 256, 256]","[2, 4]",[1],leakyrelu,256,48,0.1,0.001,L2,5,uniform,,mean,False,0.0001
11,0.4430231025575046,COMPLETE,2025-11-26 23:00:04.068441,2025-11-26 23:00:22.368173,0 days 00:00:18.299732,"[896, 896, 896, 896, 896]","[2, 4]","[1, 4]",gelu,896,96,0.5,0.0002,minmax,5,uniform,0.6,max,True,1e-07
12,0.34701038310060867,PRUNED,2025-11-26 23:00:22.370193,2025-11-26 23:00:33.631266,0 days 00:00:11.261073,"[896, 896, 896, 896, 896]","[2, 4]","[1, 4]",gelu,896,32,0.5,1e-05,minmax,5,uniform,0.8,max,True,0.0
13,0.40849701866201116,COMPLETE,2025-11-26 23:00:33.632272,2025-11-26 23:01:04.991319,0 days 00:00:31.359047,"[768, 768, 768, 768, 768]",[4],[1],tanh,768,32,0.5,0.0002,minmax,5,uniform,0.6,max,True,1e-05
