number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.3921339508424982,COMPLETE,2025-11-26 23:30:48.616657,2025-11-26 23:31:15.146512,0 days 00:00:26.529855,[512],[],[],gelu,512,48,,0.0001,L2,1,uniform,,mean,False,1e-05
1,0.43249110293457516,COMPLETE,2025-11-26 23:31:15.149521,2025-11-26 23:31:32.455898,0 days 00:00:17.306377,"[640, 320, 160]",[1],[1],relu,640,48,0.2,0.0001,minmax,3,decreasing,0.8,mean,True,1e-06
2,0.3193698532044396,PRUNED,2025-11-26 23:31:32.455898,2025-11-26 23:31:34.535102,0 days 00:00:02.079204,"[256, 512, 1024]",[2],[2],silu,1024,48,0.1,0.0002,minmax,3,increasing,0.5,max,True,1e-07
3,0.41645206582084837,COMPLETE,2025-11-26 23:31:34.536105,2025-11-26 23:31:58.266028,0 days 00:00:23.729923,"[192, 384, 768]",[1],[2],leakyrelu,768,48,0.3,5e-05,minmax,3,increasing,0.5,mean,True,1e-05
4,0.10579656408354964,PRUNED,2025-11-26 23:31:58.266028,2025-11-26 23:32:01.682738,0 days 00:00:03.416710,"[320, 640]",[1],[],relu,640,128,,2e-05,L2,2,increasing,,max,False,1e-07
5,0.2681746824603967,PRUNED,2025-11-26 23:32:01.682738,2025-11-26 23:32:08.315490,0 days 00:00:06.632752,[128],[],[],tanh,128,32,,5e-05,L2,1,increasing,0.8,mean,True,1e-07
6,0.35100811730819587,PRUNED,2025-11-26 23:32:08.315490,2025-11-26 23:32:10.111429,0 days 00:00:01.795939,"[64, 64, 64, 64, 128]","[2, 3]",[4],gelu,128,96,0.4,0.0002,minmax,5,increasing,,mean,False,0.0
7,0.4255246323958704,COMPLETE,2025-11-26 23:32:10.111429,2025-11-26 23:33:01.317898,0 days 00:00:51.206469,"[192, 384, 768]","[1, 2]",[],tanh,768,16,,2e-05,minmax,3,increasing,,max,False,0.0
8,0.21839080459770113,PRUNED,2025-11-26 23:33:01.320415,2025-11-26 23:33:26.152570,0 days 00:00:24.832155,"[896, 896, 896, 896, 896, 896]","[1, 2, 5]","[1, 3, 4]",elu,896,16,0.5,0.001,minmax,6,uniform,0.5,max,True,0.0
9,0.3455037187288708,PRUNED,2025-11-26 23:33:26.153574,2025-11-26 23:33:28.674131,0 days 00:00:02.520557,"[384, 192]",[1],[1],relu,384,64,0.4,5e-05,minmax,2,decreasing,,mean,False,0.0
10,0.24060606060606063,PRUNED,2025-11-26 23:33:28.674131,2025-11-26 23:33:35.294845,0 days 00:00:06.620714,"[640, 320, 160, 80, 64]","[3, 4]",[1],relu,640,32,0.2,0.0001,L2,5,decreasing,0.8,mean,True,1e-06
11,0.21637426900584797,PRUNED,2025-11-26 23:33:35.294845,2025-11-26 23:34:19.611368,0 days 00:00:44.316523,"[256, 128, 64, 64]",[1],"[1, 3]",tanh,256,16,0.2,2e-05,minmax,4,decreasing,,max,False,0.0001
12,0.21637426900584797,PRUNED,2025-11-26 23:34:19.611368,2025-11-26 23:34:54.139269,0 days 00:00:34.527901,"[768, 384, 192, 96]","[1, 2, 3]",[],tanh,768,16,,1e-05,minmax,4,decreasing,,max,False,1e-06
13,0.47598575959506795,COMPLETE,2025-11-26 23:34:54.140272,2025-11-26 23:35:04.034362,0 days 00:00:09.894090,"[768, 384]",[1],[1],silu,768,128,0.2,0.0005,minmax,2,decreasing,0.9,max,True,1e-06
14,0.21839080459770113,PRUNED,2025-11-26 23:35:04.035037,2025-11-26 23:35:05.791828,0 days 00:00:01.756791,"[640, 320]",[1],[1],silu,640,128,0.2,0.0005,minmax,2,decreasing,0.9,mean,True,1e-06
15,0.4764963146689187,COMPLETE,2025-11-26 23:35:05.791828,2025-11-26 23:35:17.494958,0 days 00:00:11.703130,"[512, 256]",[1],[1],silu,512,128,0.2,0.0005,minmax,2,decreasing,0.7,max,True,1e-06
16,0.31858156028368795,PRUNED,2025-11-26 23:35:17.502756,2025-11-26 23:35:20.873566,0 days 00:00:03.370810,[512],[],[],silu,512,128,,0.0005,minmax,1,decreasing,0.7,max,True,1e-06
17,0.3272727272727273,PRUNED,2025-11-26 23:35:20.873566,2025-11-26 23:35:21.884545,0 days 00:00:01.010979,"[512, 256]",[],[1],silu,512,128,0.2,0.0005,minmax,2,decreasing,0.6,max,True,0.0001
18,0.21839080459770113,PRUNED,2025-11-26 23:35:21.891464,2025-11-26 23:35:23.769263,0 days 00:00:01.877799,"[384, 384]",[1],[1],silu,384,128,0.3,0.0005,L2,2,uniform,0.7,max,True,1e-06
19,0.21839080459770113,PRUNED,2025-11-26 23:35:23.770058,2025-11-26 23:35:26.023906,0 days 00:00:02.253848,[896],[],[],elu,896,64,,0.0005,minmax,1,decreasing,0.9,max,True,1e-06
20,0.21839080459770113,PRUNED,2025-11-26 23:35:26.023906,2025-11-26 23:35:27.527731,0 days 00:00:01.503825,"[1024, 512, 256, 128]",[1],"[1, 2, 3]",leakyrelu,1024,96,0.5,1e-05,minmax,4,decreasing,0.7,max,True,1e-06
21,0.1761006289308176,PRUNED,2025-11-26 23:35:27.528734,2025-11-26 23:35:31.461891,0 days 00:00:03.933157,"[256, 128, 64]",[1],"[1, 2]",relu,256,48,0.2,0.0001,minmax,3,decreasing,0.9,mean,True,1e-06
22,0.3828282828282828,PRUNED,2025-11-26 23:35:31.461891,2025-11-26 23:35:33.594066,0 days 00:00:02.132175,"[512, 256]",[1],[1],silu,512,128,0.2,0.001,minmax,2,decreasing,0.8,max,True,1e-06
23,0.21839080459770113,PRUNED,2025-11-26 23:35:33.594066,2025-11-26 23:35:36.186718,0 days 00:00:02.592652,"[768, 384, 192]",[1],[1],silu,768,128,0.2,0.0001,minmax,3,decreasing,0.6,mean,True,1e-06
24,0.1761006289308176,PRUNED,2025-11-26 23:35:36.186718,2025-11-26 23:35:39.338252,0 days 00:00:03.151534,"[640, 320]",[1],[1],relu,640,48,0.1,0.0005,minmax,2,decreasing,0.9,max,True,1e-06
