number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-25 23:40:07.542586,2025-11-25 23:40:16.279072,0 days 00:00:08.736486,[1024],[],[],leakyrelu,1024,64,,1e-05,minmax,1,increasing,0.9,max,True,1e-07
1,0.21758419036095988,COMPLETE,2025-11-25 23:40:16.281208,2025-11-25 23:40:32.205757,0 days 00:00:15.924549,"[256, 512]",[0],[],relu,512,32,,0.0001,L2,2,increasing,,max,False,0.0001
2,0.4036331155760416,COMPLETE,2025-11-25 23:40:32.206757,2025-11-25 23:40:45.465451,0 days 00:00:13.258694,"[1024, 1024, 1024, 1024]","[0, 1, 2]","[0, 2]",leakyrelu,1024,96,0.3,0.001,L2,4,uniform,0.9,max,True,0.0001
3,0.45392814676732707,COMPLETE,2025-11-25 23:40:45.466138,2025-11-25 23:40:57.003370,0 days 00:00:11.537232,"[768, 384]",[0],[],leakyrelu,768,96,,0.0005,minmax,2,decreasing,,mean,False,1e-05
4,0.18238993710691823,PRUNED,2025-11-25 23:40:57.005380,2025-11-25 23:41:01.827005,0 days 00:00:04.821625,"[192, 384]",[0],[0],tanh,384,96,0.1,5e-05,L2,2,increasing,,mean,False,1e-07
5,0.21839080459770113,PRUNED,2025-11-25 23:41:01.829404,2025-11-25 23:41:03.639310,0 days 00:00:01.809906,"[128, 128, 128, 128, 128, 128]",[2],"[0, 1, 2, 3]",elu,128,64,0.4,0.0001,minmax,6,uniform,0.5,max,True,0.0
6,0.4103468547912992,PRUNED,2025-11-25 23:41:03.642249,2025-11-25 23:41:09.901267,0 days 00:00:06.259018,"[64, 64, 128, 256, 512, 1024]","[0, 1, 4]","[0, 4]",leakyrelu,1024,32,0.3,5e-05,minmax,6,increasing,,max,False,1e-05
7,0.4176549068317369,COMPLETE,2025-11-25 23:41:09.901987,2025-11-25 23:41:30.810534,0 days 00:00:20.908547,"[128, 128, 128, 128, 128]","[1, 3]","[0, 1]",silu,128,96,0.2,0.0001,minmax,5,uniform,0.9,mean,True,1e-06
8,0.23389475687505948,PRUNED,2025-11-25 23:41:30.810534,2025-11-25 23:41:34.183172,0 days 00:00:03.372638,"[64, 64, 80, 160, 320, 640]","[0, 1, 2, 3]","[0, 1, 2, 3, 4]",silu,640,96,0.4,0.0001,L2,6,increasing,0.5,max,True,1e-05
9,0.21839080459770113,PRUNED,2025-11-25 23:41:34.185181,2025-11-25 23:41:36.217523,0 days 00:00:02.032342,"[128, 64, 64, 64, 64]","[1, 2]",[3],leakyrelu,128,64,0.1,1e-05,minmax,5,decreasing,0.7,max,True,0.0
10,0.3489190548014078,PRUNED,2025-11-25 23:41:36.217523,2025-11-25 23:41:38.330756,0 days 00:00:02.113233,"[768, 384, 192]",[0],[],gelu,768,128,,0.0005,minmax,3,decreasing,,mean,False,1e-05
11,0.1761006289308176,PRUNED,2025-11-25 23:41:38.331759,2025-11-25 23:41:58.548842,0 days 00:00:20.217083,"[896, 896, 896, 896]",[1],[1],silu,896,16,0.2,0.0002,minmax,4,uniform,,mean,False,1e-06
12,0.14082998661311916,PRUNED,2025-11-25 23:41:58.549845,2025-11-25 23:42:01.145485,0 days 00:00:02.595640,"[768, 384, 192]",[],[1],silu,768,48,0.2,2e-05,minmax,3,decreasing,,mean,False,1e-06
13,0.35828180612583,COMPLETE,2025-11-25 23:42:01.146496,2025-11-25 23:42:09.879720,0 days 00:00:08.733224,[256],[],[],relu,256,96,,0.0005,minmax,1,decreasing,0.6,mean,True,1e-06
14,0.3973078593139383,PRUNED,2025-11-25 23:42:09.881721,2025-11-25 23:42:12.686911,0 days 00:00:02.805190,"[768, 768, 768, 768, 768]","[1, 3]","[0, 1]",gelu,768,96,0.5,0.0005,minmax,5,uniform,0.8,mean,True,1e-06
15,0.46548413186074666,COMPLETE,2025-11-25 23:42:12.686911,2025-11-25 23:42:27.927996,0 days 00:00:15.241085,"[128, 64]",[],[],elu,128,48,,0.001,minmax,2,decreasing,,mean,False,1e-05
16,0.21637426900584797,PRUNED,2025-11-25 23:42:27.930008,2025-11-25 23:42:37.907667,0 days 00:00:09.977659,"[256, 128]",[0],[],elu,256,48,,0.001,minmax,2,decreasing,,mean,False,1e-05
17,0.21839080459770113,PRUNED,2025-11-25 23:42:37.908672,2025-11-25 23:42:40.949607,0 days 00:00:03.040935,[384],[],[],elu,384,48,,0.001,minmax,1,decreasing,,mean,False,1e-05
18,0.21839080459770113,PRUNED,2025-11-25 23:42:40.950611,2025-11-25 23:42:41.857758,0 days 00:00:00.907147,"[896, 448]",[],[],tanh,896,128,,2e-05,L2,2,decreasing,,mean,False,1e-05
19,0.4686113405325113,COMPLETE,2025-11-25 23:42:41.857758,2025-11-25 23:43:17.300713,0 days 00:00:35.442955,"[512, 256, 128]",[],[],elu,512,16,,0.0002,minmax,3,decreasing,,mean,False,1e-05
20,0.21839080459770113,PRUNED,2025-11-25 23:43:17.302727,2025-11-25 23:43:23.634029,0 days 00:00:06.331302,"[512, 256, 128]",[],[],elu,512,16,,0.0002,minmax,3,decreasing,,mean,False,1e-05
21,0.4744632565956873,COMPLETE,2025-11-25 23:43:23.635229,2025-11-25 23:44:05.223263,0 days 00:00:41.588034,"[512, 256, 128]",[],[],elu,512,16,,0.0002,minmax,3,decreasing,,mean,False,1e-05
22,0.21839080459770113,PRUNED,2025-11-25 23:44:05.225294,2025-11-25 23:44:11.440628,0 days 00:00:06.215334,"[512, 256, 128]",[],[],elu,512,16,,0.0002,minmax,3,decreasing,,mean,False,1e-05
23,0.21839080459770113,PRUNED,2025-11-25 23:44:11.441634,2025-11-25 23:44:18.576464,0 days 00:00:07.134830,"[512, 256, 128, 64]",[],[2],elu,512,16,0.5,0.0002,minmax,4,decreasing,,mean,False,1e-05
24,0.4655395095665722,COMPLETE,2025-11-25 23:44:18.576464,2025-11-25 23:44:59.304727,0 days 00:00:40.728263,"[512, 256, 128]",[],[],elu,512,16,,0.0002,minmax,3,decreasing,,mean,False,1e-05
25,0.4388888888888889,PRUNED,2025-11-25 23:44:59.306738,2025-11-25 23:45:12.153422,0 days 00:00:12.846684,"[512, 256, 128]",[],[],elu,512,16,,0.0002,minmax,3,decreasing,,mean,False,0.0
26,0.21839080459770113,PRUNED,2025-11-25 23:45:12.154427,2025-11-25 23:45:19.735850,0 days 00:00:07.581423,"[512, 256, 128, 64]",[2],[2],elu,512,16,0.5,0.0002,L2,4,decreasing,,mean,False,1e-07
27,0.46335669485003733,COMPLETE,2025-11-25 23:45:19.736856,2025-11-25 23:46:00.464444,0 days 00:00:40.727588,"[512, 256, 128]",[],[],elu,512,16,,0.0002,minmax,3,decreasing,,mean,False,0.0001
