number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-26 00:02:01.339184,2025-11-26 00:02:11.852588,0 days 00:00:10.513404,"[384, 192, 96, 64]",[0],[1],leakyrelu,384,64,0.3,5e-05,minmax,4,decreasing,,max,False,0.0001
1,0.21975599208456464,COMPLETE,2025-11-26 00:02:11.853588,2025-11-26 00:02:23.440324,0 days 00:00:11.586736,[512],[],[],leakyrelu,512,32,,0.0001,minmax,1,increasing,0.6,mean,True,1e-05
2,0.21839080459770113,PRUNED,2025-11-26 00:02:23.440324,2025-11-26 00:02:25.742768,0 days 00:00:02.302444,"[128, 256, 512, 1024]",[],"[0, 1, 2]",gelu,1024,64,0.1,2e-05,minmax,4,increasing,,max,False,0.0001
3,0.2862692365157627,PRUNED,2025-11-26 00:02:25.743771,2025-11-26 00:02:34.701459,0 days 00:00:08.957688,[768],[],[],silu,768,16,,0.001,minmax,1,uniform,0.6,max,True,0.0001
4,0.4088842361708453,COMPLETE,2025-11-26 00:02:34.701459,2025-11-26 00:03:00.867718,0 days 00:00:26.166259,"[896, 896, 896, 896, 896]","[1, 2, 3]","[0, 1, 3]",silu,896,48,0.2,0.0002,L2,5,uniform,0.8,max,True,1e-07
5,0.30249017038007864,PRUNED,2025-11-26 00:03:00.869723,2025-11-26 00:03:05.181354,0 days 00:00:04.311631,[1024],[],[],relu,1024,16,,2e-05,L2,1,increasing,0.7,mean,True,1e-07
6,0.2230498795059407,COMPLETE,2025-11-26 00:03:05.181354,2025-11-26 00:03:13.524217,0 days 00:00:08.342863,"[128, 64, 64]",[1],"[0, 1]",elu,128,96,0.5,5e-05,L2,3,decreasing,0.5,mean,True,0.0001
7,0.38804147072940154,COMPLETE,2025-11-26 00:03:13.526223,2025-11-26 00:03:23.201795,0 days 00:00:09.675572,"[768, 384]",[],[],relu,768,96,,0.0005,minmax,2,decreasing,0.8,max,True,1e-07
8,0.21839080459770113,PRUNED,2025-11-26 00:03:23.201795,2025-11-26 00:03:26.076730,0 days 00:00:02.874935,"[640, 320, 160, 80]","[0, 1, 2]",[0],tanh,640,96,0.4,2e-05,L2,4,decreasing,0.7,max,True,1e-05
9,0.25871893113272426,PRUNED,2025-11-26 00:03:26.076730,2025-11-26 00:03:31.201213,0 days 00:00:05.124483,[512],[],[],tanh,512,32,,0.0005,L2,1,increasing,0.9,max,True,0.0001
10,0.3377893882187367,COMPLETE,2025-11-26 00:03:31.201213,2025-11-26 00:03:51.420017,0 days 00:00:20.218804,"[896, 896, 896, 896, 896, 896]","[1, 2, 3]","[0, 3, 4]",silu,896,48,0.2,0.0002,L2,6,uniform,,mean,False,1e-06
