number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.44736489126060175,COMPLETE,2025-11-26 00:21:07.515410,2025-11-26 00:21:48.863566,0 days 00:00:41.348156,"[512, 256, 128]",[1],[1],leakyrelu,512,16,0.2,0.001,minmax,3,decreasing,,max,False,0.0
1,0.4204546543244877,COMPLETE,2025-11-26 00:21:48.863566,2025-11-26 00:22:07.514599,0 days 00:00:18.651033,"[64, 112, 224, 448, 896]",[2],"[0, 3]",silu,896,64,0.2,0.0001,minmax,5,increasing,0.8,mean,True,1e-06
2,0.407936507936508,PRUNED,2025-11-26 00:22:07.516170,2025-11-26 00:22:09.200798,0 days 00:00:01.684628,"[64, 64, 128, 256, 512]",[1],"[1, 2, 3]",relu,512,64,0.1,0.0002,L2,5,increasing,0.6,mean,True,1e-05
3,0.3947089947089946,PRUNED,2025-11-26 00:22:09.201804,2025-11-26 00:22:11.105234,0 days 00:00:01.903430,"[64, 128]",[],[0],tanh,128,32,0.4,0.0005,minmax,2,increasing,,max,False,1e-06
4,0.4100056611460151,COMPLETE,2025-11-26 00:22:11.106238,2025-11-26 00:23:18.471034,0 days 00:01:07.364796,"[1024, 512, 256, 128, 64]","[0, 2, 3]","[0, 2, 3]",gelu,1024,16,0.2,1e-05,L2,5,decreasing,,mean,False,1e-07
5,0.21839080459770113,PRUNED,2025-11-26 00:23:18.471034,2025-11-26 00:23:19.359051,0 days 00:00:00.888017,[384],[],[],silu,384,96,,2e-05,L2,1,uniform,,max,False,1e-05
6,0.3652844606876878,COMPLETE,2025-11-26 00:23:19.359051,2025-11-26 00:23:47.402140,0 days 00:00:28.043089,"[128, 64, 64, 64, 64, 64]","[0, 4]","[3, 4]",leakyrelu,128,48,0.3,0.0001,minmax,6,decreasing,0.7,mean,True,1e-05
7,0.44164467883148806,COMPLETE,2025-11-26 00:23:47.404150,2025-11-26 00:23:59.191088,0 days 00:00:11.786938,"[896, 448, 224, 112, 64, 64]","[1, 4]","[0, 2]",leakyrelu,896,128,0.4,0.0005,minmax,6,decreasing,0.5,max,True,0.0001
8,0.42521630237000263,COMPLETE,2025-11-26 00:23:59.192104,2025-11-26 00:24:11.885228,0 days 00:00:12.693124,"[128, 64, 64, 64, 64]","[0, 2, 3]",[3],leakyrelu,128,128,0.5,0.0005,minmax,5,decreasing,,max,False,1e-05
9,0.3277545597605965,PRUNED,2025-11-26 00:24:11.887237,2025-11-26 00:24:13.877089,0 days 00:00:01.989852,"[256, 256, 256, 256, 256, 256]","[1, 3, 4]","[2, 3, 4]",silu,256,64,0.4,0.0001,L2,6,uniform,0.6,mean,True,0.0
