number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.43195338181489273,COMPLETE,2025-11-26 00:32:44.711549,2025-11-26 00:33:06.122530,0 days 00:00:21.410981,"[896, 448, 224, 112, 64, 64]","[0, 1, 2, 3]","[1, 3]",tanh,896,64,0.3,0.0002,minmax,6,decreasing,,max,False,1e-06
1,0.21758419036095988,COMPLETE,2025-11-26 00:33:06.123531,2025-11-26 00:33:17.913153,0 days 00:00:11.789622,"[256, 256, 256, 256]",[0],"[1, 2]",gelu,256,64,0.1,5e-05,L2,4,uniform,0.9,max,True,1e-06
2,0.21839080459770113,PRUNED,2025-11-26 00:33:17.916028,2025-11-26 00:33:19.004382,0 days 00:00:01.088354,"[768, 384, 192, 96]",[0],[1],gelu,768,128,0.3,1e-05,minmax,4,decreasing,,mean,False,1e-07
3,0.2972990304039454,COMPLETE,2025-11-26 00:33:19.004382,2025-11-26 00:33:40.033491,0 days 00:00:21.029109,"[1024, 1024, 1024, 1024, 1024, 1024]","[0, 2, 3, 4]","[2, 3, 4]",tanh,1024,64,0.5,2e-05,L2,6,uniform,0.6,max,True,1e-07
4,0.2144927536231884,PRUNED,2025-11-26 00:33:40.035499,2025-11-26 00:33:41.170609,0 days 00:00:01.135110,"[512, 512, 512]","[0, 1]",[1],elu,512,96,0.5,1e-05,minmax,3,uniform,,mean,False,0.0001
5,0.41584122041201416,COMPLETE,2025-11-26 00:33:41.170609,2025-11-26 00:34:18.324740,0 days 00:00:37.154131,"[64, 96, 192, 384]","[0, 1]","[0, 2]",silu,384,32,0.3,5e-05,minmax,4,increasing,,mean,False,1e-05
6,0.39396133252235155,COMPLETE,2025-11-26 00:34:18.327843,2025-11-26 00:34:37.679241,0 days 00:00:19.351398,"[1024, 1024, 1024, 1024, 1024, 1024]","[1, 2, 4]","[0, 2, 3, 4]",silu,1024,96,0.1,1e-05,L2,6,uniform,0.8,mean,True,1e-05
7,0.3255323634830276,PRUNED,2025-11-26 00:34:37.682265,2025-11-26 00:34:47.058422,0 days 00:00:09.376157,"[128, 256, 512, 1024]","[0, 2]","[1, 2]",relu,1024,48,0.3,0.0002,minmax,4,increasing,0.7,max,True,1e-06
8,0.1761006289308176,PRUNED,2025-11-26 00:34:47.059432,2025-11-26 00:34:58.367515,0 days 00:00:11.308083,"[384, 384, 384, 384]","[0, 1]","[1, 2]",silu,384,16,0.3,2e-05,minmax,4,uniform,,max,False,0.0001
9,0.21839080459770113,PRUNED,2025-11-26 00:34:58.374787,2025-11-26 00:35:00.216984,0 days 00:00:01.842197,"[64, 64, 64, 96, 192, 384]","[0, 2, 3]","[0, 3]",elu,384,64,0.3,0.0005,L2,6,increasing,,mean,False,1e-05
10,0.21839080459770113,PRUNED,2025-11-26 00:35:00.216984,2025-11-26 00:35:06.498843,0 days 00:00:06.281859,[896],[],[],tanh,896,48,,0.0002,minmax,1,decreasing,,max,False,0.0
11,0.24111703389174882,COMPLETE,2025-11-26 00:35:06.498843,2025-11-26 00:35:25.558553,0 days 00:00:19.059710,"[64, 128]",[],[0],leakyrelu,128,32,0.4,5e-05,minmax,2,increasing,,mean,False,1e-06
12,0.3536086760680503,PRUNED,2025-11-26 00:35:25.561677,2025-11-26 00:35:31.009488,0 days 00:00:05.447811,"[640, 320, 160, 80, 64]","[1, 3]",[0],tanh,640,32,0.2,0.001,minmax,5,decreasing,,max,False,1e-05
13,0.18238993710691823,PRUNED,2025-11-26 00:35:31.010494,2025-11-26 00:35:45.448601,0 days 00:00:14.438107,"[896, 448, 224, 112, 64]","[0, 1]",[0],silu,896,32,0.3,0.0001,minmax,5,decreasing,,mean,False,0.0
14,0.21637426900584797,PRUNED,2025-11-26 00:35:45.449607,2025-11-26 00:36:06.098726,0 days 00:00:20.649119,"[224, 448, 896]","[0, 1]",[0],leakyrelu,896,16,0.2,5e-05,minmax,3,increasing,,max,False,1e-06
15,0.21839080459770113,PRUNED,2025-11-26 00:36:06.099731,2025-11-26 00:36:07.398136,0 days 00:00:01.298405,"[384, 192, 96, 64, 64]","[1, 2, 3]","[1, 3]",relu,384,128,0.4,0.0002,minmax,5,decreasing,,mean,False,1e-05
16,0.21839080459770113,PRUNED,2025-11-26 00:36:07.398136,2025-11-26 00:36:09.488651,0 days 00:00:02.090515,"[384, 768]",[0],[0],silu,768,64,0.3,0.0005,minmax,2,increasing,,max,False,1e-06
17,0.41799970675377135,COMPLETE,2025-11-26 00:36:09.489812,2025-11-26 00:36:45.047430,0 days 00:00:35.557618,"[128, 64, 64, 64, 64]","[0, 1, 2, 3]","[0, 1, 2, 3]",tanh,128,32,0.3,0.001,minmax,5,decreasing,,mean,False,1e-05
