number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-26 00:45:00.204260,2025-11-26 00:45:08.982328,0 days 00:00:08.778068,"[96, 192, 384]",[],"[0, 1]",leakyrelu,384,96,0.2,5e-05,minmax,3,increasing,0.5,mean,True,0.0001
1,0.4361127711768872,COMPLETE,2025-11-26 00:45:08.982328,2025-11-26 00:46:24.582430,0 days 00:01:15.600102,"[640, 640, 640, 640, 640, 640]","[0, 1, 2, 3]","[0, 1, 2, 4]",tanh,640,16,0.3,2e-05,L2,6,uniform,0.6,mean,True,0.0001
2,0.1761006289308176,PRUNED,2025-11-26 00:46:24.589438,2025-11-26 00:46:27.811649,0 days 00:00:03.222211,[1024],[],[],gelu,1024,32,,0.001,minmax,1,uniform,,max,False,0.0
3,0.37069964769229885,PRUNED,2025-11-26 00:46:27.811649,2025-11-26 00:46:33.013132,0 days 00:00:05.201483,"[768, 768, 768, 768, 768]","[1, 3]","[1, 2]",gelu,768,16,0.4,0.0002,minmax,5,uniform,0.7,max,True,1e-06
4,0.21839080459770113,PRUNED,2025-11-26 00:46:33.014135,2025-11-26 00:46:35.726637,0 days 00:00:02.712502,"[64, 64, 64, 128, 256, 512]","[0, 2, 3, 4]","[1, 4]",relu,512,96,0.5,0.001,L2,6,increasing,0.8,mean,True,1e-07
5,0.4073497426416363,COMPLETE,2025-11-26 00:46:35.727640,2025-11-26 00:47:03.023596,0 days 00:00:27.295956,"[512, 512, 512, 512, 512, 512]","[0, 1, 3, 4]","[0, 2, 3, 4]",tanh,512,48,0.2,1e-05,L2,6,uniform,0.7,mean,True,0.0001
6,0.3308641975308642,PRUNED,2025-11-26 00:47:03.025603,2025-11-26 00:47:05.393317,0 days 00:00:02.367714,"[768, 384]",[0],[],elu,768,64,,2e-05,minmax,2,decreasing,,max,False,0.0001
7,0.33276595744680854,PRUNED,2025-11-26 00:47:05.394462,2025-11-26 00:47:09.046825,0 days 00:00:03.652363,"[384, 192, 96]",[],"[0, 1]",silu,384,16,0.1,5e-05,minmax,3,decreasing,,mean,False,1e-07
8,0.21839080459770113,PRUNED,2025-11-26 00:47:09.047829,2025-11-26 00:47:13.867334,0 days 00:00:04.819505,"[128, 128, 128, 128, 128, 128]","[1, 3, 4]","[3, 4]",silu,128,96,0.5,0.0002,L2,6,uniform,,mean,False,1e-07
9,0.47927487591252066,COMPLETE,2025-11-26 00:47:13.868337,2025-11-26 00:47:22.842460,0 days 00:00:08.974123,"[96, 192, 384]",[0],[0],leakyrelu,384,128,0.2,0.001,minmax,3,increasing,,max,False,0.0
