number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.42750245587726443,COMPLETE,2025-11-26 00:53:06.071036,2025-11-26 00:53:21.078509,0 days 00:00:15.007473,"[192, 384, 768]",[1],[0],silu,768,128,0.4,2e-05,minmax,3,increasing,,mean,False,0.0001
1,0.44050084617025914,COMPLETE,2025-11-26 00:53:21.078509,2025-11-26 00:53:46.450667,0 days 00:00:25.372158,"[64, 96, 192, 384]","[0, 1]",[2],leakyrelu,384,32,0.1,0.0002,L2,4,increasing,0.7,max,True,1e-06
2,0.435732853078561,COMPLETE,2025-11-26 00:53:46.452502,2025-11-26 00:54:01.264205,0 days 00:00:14.811703,[896],[],[],silu,896,32,,0.0005,L2,1,increasing,0.8,mean,True,0.0001
3,0.41017316017316013,PRUNED,2025-11-26 00:54:01.272494,2025-11-26 00:54:05.608472,0 days 00:00:04.335978,"[128, 256, 512]",[],[0],leakyrelu,512,128,0.5,0.0002,minmax,3,increasing,,max,False,0.0
4,0.21839080459770113,PRUNED,2025-11-26 00:54:05.608472,2025-11-26 00:54:06.514115,0 days 00:00:00.905643,[1024],[],[],tanh,1024,128,,1e-05,L2,1,decreasing,,max,False,1e-07
5,0.21839080459770113,PRUNED,2025-11-26 00:54:06.514115,2025-11-26 00:54:07.585911,0 days 00:00:01.071796,"[384, 768]",[],[],silu,768,96,,2e-05,L2,2,increasing,,mean,False,0.0
6,0.21839080459770113,PRUNED,2025-11-26 00:54:07.586914,2025-11-26 00:54:09.870167,0 days 00:00:02.283253,"[64, 128, 256]",[0],[0],relu,256,64,0.2,0.0005,L2,3,increasing,,mean,False,1e-07
7,0.3861566484517304,PRUNED,2025-11-26 00:54:09.871171,2025-11-26 00:54:11.932173,0 days 00:00:02.061002,"[1024, 1024, 1024]",[],[1],gelu,1024,128,0.3,0.0001,minmax,3,uniform,,max,False,1e-06
8,0.3418527899301558,PRUNED,2025-11-26 00:54:11.933176,2025-11-26 00:54:17.954465,0 days 00:00:06.021289,"[512, 256]",[0],[],silu,512,16,,2e-05,minmax,2,decreasing,0.6,max,True,1e-07
9,0.21839080459770113,PRUNED,2025-11-26 00:54:17.954465,2025-11-26 00:54:20.731262,0 days 00:00:02.776797,"[384, 192, 96, 64, 64, 64]","[2, 3, 4]","[0, 1, 3]",gelu,384,96,0.2,0.0005,L2,6,decreasing,,max,False,1e-06
10,0.21839080459770113,PRUNED,2025-11-26 00:54:20.731262,2025-11-26 00:54:27.279507,0 days 00:00:06.548245,"[384, 384, 384, 384, 384]","[0, 1]",[2],leakyrelu,384,32,0.1,0.0002,L2,5,uniform,0.7,max,True,1e-05
11,0.21839080459770113,PRUNED,2025-11-26 00:54:27.279507,2025-11-26 00:54:33.825631,0 days 00:00:06.546124,"[64, 112, 224, 448, 896]","[0, 1]",[2],elu,896,32,0.1,5e-05,L2,5,increasing,0.8,mean,True,0.0001
12,0.21839080459770113,PRUNED,2025-11-26 00:54:33.825631,2025-11-26 00:54:36.575891,0 days 00:00:02.750260,[896],[],[],leakyrelu,896,48,,0.001,L2,1,increasing,0.5,mean,True,0.0001
13,0.4569497974434289,COMPLETE,2025-11-26 00:54:36.576894,2025-11-26 00:55:09.353185,0 days 00:00:32.776291,"[64, 64, 64, 128]","[0, 1]","[1, 2]",elu,128,32,0.1,0.0002,L2,4,increasing,0.7,mean,True,1e-06
14,0.24051130776794494,PRUNED,2025-11-26 00:55:09.353185,2025-11-26 00:55:25.914945,0 days 00:00:16.561760,"[64, 64, 64, 128]","[0, 1]","[1, 2]",elu,128,32,0.1,0.0002,L2,4,increasing,0.7,mean,True,1e-06
15,0.33454545454545453,PRUNED,2025-11-26 00:55:25.916098,2025-11-26 00:55:33.538139,0 days 00:00:07.622041,"[640, 640, 640, 640]","[0, 1]","[1, 2]",elu,640,32,0.1,0.0002,L2,4,uniform,0.9,max,True,1e-06
16,0.2507145230973746,PRUNED,2025-11-26 00:55:33.538139,2025-11-26 00:55:38.951532,0 days 00:00:05.413393,"[64, 64, 64, 64, 128]","[0, 1, 3]","[1, 2, 3]",relu,128,48,0.1,0.0002,L2,5,increasing,0.7,max,True,1e-06
