number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.3907795885642627,COMPLETE,2025-11-26 01:17:29.443616,2025-11-26 01:17:41.470802,0 days 00:00:12.027186,"[896, 448, 224, 112]",[],"[0, 2]",relu,896,96,0.4,0.0005,minmax,4,decreasing,0.8,max,True,1e-07
1,0.4223226731482943,COMPLETE,2025-11-26 01:17:41.472249,2025-11-26 01:17:58.571777,0 days 00:00:17.099528,"[768, 768, 768, 768, 768]","[0, 3]","[0, 2]",relu,768,96,0.4,0.001,L2,5,uniform,,mean,False,0.0001
2,0.1246376811594203,PRUNED,2025-11-26 01:17:58.573777,2025-11-26 01:17:59.872180,0 days 00:00:01.298403,[512],[],[],elu,512,128,,1e-05,minmax,1,uniform,,max,False,1e-06
3,0.21839080459770113,PRUNED,2025-11-26 01:17:59.873339,2025-11-26 01:18:01.280998,0 days 00:00:01.407659,"[512, 512, 512, 512, 512]","[0, 2]","[0, 1, 2, 3]",silu,512,96,0.5,1e-05,L2,5,uniform,,mean,False,0.0001
4,0.4046027654807838,COMPLETE,2025-11-26 01:18:01.280998,2025-11-26 01:18:50.566087,0 days 00:00:49.285089,"[1024, 1024, 1024, 1024, 1024]","[1, 2]",[0],gelu,1024,16,0.4,5e-05,L2,5,uniform,0.6,mean,True,1e-06
5,0.42364154872284443,COMPLETE,2025-11-26 01:18:50.568096,2025-11-26 01:19:16.122925,0 days 00:00:25.554829,"[64, 64, 128, 256, 512]","[1, 2]","[0, 1]",gelu,512,48,0.4,0.001,minmax,5,increasing,,mean,False,1e-05
6,0.45743615227281287,COMPLETE,2025-11-26 01:19:16.122925,2025-11-26 01:19:42.317226,0 days 00:00:26.194301,"[128, 64, 64, 64, 64, 64]","[0, 1, 2, 3, 4]","[1, 2, 4]",tanh,128,48,0.5,0.0005,L2,6,decreasing,0.9,max,True,1e-05
7,0.2229446649133126,COMPLETE,2025-11-26 01:19:42.319235,2025-11-26 01:19:56.672799,0 days 00:00:14.353564,"[64, 112, 224, 448, 896]","[0, 1]","[1, 2, 3]",elu,896,64,0.5,1e-05,L2,5,increasing,0.8,mean,True,0.0
8,0.37729859236215824,COMPLETE,2025-11-26 01:19:56.674800,2025-11-26 01:20:06.759787,0 days 00:00:10.084987,[640],[],[],elu,640,64,,0.0005,L2,1,uniform,0.7,mean,True,1e-07
9,0.21839080459770113,PRUNED,2025-11-26 01:20:06.760787,2025-11-26 01:20:11.639244,0 days 00:00:04.878457,"[256, 128, 64, 64]","[0, 1]",[2],leakyrelu,256,16,0.2,2e-05,minmax,4,decreasing,0.7,mean,True,1e-05
10,0.18238993710691823,PRUNED,2025-11-26 01:20:11.639244,2025-11-26 01:20:29.938861,0 days 00:00:18.299617,"[128, 64, 64, 64, 64, 64]","[0, 1, 2, 3, 4]","[1, 4]",tanh,128,48,0.3,0.0001,L2,6,decreasing,0.9,max,True,1e-05
11,0.34975657254138265,PRUNED,2025-11-26 01:20:29.946270,2025-11-26 01:20:32.492966,0 days 00:00:02.546696,"[64, 64, 64, 96, 192, 384]","[1, 2, 3, 4]","[1, 4]",tanh,384,48,0.1,0.001,minmax,6,increasing,,max,False,1e-05
12,0.18238993710691823,PRUNED,2025-11-26 01:20:32.492966,2025-11-26 01:20:49.994972,0 days 00:00:17.502006,"[64, 64, 128]",[1],[1],gelu,128,48,0.5,0.0002,minmax,3,increasing,,max,False,1e-05
13,0.43528687846167885,COMPLETE,2025-11-26 01:20:49.995972,2025-11-26 01:21:28.806916,0 days 00:00:38.810944,"[64, 64, 64, 64, 64, 128]","[1, 2]","[0, 1]",gelu,128,32,0.2,0.001,minmax,6,increasing,,max,False,1e-05
14,0.46458853955771906,COMPLETE,2025-11-26 01:21:28.808917,2025-11-26 01:22:04.718712,0 days 00:00:35.909795,"[128, 64, 64, 64, 64, 64]","[1, 2, 3]","[0, 1]",tanh,128,32,0.2,0.0005,L2,6,decreasing,0.9,max,True,1e-05
15,0.48161129365948646,PRUNED,2025-11-26 01:22:04.721777,2025-11-26 01:22:14.874798,0 days 00:00:10.153021,"[128, 64, 64]","[0, 1]",[1],tanh,128,32,0.2,0.0005,L2,3,decreasing,0.9,max,True,0.0
16,0.3055555555555556,PRUNED,2025-11-26 01:22:14.874798,2025-11-26 01:22:18.514417,0 days 00:00:03.639619,"[128, 64]",[0],[0],tanh,128,32,0.3,0.0005,L2,2,decreasing,0.5,max,True,1e-05
17,0.21839080459770113,PRUNED,2025-11-26 01:22:18.514417,2025-11-26 01:22:23.811560,0 days 00:00:05.297143,"[384, 192, 96, 64, 64, 64]","[2, 3]",[1],tanh,384,128,0.1,0.0005,L2,6,decreasing,0.9,max,True,1e-05
18,0.44508621277175764,PRUNED,2025-11-26 01:22:23.827487,2025-11-26 01:22:33.636882,0 days 00:00:09.809395,"[640, 320, 160, 80]","[1, 2]","[0, 1, 2]",silu,640,32,0.5,0.0002,L2,4,decreasing,0.9,max,True,0.0
