number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.3426223082151067,COMPLETE,2025-11-21 21:44:03.372404,2025-11-21 21:44:17.218754,0 days 00:00:13.846350,[1024],[],[],elu,1024,64,0.3,2e-05,minmax,1,decreasing,max,0.0001
1,0.4330694418451576,COMPLETE,2025-11-21 21:44:17.221238,2025-11-21 21:44:37.305675,0 days 00:00:20.084437,"[1024, 1024, 1024]",[2],[1],elu,1024,48,0.2,0.0001,L2,3,uniform,max,1e-05
2,0.4587655493604405,COMPLETE,2025-11-21 21:44:37.307682,2025-11-21 21:45:08.328264,0 days 00:00:31.020582,[512],[],[],tanh,512,16,0.4,0.0002,minmax,1,decreasing,max,0.0
3,0.21839080459770113,PRUNED,2025-11-21 21:45:08.330271,2025-11-21 21:45:15.713888,0 days 00:00:07.383617,"[256, 128]",[1],[],gelu,256,32,0.4,0.0001,L2,2,decreasing,mean,1e-05
4,0.30303030303030304,PRUNED,2025-11-21 21:45:15.714890,2025-11-21 21:45:18.108162,0 days 00:00:02.393272,[896],[],[],gelu,896,48,0.4,0.001,minmax,1,uniform,mean,0.0
5,0.34027777777777785,PRUNED,2025-11-21 21:45:18.108162,2025-11-21 21:45:20.841977,0 days 00:00:02.733815,[128],[],[],gelu,128,16,0.5,0.0002,minmax,1,uniform,mean,0.0
6,0.21839080459770113,PRUNED,2025-11-21 21:45:20.842978,2025-11-21 21:45:29.113341,0 days 00:00:08.270363,"[112, 224, 448, 896]",[],[3],leakyrelu,896,32,0.1,0.0002,L2,4,increasing,mean,0.0
7,0.45171020940509726,COMPLETE,2025-11-21 21:45:29.113341,2025-11-21 21:45:44.716599,0 days 00:00:15.603258,"[64, 64, 64, 64, 128]",[4],[2],tanh,128,64,0.5,0.0002,minmax,5,increasing,mean,1e-06
8,0.21839080459770113,PRUNED,2025-11-21 21:45:44.719605,2025-11-21 21:45:46.758824,0 days 00:00:02.039219,[256],[],[],gelu,256,48,0.3,5e-05,L2,1,uniform,max,1e-06
9,0.18238993710691823,PRUNED,2025-11-21 21:45:46.758824,2025-11-21 21:45:52.472673,0 days 00:00:05.713849,"[64, 64, 128, 256]",[1],[],gelu,256,96,0.0,0.0002,minmax,4,increasing,max,1e-05
10,0.35551142005958286,PRUNED,2025-11-21 21:45:52.474689,2025-11-21 21:45:55.843552,0 days 00:00:03.368863,"[512, 256]",[1],[1],tanh,512,16,0.4,1e-05,minmax,2,decreasing,max,0.0001
11,0.21839080459770113,PRUNED,2025-11-21 21:45:55.844558,2025-11-21 21:45:59.802389,0 days 00:00:03.957831,"[64, 64, 64, 64, 128]",[4],[4],tanh,128,64,0.5,0.0005,minmax,5,increasing,mean,1e-06
12,0.21839080459770113,PRUNED,2025-11-21 21:45:59.803395,2025-11-21 21:46:01.708184,0 days 00:00:01.904789,"[768, 384, 192, 96, 64]",[4],[2],silu,768,128,0.5,0.0002,minmax,5,decreasing,max,1e-06
13,0.21839080459770113,PRUNED,2025-11-21 21:46:01.709190,2025-11-21 21:46:04.068149,0 days 00:00:02.358959,"[128, 256, 512]",[2],[1],relu,512,64,0.2,0.0002,minmax,3,increasing,mean,1e-06
14,0.39617450494376805,COMPLETE,2025-11-21 21:46:04.069149,2025-11-21 21:46:48.912654,0 days 00:00:44.843505,"[384, 192, 96, 64]",[2],[2],tanh,384,16,0.0,1e-05,minmax,4,decreasing,max,0.0
15,0.21839080459770113,PRUNED,2025-11-21 21:46:48.912654,2025-11-21 21:46:51.696241,0 days 00:00:02.783587,"[64, 128]",[],[],tanh,128,96,0.1,0.001,minmax,2,increasing,mean,1e-06
16,0.3208049334631613,PRUNED,2025-11-21 21:46:51.699242,2025-11-21 21:46:56.208034,0 days 00:00:04.508792,"[64, 64, 128, 256, 512]",[3],[3],tanh,512,128,0.4,2e-05,minmax,5,increasing,mean,0.0
17,0.21839080459770113,PRUNED,2025-11-21 21:46:56.208034,2025-11-21 21:46:59.197102,0 days 00:00:02.989068,"[768, 384, 192]",[1],[1],leakyrelu,768,64,0.5,0.0005,minmax,3,decreasing,max,0.0001
18,0.21839080459770113,PRUNED,2025-11-21 21:46:59.197102,2025-11-21 21:47:03.548695,0 days 00:00:04.351593,"[64, 96, 192, 384]",[3],[2],silu,384,16,0.5,5e-05,L2,4,increasing,max,0.0
19,0.2603351014565968,PRUNED,2025-11-21 21:47:03.548695,2025-11-21 21:47:04.755130,0 days 00:00:01.206435,"[128, 64]",[],[],relu,128,64,0.4,0.0002,minmax,2,decreasing,mean,1e-06
20,0.4360082973325893,COMPLETE,2025-11-21 21:47:04.755130,2025-11-21 21:47:38.443576,0 days 00:00:33.688446,"[512, 256, 128]",[1],[1],tanh,512,16,0.0,0.0002,minmax,3,decreasing,mean,0.0
21,0.4538630928373408,COMPLETE,2025-11-21 21:47:38.445591,2025-11-21 21:48:15.581433,0 days 00:00:37.135842,"[512, 256, 128]",[1],[1],tanh,512,16,0.0,0.0002,minmax,3,decreasing,mean,0.0
22,0.3758993443203969,PRUNED,2025-11-21 21:48:15.583446,2025-11-21 21:48:20.900650,0 days 00:00:05.317204,"[512, 256, 128, 64, 64]",[3],[2],tanh,512,16,0.0,0.0002,minmax,5,decreasing,mean,0.0
23,0.18238993710691823,PRUNED,2025-11-21 21:48:20.901654,2025-11-21 21:48:45.738413,0 days 00:00:24.836759,"[512, 256, 128, 64]",[2],[1],tanh,512,16,0.0,0.0002,minmax,4,decreasing,mean,0.0
24,0.4761510120649831,COMPLETE,2025-11-21 21:48:45.739418,2025-11-21 21:49:18.654403,0 days 00:00:32.914985,"[512, 256]",[],[],tanh,512,16,0.1,0.0002,minmax,2,decreasing,mean,0.0
25,0.4674247384675912,COMPLETE,2025-11-21 21:49:18.656413,2025-11-21 21:49:56.213680,0 days 00:00:37.557267,"[512, 256]",[],[],tanh,512,16,0.1,0.0002,minmax,2,decreasing,mean,0.0
26,0.21839080459770113,PRUNED,2025-11-21 21:49:56.215696,2025-11-21 21:49:59.547104,0 days 00:00:03.331408,"[512, 256]",[],[],tanh,512,16,0.1,5e-05,L2,2,decreasing,max,0.0
27,0.21839080459770113,PRUNED,2025-11-21 21:49:59.548106,2025-11-21 21:50:07.262473,0 days 00:00:07.714367,[512],[],[],leakyrelu,512,16,0.1,0.0001,minmax,1,decreasing,mean,0.0
28,0.4200145488691168,COMPLETE,2025-11-21 21:50:07.263476,2025-11-21 21:50:36.840364,0 days 00:00:29.576888,"[512, 256]",[],[],relu,512,16,0.1,0.001,minmax,2,decreasing,max,0.0
29,0.21839080459770113,PRUNED,2025-11-21 21:50:36.840364,2025-11-21 21:50:37.708269,0 days 00:00:00.867905,[1024],[],[],elu,1024,128,0.3,2e-05,minmax,1,decreasing,max,0.0001
