number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.433,2025-08-21 20:10:28.308280,2025-08-21 20:10:58.173464,0 days 00:00:29.865184,relu,256,32,2,0.4,0.0001,2,L2,2,,mean,False,0.0001,0.0037897315289573655,COMPLETE,0.0037897315289573655
1,0.3452,2025-08-21 20:10:58.174464,2025-08-21 20:11:49.788821,0 days 00:00:51.614357,tanh,256,16,1,0.3,0.001,2,minmax,0,0.85,mean,True,1e-05,0.002194156913620935,COMPLETE,0.002194156913620935
2,0.3841,2025-08-21 20:11:49.789821,2025-08-21 20:12:05.543183,0 days 00:00:15.753362,gelu,256,64,1,0.1,0.0001,1,minmax,1,0.75,mean,True,0.0001,0.3420442711693681,COMPLETE,0.3420442711693681
3,0.2176,2025-08-21 20:12:05.543183,2025-08-21 20:13:02.793894,0 days 00:00:57.250711,silu,256,16,2,0.2,1e-05,3,L2,0,,max,False,1e-05,1.0055216215431115,COMPLETE,1.0055216215431115
4,0.4618,2025-08-21 20:13:02.795214,2025-08-21 20:13:51.501899,0 days 00:00:48.706685,silu,512,16,1,0.2,0.0001,2,minmax,0,,mean,False,1e-05,0.215858817723403,COMPLETE,0.215858817723403
5,0.2176,2025-08-21 20:13:51.501899,2025-08-21 20:14:23.182845,0 days 00:00:31.680946,relu,256,32,2,0.4,1e-05,3,L2,0,,max,False,1e-05,1.0029198732406763,COMPLETE,1.0029198732406763
6,0.3629,2025-08-21 20:14:23.182845,2025-08-21 20:14:33.601140,0 days 00:00:10.418295,relu,512,128,1,0.4,0.0001,1,minmax,0,0.9,max,True,0.0001,0.5477357909227107,COMPLETE,0.5477357909227107
7,0.3563,2025-08-21 20:14:33.603142,2025-08-21 20:15:17.467063,0 days 00:00:43.863921,elu,256,16,0,0.1,0.0001,1,L2,1,0.7,max,True,0.0001,0.8532766441056966,COMPLETE,0.8532766441056966
8,0.335,2025-08-21 20:15:17.467063,2025-08-21 20:15:48.102993,0 days 00:00:30.635930,tanh,128,32,1,0.5,0.001,3,minmax,0,0.7,mean,True,0.0,0.08421185845059981,COMPLETE,0.08421185845059981
9,0.3316,2025-08-21 20:15:48.102993,2025-08-21 20:16:18.084465,0 days 00:00:29.981472,relu,128,32,1,0.2,1e-05,2,minmax,2,,max,False,1e-06,0.7943402396521001,COMPLETE,0.7943402396521001
10,0.4289,2025-08-21 20:16:18.085466,2025-08-21 20:16:30.749325,0 days 00:00:12.663859,silu,512,128,0,0.2,0.0001,2,minmax,1,,mean,False,0.0,0.00274262700223894,COMPLETE,0.00274262700223894
11,0.4822,2025-08-21 20:16:30.750325,2025-08-21 20:16:48.491728,0 days 00:00:17.741403,leakyrelu,512,64,2,0.4,0.0001,2,L2,2,,mean,False,1e-06,0.0029339096995543725,COMPLETE,0.0029339096995543725
