number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.4119,2025-08-21 20:22:56.123095,2025-08-21 20:23:53.189947,0 days 00:00:57.066852,tanh,512,16,1,0.2,1e-05,1,minmax,1,,mean,False,0.0001,0.5843424694522784,COMPLETE,0.5843424694522784
1,0.4062,2025-08-21 20:23:53.189947,2025-08-21 20:24:06.311133,0 days 00:00:13.121186,leakyrelu,256,128,1,0.2,0.0001,1,minmax,1,0.85,max,True,0.0001,0.2509274966655437,COMPLETE,0.2509274966655437
2,0.3502,2025-08-21 20:24:06.312133,2025-08-21 20:24:21.443605,0 days 00:00:15.131472,elu,128,128,0,0.2,1e-05,3,minmax,3,0.95,max,True,1e-05,0.8848838221605184,COMPLETE,0.8848838221605184
3,0.3765,2025-08-21 20:24:21.443605,2025-08-21 20:24:55.281541,0 days 00:00:33.837936,tanh,128,32,2,0.3,0.0001,2,L2,1,0.95,max,True,0.0,0.014547006298946607,COMPLETE,0.014547006298946607
4,0.4322,2025-08-21 20:24:55.281541,2025-08-21 20:25:07.659059,0 days 00:00:12.377518,leakyrelu,512,128,1,0.1,0.001,1,minmax,0,,mean,False,0.0001,0.056336619870264046,COMPLETE,0.056336619870264046
5,0.3552,2025-08-21 20:25:07.660058,2025-08-21 20:25:20.187785,0 days 00:00:12.527727,elu,128,128,1,0.5,1e-05,1,minmax,1,0.95,mean,True,0.0,1.0778207077474073,COMPLETE,1.0778207077474073
6,0.3711,2025-08-21 20:25:20.187785,2025-08-21 20:25:39.361658,0 days 00:00:19.173873,silu,256,64,2,0.2,0.001,2,L2,0,0.95,mean,True,1e-05,0.17682935187287652,COMPLETE,0.17682935187287652
7,0.3869,2025-08-21 20:25:39.362658,2025-08-21 20:26:13.469166,0 days 00:00:34.106508,elu,128,32,0,0.3,1e-05,2,minmax,2,,mean,False,1e-05,0.6502148855920773,COMPLETE,0.6502148855920773
8,0.2176,2025-08-21 20:26:13.469166,2025-08-21 20:26:27.124410,0 days 00:00:13.655244,relu,256,128,0,0.2,0.0001,2,L2,0,,max,False,0.0001,0.9952584365173168,COMPLETE,0.9952584365173168
9,0.4281,2025-08-21 20:26:27.125410,2025-08-21 20:26:58.421064,0 days 00:00:31.295654,gelu,256,32,0,0.1,0.0001,2,minmax,0,,mean,False,1e-05,0.32590409222139805,COMPLETE,0.32590409222139805
