number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.277,2025-08-21 20:40:40.130030,2025-08-21 20:40:52.633794,0 days 00:00:12.503764,tanh,256,128,3,0.5,0.001,3,L2,0,0.95,max,True,1e-06,0.43146018870773806,COMPLETE,0.43146018870773806
1,0.3251,2025-08-21 20:40:52.634792,2025-08-21 20:41:19.986941,0 days 00:00:27.352149,tanh,512,32,2,0.5,0.001,2,minmax,0,0.75,max,True,0.0,0.019370236492437277,COMPLETE,0.019370236492437277
2,0.3602,2025-08-21 20:41:19.986941,2025-08-21 20:41:53.165286,0 days 00:00:33.178345,gelu,512,32,2,0.5,0.001,3,L2,3,,mean,False,1e-05,0.0009976177340840556,COMPLETE,0.0009976177340840556
3,0.3316,2025-08-21 20:41:53.165286,2025-08-21 20:42:15.875572,0 days 00:00:22.710286,silu,512,32,0,0.3,0.001,1,minmax,0,0.95,mean,True,1e-05,0.010906087650866562,COMPLETE,0.010906087650866562
4,0.3759,2025-08-21 20:42:15.876792,2025-08-21 20:42:28.417906,0 days 00:00:12.541114,silu,512,128,1,0.5,0.001,2,L2,1,0.75,mean,True,1e-06,0.018498586251181805,COMPLETE,0.018498586251181805
5,0.3952,2025-08-21 20:42:28.419777,2025-08-21 20:43:21.123868,0 days 00:00:52.704091,gelu,512,16,0,0.3,0.0001,2,minmax,1,0.8,mean,True,0.0,0.0003839553971763646,COMPLETE,0.0003839553971763646
6,0.3452,2025-08-21 20:43:21.123868,2025-08-21 20:44:19.359889,0 days 00:00:58.236021,elu,128,16,3,0.5,0.001,3,L2,2,,mean,False,0.0,0.002369064348450356,COMPLETE,0.002369064348450356
7,0.3462,2025-08-21 20:44:19.360889,2025-08-21 20:45:16.638591,0 days 00:00:57.277702,relu,256,16,1,0.4,0.001,3,L2,0,0.7,mean,True,1e-05,0.027624242869968462,COMPLETE,0.027624242869968462
8,0.3171,2025-08-21 20:45:16.639590,2025-08-21 20:45:26.922772,0 days 00:00:10.283182,gelu,512,128,0,0.2,0.0001,1,minmax,1,0.95,max,True,0.0,0.038664519691007315,COMPLETE,0.038664519691007315
9,0.2176,2025-08-21 20:45:26.923550,2025-08-21 20:46:23.882142,0 days 00:00:56.958592,elu,512,16,0,0.4,1e-05,3,L2,0,,max,False,0.0,0.9961102357631327,COMPLETE,0.9961102357631327
10,0.3573,2025-08-21 20:46:23.883142,2025-08-21 20:46:40.727915,0 days 00:00:16.844773,leakyrelu,128,64,0,0.3,0.0001,2,minmax,2,,mean,False,0.0001,0.046565259121046955,COMPLETE,0.046565259121046955
11,0.3919,2025-08-21 20:46:40.728916,2025-08-21 20:46:53.330739,0 days 00:00:12.601823,silu,512,128,1,0.1,0.0001,2,minmax,1,0.8,mean,True,1e-06,0.10804506652416523,COMPLETE,0.10804506652416523
12,0.3919,2025-08-21 20:46:53.331740,2025-08-21 20:47:11.273759,0 days 00:00:17.942019,gelu,512,64,1,0.1,0.0001,2,minmax,1,0.8,mean,True,1e-06,0.02091437031985096,COMPLETE,0.02091437031985096
13,0.3772,2025-08-21 20:47:11.274760,2025-08-21 20:47:56.294845,0 days 00:00:45.020085,silu,512,16,0,0.1,0.0001,1,minmax,1,0.8,mean,True,0.0001,0.05777166894011176,COMPLETE,0.05777166894011176
14,0.3567,2025-08-21 20:47:56.295845,2025-08-21 20:48:08.804939,0 days 00:00:12.509094,relu,128,128,1,0.3,0.0001,2,minmax,2,0.85,mean,True,1e-06,0.4509261144127493,COMPLETE,0.4509261144127493
15,0.3354,2025-08-21 20:48:08.806940,2025-08-21 20:49:04.258363,0 days 00:00:55.451423,leakyrelu,256,16,1,0.1,1e-05,2,minmax,1,0.8,mean,True,0.0,0.7461185426574045,COMPLETE,0.7461185426574045
16,0.3174,2025-08-21 20:49:04.259363,2025-08-21 20:49:15.016773,0 days 00:00:10.757410,gelu,512,128,0,0.2,0.0001,1,minmax,1,0.9,mean,True,1e-06,0.1573501053442909,COMPLETE,0.1573501053442909
17,0.3967,2025-08-21 20:49:15.018774,2025-08-21 20:49:32.917783,0 days 00:00:17.899009,silu,512,64,2,0.3,0.0001,2,minmax,2,0.8,mean,True,0.0001,0.07518144886210033,COMPLETE,0.07518144886210033
18,0.2955,2025-08-21 20:49:32.918784,2025-08-21 20:49:48.077180,0 days 00:00:15.158396,gelu,256,64,0,0.3,0.0001,1,minmax,1,,max,False,0.0001,0.048965931058504955,COMPLETE,0.048965931058504955
19,0.2838,2025-08-21 20:49:48.078181,2025-08-21 20:50:05.506084,0 days 00:00:17.427903,silu,128,64,2,0.3,1e-05,2,minmax,2,0.8,mean,True,0.0001,0.9350044665995901,COMPLETE,0.9350044665995901
20,0.3439,2025-08-21 20:50:05.508085,2025-08-21 20:50:23.479111,0 days 00:00:17.971026,elu,512,64,2,0.3,0.0001,2,minmax,2,0.7,mean,True,0.0001,0.47880519049727266,COMPLETE,0.47880519049727266
21,0.3872,2025-08-21 20:50:23.480111,2025-08-21 20:50:41.240090,0 days 00:00:17.759979,silu,512,64,1,0.1,0.0001,2,minmax,1,0.8,mean,True,0.0,0.03868237506729997,COMPLETE,0.03868237506729997
22,0.4035,2025-08-21 20:50:41.241090,2025-08-21 20:50:54.114975,0 days 00:00:12.873885,silu,512,128,1,0.3,0.0001,2,minmax,1,0.8,mean,True,1e-06,0.2520690126242745,COMPLETE,0.2520690126242745
