number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.2176,2025-08-21 20:54:17.956484,2025-08-21 20:54:30.039190,0 days 00:00:12.082706,tanh,256,128,2,0.2,1e-05,2,minmax,0,,mean,False,1e-05,0.9868148985016384,COMPLETE,0.9868148985016384
1,0.3488,2025-08-21 20:54:30.040191,2025-08-21 20:55:16.239540,0 days 00:00:46.199349,elu,512,16,0,0.5,1e-05,1,L2,1,0.8,mean,True,0.0001,0.864828532340059,COMPLETE,0.864828532340059
2,0.3714,2025-08-21 20:55:16.240542,2025-08-21 20:56:02.855984,0 days 00:00:46.615442,elu,512,16,0,0.5,0.0001,1,L2,0,0.8,mean,True,1e-05,0.7013764364159759,COMPLETE,0.7013764364159759
3,0.4034,2025-08-21 20:56:02.856984,2025-08-21 20:56:30.556190,0 days 00:00:27.699206,leakyrelu,128,32,2,0.1,0.001,2,L2,0,0.7,max,True,1e-06,0.002841498340417143,COMPLETE,0.002841498340417143
4,0.3407,2025-08-21 20:56:30.557190,2025-08-21 20:57:20.833453,0 days 00:00:50.276263,elu,128,16,1,0.5,0.001,1,minmax,1,,max,False,0.0001,0.0026531731953149677,COMPLETE,0.0026531731953149677
5,0.3354,2025-08-21 20:57:20.834453,2025-08-21 20:57:36.179892,0 days 00:00:15.345439,silu,512,64,0,0.4,1e-05,1,minmax,1,,max,False,1e-05,0.5988565288555967,COMPLETE,0.5988565288555967
6,0.3822,2025-08-21 20:57:36.180892,2025-08-21 20:57:51.745379,0 days 00:00:15.564487,relu,512,64,1,0.5,0.0001,1,minmax,1,0.9,mean,True,0.0,0.06941646253660178,COMPLETE,0.06941646253660178
7,0.3553,2025-08-21 20:57:51.746379,2025-08-21 20:58:25.367911,0 days 00:00:33.621532,silu,512,32,3,0.4,0.001,3,minmax,0,0.75,max,True,1e-05,0.00037006800418751094,COMPLETE,0.00037006800418751094
8,0.352,2025-08-21 20:58:25.368911,2025-08-21 20:58:54.249381,0 days 00:00:28.880470,gelu,128,32,2,0.1,0.001,2,L2,0,,max,False,1e-06,0.21728890588045888,COMPLETE,0.21728890588045888
9,0.3599,2025-08-21 20:58:54.250382,2025-08-21 20:59:23.623963,0 days 00:00:29.373581,tanh,128,32,0,0.3,0.0001,2,L2,2,,max,False,0.0,0.12915284929264012,COMPLETE,0.12915284929264012
10,0.3934,2025-08-21 20:59:23.624962,2025-08-21 20:59:36.378820,0 days 00:00:12.753858,leakyrelu,256,128,3,0.1,0.001,3,L2,3,0.7,max,True,1e-06,0.00028930883265064483,COMPLETE,0.00028930883265064483
11,0.4139,2025-08-21 20:59:36.379820,2025-08-21 20:59:48.489533,0 days 00:00:12.109713,leakyrelu,256,128,3,0.1,0.001,3,L2,3,0.7,max,True,1e-06,0.00029779747491582654,COMPLETE,0.00029779747491582654
12,0.3728,2025-08-21 20:59:48.490533,2025-08-21 21:00:01.364418,0 days 00:00:12.873885,leakyrelu,256,128,3,0.1,0.001,3,L2,3,0.7,max,True,1e-06,0.0003819262578565376,COMPLETE,0.0003819262578565376
13,0.3998,2025-08-21 21:00:01.365418,2025-08-21 21:00:08.851095,0 days 00:00:07.485677,leakyrelu,256,128,2,0.1,0.001,3,L2,2,0.85,max,True,1e-06,9.58694509583169e-05,COMPLETE,9.58694509583169e-05
14,0.3798,2025-08-21 21:00:08.852095,2025-08-21 21:00:27.507274,0 days 00:00:18.655179,leakyrelu,128,32,2,0.1,0.001,2,L2,2,0.95,max,True,1e-06,9.944078688329337e-05,COMPLETE,9.944078688329337e-05
15,0.3749,2025-08-21 21:00:27.508275,2025-08-21 21:00:38.632767,0 days 00:00:11.124492,leakyrelu,256,128,1,0.3,0.001,2,L2,0,0.7,max,True,1e-06,0.037684399086586724,COMPLETE,0.037684399086586724
