number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.43875678931994394,COMPLETE,2025-11-21 22:23:51.976996,2025-11-21 22:24:07.975302,0 days 00:00:15.998306,"[256, 128, 64]",[],[],tanh,256,96,0.5,0.0001,minmax,3,decreasing,max,1e-05
1,0.21839080459770113,PRUNED,2025-11-21 22:24:07.977303,2025-11-21 22:24:11.543108,0 days 00:00:03.565805,"[768, 384]",[1],[],relu,768,32,0.4,0.0005,minmax,2,decreasing,max,0.0001
2,0.3199294532627866,PRUNED,2025-11-21 22:24:11.543108,2025-11-21 22:24:13.642065,0 days 00:00:02.098957,"[512, 256, 128, 64]",[2],[3],gelu,512,48,0.3,0.001,minmax,4,decreasing,max,0.0
3,0.23041223041223038,PRUNED,2025-11-21 22:24:13.643073,2025-11-21 22:24:15.715351,0 days 00:00:02.072278,[384],[],[],relu,384,32,0.3,0.0001,minmax,1,uniform,max,1e-05
4,0.46021948894695497,COMPLETE,2025-11-21 22:24:15.716360,2025-11-21 22:24:29.145014,0 days 00:00:13.428654,"[256, 256, 256]",[1],[],gelu,256,96,0.2,0.0001,L2,3,uniform,max,0.0
5,0.21839080459770113,PRUNED,2025-11-21 22:24:29.147150,2025-11-21 22:24:32.298060,0 days 00:00:03.150910,[896],[],[],leakyrelu,896,16,0.1,1e-05,L2,1,decreasing,max,1e-06
6,0.21758419036095988,COMPLETE,2025-11-21 22:24:32.298060,2025-11-21 22:24:47.527095,0 days 00:00:15.229035,"[64, 96, 192, 384]",[],[3],elu,384,48,0.3,2e-05,L2,4,increasing,max,1e-06
7,0.23795612873730304,COMPLETE,2025-11-21 22:24:47.529126,2025-11-21 22:24:55.029865,0 days 00:00:07.500739,"[384, 768]",[1],[1],elu,768,128,0.3,1e-05,minmax,2,increasing,mean,0.0
8,0.39489425101858744,COMPLETE,2025-11-21 22:24:55.031914,2025-11-21 22:25:25.617600,0 days 00:00:30.585686,"[128, 256, 512]",[2],[],gelu,512,32,0.0,2e-05,minmax,3,increasing,mean,1e-06
9,0.327789169894433,PRUNED,2025-11-21 22:25:25.620105,2025-11-21 22:25:34.929085,0 days 00:00:09.308980,"[256, 512, 1024]",[2],[1],tanh,1024,16,0.3,5e-05,minmax,3,increasing,mean,1e-05
10,0.41084376940785505,COMPLETE,2025-11-21 22:25:34.930587,2025-11-21 22:25:48.124239,0 days 00:00:13.193652,"[256, 256, 256, 256, 256]",[4],[4],silu,256,96,0.2,0.0002,L2,5,uniform,mean,0.0
11,0.3426702105908812,PRUNED,2025-11-21 22:25:48.126319,2025-11-21 22:25:50.888424,0 days 00:00:02.762105,"[256, 256, 256, 256]",[1],[1],tanh,256,96,0.5,0.0001,L2,4,uniform,max,1e-05
12,0.21839080459770113,PRUNED,2025-11-21 22:25:50.889928,2025-11-21 22:25:52.002868,0 days 00:00:01.112940,"[128, 64]",[],[],gelu,128,96,0.2,0.0001,L2,2,decreasing,max,0.0001
13,0.21839080459770113,PRUNED,2025-11-21 22:25:52.003868,2025-11-21 22:25:54.408961,0 days 00:00:02.405093,"[256, 256, 256]",[1],[],tanh,256,96,0.5,0.0001,L2,3,uniform,max,0.0
14,0.1761006289308176,PRUNED,2025-11-21 22:25:54.409961,2025-11-21 22:26:02.740119,0 days 00:00:08.330158,"[256, 128, 64, 64, 64]",[3],[2],silu,256,64,0.5,0.0001,minmax,5,decreasing,max,1e-05
15,0.08888888888888889,PRUNED,2025-11-21 22:26:02.740623,2025-11-21 22:26:04.879999,0 days 00:00:02.139376,"[256, 256, 256, 256]",[],[1],leakyrelu,256,96,0.2,5e-05,L2,4,uniform,max,0.0
16,0.21839080459770113,PRUNED,2025-11-21 22:26:04.880503,2025-11-21 22:26:06.294972,0 days 00:00:01.414469,"[128, 64]",[],[],tanh,128,64,0.0,0.0005,L2,2,decreasing,max,1e-05
17,0.4160399581937758,COMPLETE,2025-11-21 22:26:06.294972,2025-11-21 22:26:14.404896,0 days 00:00:08.109924,"[1024, 1024, 1024]",[1],[],gelu,1024,128,0.1,0.0002,minmax,3,uniform,max,0.0001
18,0.1761006289308176,PRUNED,2025-11-21 22:26:14.405894,2025-11-21 22:26:16.725741,0 days 00:00:02.319847,"[896, 448, 224]",[1],[1],gelu,896,96,0.4,0.001,minmax,3,decreasing,mean,0.0
19,0.21839080459770113,PRUNED,2025-11-21 22:26:16.725741,2025-11-21 22:26:17.892805,0 days 00:00:01.167064,"[256, 256]",[],[],tanh,256,96,0.2,0.0001,L2,2,uniform,max,1e-05
20,0.21839080459770113,PRUNED,2025-11-21 22:26:17.893805,2025-11-21 22:26:20.236383,0 days 00:00:02.342578,"[256, 128, 64, 64]",[2],[2],elu,256,96,0.5,0.0001,L2,4,decreasing,max,1e-05
21,0.38430390482393223,COMPLETE,2025-11-21 22:26:20.237393,2025-11-21 22:26:28.067196,0 days 00:00:07.829803,"[1024, 1024, 1024]",[1],[],gelu,1024,128,0.1,0.0002,minmax,3,uniform,max,0.0001
22,0.3959649131428557,COMPLETE,2025-11-21 22:26:28.069704,2025-11-21 22:26:35.846833,0 days 00:00:07.777129,"[1024, 1024, 1024]",[1],[],gelu,1024,128,0.1,0.0002,minmax,3,uniform,max,0.0001
23,0.21839080459770113,PRUNED,2025-11-21 22:26:35.848833,2025-11-21 22:26:39.084846,0 days 00:00:03.236013,"[1024, 1024, 1024]",[1],[],gelu,1024,128,0.1,0.0002,minmax,3,uniform,max,0.0001
24,0.21839080459770113,PRUNED,2025-11-21 22:26:39.084846,2025-11-21 22:26:43.881889,0 days 00:00:04.797043,"[1024, 1024, 1024, 1024]",[2],[1],gelu,1024,128,0.5,0.0002,minmax,4,uniform,max,0.0001
25,0.43501919846608494,COMPLETE,2025-11-21 22:26:43.882897,2025-11-21 22:27:22.313798,0 days 00:00:38.430901,"[256, 256]",[],[],leakyrelu,256,16,0.2,0.0001,minmax,2,uniform,max,0.0001
26,0.28417508417508414,PRUNED,2025-11-21 22:27:22.316861,2025-11-21 22:27:25.564066,0 days 00:00:03.247205,[256],[],[],leakyrelu,256,16,0.2,0.0001,minmax,1,uniform,mean,0.0
27,0.21839080459770113,PRUNED,2025-11-21 22:27:25.564066,2025-11-21 22:27:31.287675,0 days 00:00:05.723609,"[256, 256]",[],[],leakyrelu,256,16,0.2,0.0001,minmax,2,uniform,max,1e-06
28,0.21839080459770113,PRUNED,2025-11-21 22:27:31.288685,2025-11-21 22:27:43.056914,0 days 00:00:11.768229,"[128, 256]",[],[],leakyrelu,256,16,0.2,0.0001,L2,2,increasing,max,1e-05
29,0.44850819946595727,COMPLETE,2025-11-21 22:27:43.056914,2025-11-21 22:27:54.054238,0 days 00:00:10.997324,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0001
30,0.43899082767481856,COMPLETE,2025-11-21 22:27:54.057284,2025-11-21 22:28:06.086466,0 days 00:00:12.029182,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
31,0.44006760610472,COMPLETE,2025-11-21 22:28:06.088489,2025-11-21 22:28:17.115793,0 days 00:00:11.027304,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
32,0.44020695958604455,COMPLETE,2025-11-21 22:28:17.118244,2025-11-21 22:28:28.459230,0 days 00:00:11.340986,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
33,0.21839080459770113,PRUNED,2025-11-21 22:28:28.460766,2025-11-21 22:28:32.216469,0 days 00:00:03.755703,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
34,0.43879993894965724,COMPLETE,2025-11-21 22:28:32.217477,2025-11-21 22:28:43.642139,0 days 00:00:11.424662,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
35,0.4420647025055481,COMPLETE,2025-11-21 22:28:43.644172,2025-11-21 22:28:56.318881,0 days 00:00:12.674709,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
36,0.3688141923436041,PRUNED,2025-11-21 22:28:56.320389,2025-11-21 22:29:00.838277,0 days 00:00:04.517888,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
37,0.19615384615384615,PRUNED,2025-11-21 22:29:00.839782,2025-11-21 22:29:03.792418,0 days 00:00:02.952636,[768],[],[],relu,768,48,0.4,0.0005,minmax,1,decreasing,max,0.0
38,0.21839080459770113,PRUNED,2025-11-21 22:29:03.793423,2025-11-21 22:29:07.608450,0 days 00:00:03.815027,[384],[],[],relu,384,64,0.4,0.0005,L2,1,decreasing,max,0.0
39,0.21758419036095988,COMPLETE,2025-11-21 22:29:07.609953,2025-11-21 22:29:21.184715,0 days 00:00:13.574762,[512],[],[],relu,512,32,0.4,1e-05,minmax,1,decreasing,mean,1e-06
40,0.21839080459770113,PRUNED,2025-11-21 22:29:21.186716,2025-11-21 22:29:22.595403,0 days 00:00:01.408687,"[768, 384]",[],[],relu,768,64,0.0,2e-05,minmax,2,decreasing,max,0.0
41,0.43741390561837434,COMPLETE,2025-11-21 22:29:22.596478,2025-11-21 22:29:33.992799,0 days 00:00:11.396321,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
42,0.4356974869865994,COMPLETE,2025-11-21 22:29:33.996246,2025-11-21 22:29:45.880598,0 days 00:00:11.884352,[768],[],[],relu,768,64,0.4,0.0005,minmax,1,decreasing,max,0.0
43,0.4012098634918238,PRUNED,2025-11-21 22:29:45.882766,2025-11-21 22:29:50.148255,0 days 00:00:04.265489,[768],[],[],relu,768,64,0.4,0.001,minmax,1,decreasing,max,0.0
44,0.21637426900584797,PRUNED,2025-11-21 22:29:50.148255,2025-11-21 22:29:58.654479,0 days 00:00:08.506224,[896],[],[],silu,896,48,0.4,0.0005,minmax,1,increasing,max,0.0
45,0.21839080459770113,PRUNED,2025-11-21 22:29:58.656511,2025-11-21 22:30:02.889953,0 days 00:00:04.233442,"[768, 384]",[],[],relu,768,64,0.3,0.0005,L2,2,decreasing,mean,0.0
46,0.440814534080225,COMPLETE,2025-11-21 22:30:02.891017,2025-11-21 22:30:40.338816,0 days 00:00:37.447799,"[384, 192, 96, 64, 64]",[1],[1],elu,384,32,0.4,5e-05,minmax,5,decreasing,max,1e-06
47,0.4527143300061298,COMPLETE,2025-11-21 22:30:40.340850,2025-11-21 22:31:12.490855,0 days 00:00:32.150005,"[384, 192, 96, 64, 64]",[3],[1],elu,384,32,0.4,5e-05,minmax,5,decreasing,max,1e-06
48,0.21839080459770113,PRUNED,2025-11-21 22:31:12.491855,2025-11-21 22:31:15.598209,0 days 00:00:03.106354,"[64, 64, 96, 192, 384]",[3],[2],elu,384,32,0.0,5e-05,L2,5,increasing,max,1e-06
49,0.3103030303030303,PRUNED,2025-11-21 22:31:15.599713,2025-11-21 22:31:28.875853,0 days 00:00:13.276140,"[384, 192, 96, 64, 64]",[3],[1],elu,384,32,0.3,5e-05,minmax,5,decreasing,mean,1e-06
