number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3566,2025-08-21 21:04:04.772533,2025-08-21 21:04:18.351903,0 days 00:00:13.579370,leakyrelu,512,64,0,0.3,0.001,1,minmax,0,0.9,max,True,1e-06,0.0007128639860150563,COMPLETE,0.0007128639860150563
1,0.3725,2025-08-21 21:04:18.352904,2025-08-21 21:04:29.453390,0 days 00:00:11.100486,leakyrelu,512,128,1,0.5,0.0001,2,L2,0,,mean,False,0.0,0.38764645997734315,COMPLETE,0.38764645997734315
2,0.3127,2025-08-21 21:04:29.454390,2025-08-21 21:04:54.027806,0 days 00:00:24.573416,elu,128,32,0,0.4,1e-05,1,L2,1,,max,False,0.0001,0.9682213721551313,COMPLETE,0.9682213721551313
3,0.3539,2025-08-21 21:04:54.028805,2025-08-21 21:05:03.118307,0 days 00:00:09.089502,gelu,256,16,0,0.4,0.001,3,L2,1,0.85,mean,True,0.0,9.875974063989872e-05,COMPLETE,9.875974063989872e-05
4,0.3124,2025-08-21 21:05:03.120307,2025-08-21 21:05:13.254163,0 days 00:00:10.133856,relu,512,128,1,0.1,0.0001,1,L2,0,0.85,mean,True,0.0,0.8272594811448714,COMPLETE,0.8272594811448714
5,0.3465,2025-08-21 21:05:13.255163,2025-08-21 21:05:54.394471,0 days 00:00:41.139308,leakyrelu,512,16,0,0.1,0.0001,3,L2,1,,max,False,1e-05,9.842066131618287e-05,COMPLETE,9.842066131618287e-05
6,0.3529,2025-08-21 21:05:54.395471,2025-08-21 21:06:05.243801,0 days 00:00:10.848330,silu,128,128,0,0.2,0.001,2,L2,0,0.9,max,True,1e-05,0.363009650511757,COMPLETE,0.363009650511757
7,0.3634,2025-08-21 21:06:05.244802,2025-08-21 21:06:19.564853,0 days 00:00:14.320051,relu,128,32,0,0.5,0.001,2,minmax,1,,max,False,1e-06,9.798940389145351e-05,COMPLETE,9.798940389145351e-05
8,0.3705,2025-08-21 21:06:19.565853,2025-08-21 21:06:44.327298,0 days 00:00:24.761445,leakyrelu,512,32,0,0.1,0.0001,1,L2,1,0.95,max,True,1e-06,0.0007794303720340827,COMPLETE,0.0007794303720340827
9,0.3247,2025-08-21 21:06:44.328298,2025-08-21 21:07:13.795843,0 days 00:00:29.467545,elu,128,32,1,0.1,0.001,2,minmax,2,0.8,mean,True,0.0001,0.0018271333829969934,COMPLETE,0.0018271333829969934
10,0.3398,2025-08-21 21:07:13.796843,2025-08-21 21:07:26.372776,0 days 00:00:12.575933,tanh,256,128,3,0.5,1e-05,3,minmax,3,,mean,False,0.0,0.8320913425979124,COMPLETE,0.8320913425979124
11,0.3491,2025-08-21 21:07:26.373777,2025-08-21 21:07:40.419413,0 days 00:00:14.045636,leakyrelu,512,64,1,0.5,0.0001,1,L2,0,,mean,False,1e-06,0.7300011766685167,COMPLETE,0.7300011766685167
12,0.364,2025-08-21 21:07:40.420414,2025-08-21 21:07:52.320914,0 days 00:00:11.900500,leakyrelu,512,128,2,0.3,0.0001,2,L2,2,0.95,max,True,1e-06,0.005955645321925257,COMPLETE,0.005955645321925257
