number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3261,2025-08-21 21:33:06.669962,2025-08-21 21:33:10.262247,0 days 00:00:03.592285,relu,512,64,2,0.2,0.001,3,L2,0,0.95,max,True,1e-06,0.0005243098130449653,COMPLETE,0.0005243098130449653
1,0.2603,2025-08-21 21:33:10.263247,2025-08-21 21:33:14.902131,0 days 00:00:04.638884,relu,256,32,0,0.2,0.001,1,L2,0,,max,False,1e-05,0.8920243740081787,COMPLETE,0.8920243740081787
2,0.2504,2025-08-21 21:33:14.903131,2025-08-21 21:33:17.735447,0 days 00:00:02.832316,silu,512,128,1,0.4,1e-05,1,L2,0,0.7,max,True,1e-05,1.0632487535476685,COMPLETE,1.0632487535476685
3,0.2603,2025-08-21 21:33:17.736448,2025-08-21 21:33:20.605090,0 days 00:00:02.868642,tanh,512,128,1,0.1,1e-05,1,L2,0,0.95,max,True,0.0001,1.0305429697036743,COMPLETE,1.0305429697036743
4,0.2603,2025-08-21 21:33:20.607091,2025-08-21 21:33:24.222404,0 days 00:00:03.615313,silu,256,64,1,0.5,1e-05,3,minmax,1,,max,False,0.0001,0.9638087153434753,COMPLETE,0.9638087153434753
5,0.2813,2025-08-21 21:33:24.223405,2025-08-21 21:33:27.549653,0 days 00:00:03.326248,leakyrelu,256,64,0,0.2,1e-05,2,minmax,1,0.7,max,True,1e-05,0.8994561433792114,COMPLETE,0.8994561433792114
6,0.2924,2025-08-21 21:33:27.550655,2025-08-21 21:33:30.925409,0 days 00:00:03.374754,relu,512,64,2,0.5,1e-05,2,minmax,2,0.8,max,True,0.0,0.40695562958717346,COMPLETE,0.40695562958717346
7,0.2603,2025-08-21 21:33:30.926410,2025-08-21 21:33:34.399797,0 days 00:00:03.473387,tanh,256,64,1,0.1,1e-05,2,L2,1,0.75,mean,True,0.0001,0.9214820861816406,COMPLETE,0.9214820861816406
8,0.2603,2025-08-21 21:33:34.400798,2025-08-21 21:33:37.916350,0 days 00:00:03.515552,elu,128,64,1,0.3,1e-05,3,L2,0,,mean,False,1e-06,1.0546152591705322,COMPLETE,1.0546152591705322
9,0.2667,2025-08-21 21:33:37.917351,2025-08-21 21:33:46.414830,0 days 00:00:08.497479,leakyrelu,128,16,2,0.3,0.001,2,L2,1,,mean,False,0.0001,0.0005436294479295612,COMPLETE,0.0005436294479295612
