number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-21 22:47:36.228933,2025-11-21 22:47:59.345392,0 days 00:00:23.116459,[256],[],[],tanh,256,16,0.3,1e-05,minmax,1,increasing,max,0.0
1,0.4765168256989396,COMPLETE,2025-11-21 22:47:59.346403,2025-11-21 22:48:23.456130,0 days 00:00:24.109727,"[64, 96, 192, 384, 768]",[4],[1],tanh,768,48,0.2,0.001,minmax,5,increasing,max,0.0
2,0.3241542092840283,PRUNED,2025-11-21 22:48:23.458143,2025-11-21 22:48:26.430296,0 days 00:00:02.972153,[512],[],[],relu,512,16,0.4,0.0005,L2,1,decreasing,mean,0.0
3,0.21839080459770113,PRUNED,2025-11-21 22:48:26.430296,2025-11-21 22:48:28.584785,0 days 00:00:02.154489,"[96, 192, 384]",[],[],gelu,384,32,0.2,5e-05,L2,3,increasing,max,0.0
4,0.21839080459770113,PRUNED,2025-11-21 22:48:28.584785,2025-11-21 22:48:33.022002,0 days 00:00:04.437217,"[64, 64, 96, 192, 384]",[3],[4],silu,384,32,0.5,0.0002,L2,5,increasing,max,1e-05
5,0.39004819538002666,COMPLETE,2025-11-21 22:48:33.022002,2025-11-21 22:48:57.324324,0 days 00:00:24.302322,"[512, 512, 512, 512, 512]",[1],[3],relu,512,32,0.0,0.0002,L2,5,uniform,max,1e-06
6,0.21839080459770113,PRUNED,2025-11-21 22:48:57.326544,2025-11-21 22:49:16.474654,0 days 00:00:19.148110,"[384, 384, 384, 384]",[1],[1],tanh,384,16,0.1,1e-05,minmax,4,uniform,max,0.0
7,0.21839080459770113,PRUNED,2025-11-21 22:49:16.474654,2025-11-21 22:49:18.097470,0 days 00:00:01.622816,"[128, 64]",[],[1],silu,128,32,0.2,2e-05,L2,2,decreasing,max,1e-06
8,0.1761006289308176,PRUNED,2025-11-21 22:49:18.098473,2025-11-21 22:49:21.684319,0 days 00:00:03.585846,"[64, 64, 128, 256]",[1],[3],leakyrelu,256,48,0.5,0.0001,L2,4,increasing,mean,0.0
9,0.4353404507467634,COMPLETE,2025-11-21 22:49:21.684319,2025-11-21 22:50:06.375314,0 days 00:00:44.690995,"[512, 512, 512, 512]",[1],[1],leakyrelu,512,16,0.1,5e-05,L2,4,uniform,mean,0.0001
10,0.1761006289308176,PRUNED,2025-11-21 22:50:06.377632,2025-11-21 22:50:10.120553,0 days 00:00:03.742921,"[192, 384, 768]",[2],[1],elu,768,48,0.2,0.001,minmax,3,increasing,mean,1e-05
