number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3772,2025-08-21 21:36:27.212908,2025-08-21 21:36:43.471798,0 days 00:00:16.258890,tanh,256,64,0,0.3,0.001,2,L2,1,,mean,False,1e-06,0.0001587542259603008,COMPLETE,0.0001587542259603008
1,0.4431,2025-08-21 21:36:43.473798,2025-08-21 21:36:55.804691,0 days 00:00:12.330893,elu,512,128,0,0.2,1e-05,3,minmax,3,,max,False,0.0001,0.30825841053122494,COMPLETE,0.30825841053122494
2,0.2176,2025-08-21 21:36:55.806691,2025-08-21 21:37:07.755378,0 days 00:00:11.948687,tanh,128,128,2,0.4,1e-05,3,L2,0,0.9,max,True,0.0,1.0209086891922536,COMPLETE,1.0209086891922536
3,0.3644,2025-08-21 21:37:07.756378,2025-08-21 21:37:37.007962,0 days 00:00:29.251584,leakyrelu,512,32,1,0.4,0.0001,2,minmax,2,,max,False,1e-06,0.009583000867429917,COMPLETE,0.009583000867429917
4,0.2176,2025-08-21 21:37:37.008962,2025-08-21 21:37:49.136684,0 days 00:00:12.127722,silu,512,128,0,0.2,1e-05,3,L2,3,,max,False,0.0,0.9974750897508725,COMPLETE,0.9974750897508725
5,0.3494,2025-08-21 21:37:49.137683,2025-08-21 21:38:18.640775,0 days 00:00:29.503092,relu,256,32,2,0.4,0.0001,2,minmax,2,,mean,False,1e-05,0.006117034236334528,COMPLETE,0.006117034236334528
6,0.3591,2025-08-21 21:38:18.641775,2025-08-21 21:39:07.835373,0 days 00:00:49.193598,elu,256,16,2,0.4,0.0001,2,L2,0,0.8,mean,True,0.0,0.6597408098423213,COMPLETE,0.6597408098423213
7,0.3922,2025-08-21 21:39:07.836373,2025-08-21 21:39:25.183379,0 days 00:00:17.347006,relu,512,64,1,0.4,0.0001,3,minmax,0,,mean,False,1e-05,0.033423329748428904,COMPLETE,0.033423329748428904
8,0.4093,2025-08-21 21:39:25.185381,2025-08-21 21:39:36.092357,0 days 00:00:10.906976,leakyrelu,128,128,0,0.5,0.001,2,minmax,0,,max,False,1e-06,0.009364700703986492,COMPLETE,0.009364700703986492
9,0.4054,2025-08-21 21:39:36.093357,2025-08-21 21:39:48.791535,0 days 00:00:12.698178,tanh,512,128,2,0.3,0.001,3,L2,2,,max,False,1e-06,0.2874786448440368,COMPLETE,0.2874786448440368
10,0.3798,2025-08-21 21:39:48.792536,2025-08-21 21:40:33.818321,0 days 00:00:45.025785,elu,512,16,0,0.2,1e-05,1,minmax,1,0.75,max,True,0.0001,0.6288911889986977,COMPLETE,0.6288911889986977
11,0.3965,2025-08-21 21:40:33.819322,2025-08-21 21:40:43.830502,0 days 00:00:10.011180,gelu,128,128,0,0.5,0.001,1,minmax,0,,max,False,0.0001,0.1124839273871333,COMPLETE,0.1124839273871333
12,0.4096,2025-08-21 21:40:43.831502,2025-08-21 21:40:53.918117,0 days 00:00:10.086615,leakyrelu,128,128,0,0.1,0.001,1,minmax,0,,max,False,0.0001,0.06950450139988656,COMPLETE,0.06950450139988656
13,0.2322,2025-08-21 21:40:53.919117,2025-08-21 21:41:03.970253,0 days 00:00:10.051136,elu,128,128,0,0.1,1e-05,1,minmax,0,,max,False,0.0001,0.9790439331646518,COMPLETE,0.9790439331646518
14,0.4214,2025-08-21 21:41:03.971253,2025-08-21 21:41:14.529625,0 days 00:00:10.558372,leakyrelu,128,128,0,0.1,0.001,1,minmax,1,0.85,max,True,0.0001,0.0015611639302493434,COMPLETE,0.0015611639302493434
15,0.3552,2025-08-21 21:41:14.531627,2025-08-21 21:41:25.140013,0 days 00:00:10.608386,gelu,512,128,0,0.1,1e-05,1,minmax,1,0.85,max,True,0.0001,0.7850076284055925,COMPLETE,0.7850076284055925
16,0.4258,2025-08-21 21:41:25.141012,2025-08-21 21:42:24.305325,0 days 00:00:59.164313,leakyrelu,128,16,3,0.2,0.001,3,minmax,3,0.95,max,True,0.0001,0.00046860159971261656,COMPLETE,0.00046860159971261656
17,0.4021,2025-08-21 21:42:24.306325,2025-08-21 21:43:23.586347,0 days 00:00:59.280022,silu,128,16,3,0.2,1e-05,3,minmax,3,0.95,max,True,0.0001,0.38743311195511526,COMPLETE,0.38743311195511526
18,0.3486,2025-08-21 21:43:23.587347,2025-08-21 21:44:22.619615,0 days 00:00:59.032268,elu,512,16,3,0.2,1e-05,3,minmax,3,0.95,mean,True,0.0001,0.10997453370278287,COMPLETE,0.10997453370278287
19,0.4014,2025-08-21 21:44:22.620613,2025-08-21 21:45:19.062858,0 days 00:00:56.442245,leakyrelu,256,16,1,0.2,0.001,3,minmax,3,0.7,max,True,1e-05,8.990277922330454e-05,COMPLETE,8.990277922330454e-05
20,0.4285,2025-08-21 21:45:19.063859,2025-08-21 21:45:37.323797,0 days 00:00:18.259938,elu,128,64,3,0.2,0.001,3,minmax,2,0.95,max,True,0.0001,0.02500196188760149,COMPLETE,0.02500196188760149
21,0.4232,2025-08-21 21:45:37.324798,2025-08-21 21:45:55.438826,0 days 00:00:18.114028,elu,128,64,3,0.2,0.001,3,minmax,2,0.95,max,True,0.0001,0.029993157917663597,COMPLETE,0.029993157917663597
22,0.43,2025-08-21 21:45:55.439827,2025-08-21 21:46:13.571961,0 days 00:00:18.132134,elu,128,64,3,0.2,0.001,3,minmax,3,0.95,max,True,0.0001,0.0019060219922537205,COMPLETE,0.0019060219922537205
23,0.427,2025-08-21 21:46:13.572961,2025-08-21 21:46:31.713169,0 days 00:00:18.140208,elu,128,64,3,0.2,0.001,3,minmax,3,0.95,max,True,0.0001,0.001499754826836228,COMPLETE,0.001499754826836228
24,0.4396,2025-08-21 21:46:31.714169,2025-08-21 21:46:49.799865,0 days 00:00:18.085696,elu,128,64,2,0.2,0.001,3,minmax,2,0.9,max,True,0.0001,0.013627835857858612,COMPLETE,0.013627835857858612
25,0.395,2025-08-21 21:46:49.800866,2025-08-21 21:47:06.606210,0 days 00:00:16.805344,elu,512,64,1,0.2,1e-05,2,minmax,2,0.9,max,True,0.0001,0.4256166280082568,COMPLETE,0.4256166280082568
26,0.3627,2025-08-21 21:47:06.607211,2025-08-21 21:47:24.684955,0 days 00:00:18.077744,elu,128,64,2,0.2,0.001,3,L2,3,0.9,mean,True,0.0001,0.0681730171012725,COMPLETE,0.0681730171012725
27,0.4261,2025-08-21 21:47:24.685955,2025-08-21 21:47:41.611570,0 days 00:00:16.925615,elu,128,64,1,0.3,0.001,2,minmax,2,0.7,max,True,1e-05,0.011451596618776727,COMPLETE,0.011451596618776727
28,0.4219,2025-08-21 21:47:41.612570,2025-08-21 21:48:12.874696,0 days 00:00:31.262126,elu,256,32,2,0.5,0.0001,3,minmax,3,,max,False,0.0,0.009946267387060108,COMPLETE,0.009946267387060108
29,0.3439,2025-08-21 21:48:12.875696,2025-08-21 21:48:29.533029,0 days 00:00:16.657333,gelu,512,64,1,0.3,1e-05,2,L2,1,,mean,False,1e-06,0.5885694555914287,COMPLETE,0.5885694555914287
