number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.4170535483903387,COMPLETE,2025-11-21 23:06:51.026632,2025-11-21 23:07:10.165058,0 days 00:00:19.138426,"[128, 128, 128, 128, 128]",[4],[1],leakyrelu,128,64,0.3,0.0001,minmax,5,uniform,mean,0.0
1,0.21758419036095988,COMPLETE,2025-11-21 23:07:10.171630,2025-11-21 23:07:20.610578,0 days 00:00:10.438948,"[256, 256, 256, 256, 256]",[2],[2],silu,256,96,0.3,2e-05,minmax,5,uniform,mean,0.0001
2,0.21758419036095988,COMPLETE,2025-11-21 23:07:20.612788,2025-11-21 23:07:30.539145,0 days 00:00:09.926357,[128],[],[],elu,128,48,0.0,0.0002,L2,1,increasing,max,1e-06
3,0.21839080459770113,PRUNED,2025-11-21 23:07:30.542153,2025-11-21 23:07:36.470155,0 days 00:00:05.928002,[1024],[],[],elu,1024,32,0.0,0.001,minmax,1,uniform,max,0.0
4,0.3752261209453972,COMPLETE,2025-11-21 23:07:36.471157,2025-11-21 23:07:54.967557,0 days 00:00:18.496400,"[256, 256, 256, 256, 256]",[2],[3],leakyrelu,256,48,0.4,0.0002,minmax,5,uniform,mean,0.0
5,0.08888888888888889,PRUNED,2025-11-21 23:07:54.969563,2025-11-21 23:07:58.025504,0 days 00:00:03.055941,"[512, 512, 512]",[],[2],tanh,512,128,0.4,2e-05,minmax,3,uniform,mean,0.0
6,0.4326382948946704,COMPLETE,2025-11-21 23:07:58.025504,2025-11-21 23:08:16.664930,0 days 00:00:18.639426,"[256, 256, 256, 256, 256]",[],[],silu,256,48,0.0,0.0005,minmax,5,uniform,mean,1e-05
7,0.42959221848110735,PRUNED,2025-11-21 23:08:16.666941,2025-11-21 23:08:25.397774,0 days 00:00:08.730833,"[384, 192, 96, 64, 64]",[],[1],elu,384,32,0.2,0.0005,L2,5,decreasing,mean,1e-06
8,0.3826885914799629,COMPLETE,2025-11-21 23:08:25.397774,2025-11-21 23:08:43.705539,0 days 00:00:18.307765,"[64, 128, 256, 512, 1024]",[4],[3],tanh,1024,48,0.0,2e-05,minmax,5,increasing,max,1e-05
9,0.1761006289308176,PRUNED,2025-11-21 23:08:43.712472,2025-11-21 23:08:47.245800,0 days 00:00:03.533328,"[64, 96, 192, 384]",[],[],silu,384,64,0.4,0.0001,minmax,4,increasing,mean,1e-06
10,0.42026122959455436,COMPLETE,2025-11-21 23:08:47.245800,2025-11-21 23:09:22.892997,0 days 00:00:35.647197,"[896, 448, 224]",[1],[],relu,896,16,0.1,0.0005,L2,3,decreasing,max,1e-05
11,0.21839080459770113,PRUNED,2025-11-21 23:09:22.895003,2025-11-21 23:09:36.317027,0 days 00:00:13.422024,"[896, 448, 224]",[1],[],relu,896,16,0.1,0.0005,L2,3,decreasing,max,1e-05
12,0.38292674950717287,COMPLETE,2025-11-21 23:09:36.318201,2025-11-21 23:10:08.826300,0 days 00:00:32.508099,"[768, 384]",[1],[],relu,768,16,0.5,5e-05,L2,2,decreasing,max,1e-05
