number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3879,2025-08-21 21:57:51.676247,2025-08-21 21:58:17.043954,0 days 00:00:25.367707,silu,256,32,0,0.3,0.001,1,minmax,1,0.85,max,True,1e-05,0.0002049981489915317,COMPLETE,0.0002049981489915317
1,0.3826,2025-08-21 21:58:17.044954,2025-08-21 21:59:16.220131,0 days 00:00:59.175177,relu,256,16,3,0.3,0.0001,3,minmax,3,0.95,mean,True,0.0,0.0010025580443585608,COMPLETE,0.0010025580443585608
2,0.4277,2025-08-21 21:59:16.222131,2025-08-21 21:59:31.497308,0 days 00:00:15.275177,elu,128,64,1,0.4,0.001,1,L2,1,,mean,False,1e-05,0.00507084780351717,COMPLETE,0.00507084780351717
3,0.3526,2025-08-21 21:59:31.498309,2025-08-21 21:59:43.901910,0 days 00:00:12.403601,elu,128,128,2,0.3,0.0001,3,L2,2,,max,False,0.0,0.5734948857037584,COMPLETE,0.5734948857037584
4,0.4021,2025-08-21 21:59:43.902910,2025-08-21 21:59:58.862484,0 days 00:00:14.959574,gelu,256,64,0,0.1,0.0001,1,minmax,1,,mean,False,1e-05,0.033922440537110785,COMPLETE,0.033922440537110785
5,0.3501,2025-08-21 21:59:58.862484,2025-08-21 22:00:08.642642,0 days 00:00:09.780158,elu,128,128,0,0.3,0.0001,1,minmax,1,,max,False,0.0,0.1985809924230698,COMPLETE,0.1985809924230698
6,0.3921,2025-08-21 22:00:08.642642,2025-08-21 22:00:18.483698,0 days 00:00:09.841056,relu,512,128,1,0.1,0.001,1,L2,0,0.85,max,True,0.0001,0.3525269296008291,COMPLETE,0.3525269296008291
7,0.3593,2025-08-21 22:00:18.483698,2025-08-21 22:00:41.666700,0 days 00:00:23.183002,silu,512,32,0,0.3,1e-05,1,L2,1,0.85,mean,True,1e-05,0.8760492075294544,COMPLETE,0.8760492075294544
8,0.3885,2025-08-21 22:00:41.666700,2025-08-21 22:00:53.786282,0 days 00:00:12.119582,gelu,256,128,3,0.4,0.0001,3,minmax,0,0.75,mean,True,1e-05,0.6641229306769908,COMPLETE,0.6641229306769908
9,0.3481,2025-08-21 22:00:53.786282,2025-08-21 22:01:06.243886,0 days 00:00:12.457604,gelu,256,128,3,0.2,0.0001,3,minmax,0,,max,False,1e-05,0.43641042191882606,COMPLETE,0.43641042191882606
10,0.4125,2025-08-21 22:01:06.244885,2025-08-21 22:01:22.913585,0 days 00:00:16.668700,leakyrelu,128,64,1,0.4,0.001,2,L2,2,,mean,False,1e-06,0.04863082224628933,COMPLETE,0.04863082224628933
11,0.4092,2025-08-21 22:01:22.913585,2025-08-21 22:01:39.066461,0 days 00:00:16.152876,leakyrelu,128,64,1,0.4,0.001,2,L2,2,,mean,False,1e-06,0.025933925912886187,COMPLETE,0.025933925912886187
12,0.4101,2025-08-21 22:01:39.082089,2025-08-21 22:01:55.364831,0 days 00:00:16.282742,leakyrelu,128,64,1,0.5,0.001,2,L2,2,,mean,False,1e-06,0.03789441945133102,COMPLETE,0.03789441945133102
13,0.4289,2025-08-21 22:01:55.364831,2025-08-21 22:02:11.225997,0 days 00:00:15.861166,tanh,128,64,1,0.4,0.001,2,L2,2,,mean,False,1e-06,0.006738563360185198,COMPLETE,0.006738563360185198
14,0.311,2025-08-21 22:02:11.225997,2025-08-21 22:02:27.233639,0 days 00:00:16.007642,tanh,128,64,1,0.4,1e-05,2,L2,2,,mean,False,0.0001,0.9464358194847966,COMPLETE,0.9464358194847966
15,0.4207,2025-08-21 22:02:27.233639,2025-08-21 22:03:19.454054,0 days 00:00:52.220415,tanh,128,16,1,0.4,0.001,2,L2,1,,mean,False,1e-06,0.017665926332606476,COMPLETE,0.017665926332606476
16,0.4362,2025-08-21 22:03:19.454054,2025-08-21 22:03:33.799049,0 days 00:00:14.344995,tanh,512,64,1,0.5,0.001,1,L2,0,,mean,False,1e-06,0.18847924307994904,COMPLETE,0.18847924307994904
