number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.4019049078933312,COMPLETE,2025-11-21 23:19:35.414790,2025-11-21 23:19:48.423740,0 days 00:00:13.008950,"[256, 256, 256, 256, 256]",[],[4],elu,256,96,0.2,0.0005,minmax,5,uniform,mean,0.0
1,0.21758419036095988,COMPLETE,2025-11-21 23:19:48.425739,2025-11-21 23:20:03.440415,0 days 00:00:15.014676,"[512, 256]",[1],[1],relu,512,32,0.4,1e-05,L2,2,decreasing,mean,1e-06
2,0.08888888888888889,PRUNED,2025-11-21 23:20:03.440415,2025-11-21 23:20:20.816002,0 days 00:00:17.375587,"[768, 384, 192, 96, 64]",[],[1],elu,768,16,0.5,1e-05,L2,5,decreasing,max,0.0001
3,0.2839100783026017,PRUNED,2025-11-21 23:20:20.816002,2025-11-21 23:20:21.762307,0 days 00:00:00.946305,"[768, 384]",[],[1],elu,768,128,0.5,5e-05,minmax,2,decreasing,max,0.0
4,0.36536362697959957,COMPLETE,2025-11-21 23:20:21.762307,2025-11-21 23:20:56.338424,0 days 00:00:34.576117,"[256, 512, 1024]",[],[2],silu,1024,16,0.5,0.001,L2,3,increasing,mean,0.0001
5,0.22256170160533767,COMPLETE,2025-11-21 23:20:56.339448,2025-11-21 23:21:02.892880,0 days 00:00:06.553432,"[384, 192]",[],[],elu,384,128,0.2,2e-05,minmax,2,decreasing,max,0.0001
6,0.3072586328400282,PRUNED,2025-11-21 23:21:02.892880,2025-11-21 23:21:04.585678,0 days 00:00:01.692798,"[896, 448, 224, 112, 64]",[1],[],relu,896,96,0.3,0.0005,L2,5,decreasing,mean,1e-06
7,0.21758419036095988,COMPLETE,2025-11-21 23:21:04.585678,2025-11-21 23:21:12.714917,0 days 00:00:08.129239,"[768, 768, 768, 768]",[2],[1],elu,768,128,0.5,2e-05,L2,4,uniform,max,1e-05
8,0.37580363609938827,COMPLETE,2025-11-21 23:21:12.716938,2025-11-21 23:21:37.662008,0 days 00:00:24.945070,"[224, 448, 896]",[],[1],tanh,896,32,0.0,2e-05,minmax,3,increasing,max,0.0001
9,0.2110077519379845,PRUNED,2025-11-21 23:21:37.662008,2025-11-21 23:21:54.472635,0 days 00:00:16.810627,"[384, 384, 384, 384, 384]",[3],[3],elu,384,32,0.2,0.0005,minmax,5,uniform,max,1e-06
10,0.2608058608058608,PRUNED,2025-11-21 23:21:54.473635,2025-11-21 23:21:56.419113,0 days 00:00:01.945478,[256],[],[],gelu,256,96,0.1,0.0001,minmax,1,uniform,mean,0.0
11,0.21839080459770113,PRUNED,2025-11-21 23:21:56.420115,2025-11-21 23:22:02.261158,0 days 00:00:05.841043,"[112, 224, 448, 896]",[1],[3],tanh,896,64,0.0,0.0002,minmax,4,increasing,mean,0.0
12,0.4328378393996159,COMPLETE,2025-11-21 23:22:02.262261,2025-11-21 23:22:20.747098,0 days 00:00:18.484837,"[64, 64, 128]",[],[2],leakyrelu,128,48,0.0,0.0005,minmax,3,increasing,max,1e-05
13,0.4304099771628896,COMPLETE,2025-11-21 23:22:20.749106,2025-11-21 23:22:37.161859,0 days 00:00:16.412753,"[128, 128, 128, 128]",[2],[2],leakyrelu,128,48,0.0,0.0005,minmax,4,uniform,mean,1e-05
14,0.21839080459770113,PRUNED,2025-11-21 23:22:37.163951,2025-11-21 23:22:44.311036,0 days 00:00:07.147085,"[64, 64, 64, 128]",[2],[2],leakyrelu,128,48,0.0,0.0005,minmax,4,increasing,mean,1e-05
15,0.21637426900584797,PRUNED,2025-11-21 23:22:44.311036,2025-11-21 23:22:53.600355,0 days 00:00:09.289319,"[128, 128, 128]",[2],[2],leakyrelu,128,48,0.0,0.0005,minmax,3,uniform,max,1e-05
16,0.21839080459770113,PRUNED,2025-11-21 23:22:53.601355,2025-11-21 23:23:01.484198,0 days 00:00:07.882843,"[64, 64, 64, 128]",[3],[3],leakyrelu,128,48,0.0,0.001,minmax,4,increasing,mean,1e-05
17,0.33291014819839104,COMPLETE,2025-11-21 23:23:01.485205,2025-11-21 23:23:18.544956,0 days 00:00:17.059751,[128],[],[],leakyrelu,128,48,0.4,0.0001,minmax,1,uniform,max,1e-05
