number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3363,2025-08-21 22:08:48.273735,2025-08-21 22:09:31.276369,0 days 00:00:43.002634,leakyrelu,128,16,1,0.3,0.001,1,minmax,0,,mean,False,0.0001,0.045859586483412616,COMPLETE,0.045859586483412616
1,0.2176,2025-08-21 22:09:31.277369,2025-08-21 22:10:01.171880,0 days 00:00:29.894511,relu,128,32,3,0.1,1e-05,3,L2,2,0.9,max,True,1e-05,0.9857920423581286,COMPLETE,0.9857920423581286
2,0.3449,2025-08-21 22:10:01.178397,2025-08-21 22:10:12.131664,0 days 00:00:10.953267,gelu,256,128,0,0.2,0.0001,1,L2,1,,mean,False,1e-06,0.03314159167301616,COMPLETE,0.03314159167301616
3,0.3017,2025-08-21 22:10:12.132090,2025-08-21 22:10:28.740840,0 days 00:00:16.608750,tanh,128,64,2,0.3,0.001,3,L2,0,,mean,False,0.0001,0.01709301860769462,COMPLETE,0.01709301860769462
4,0.2288,2025-08-21 22:10:28.741840,2025-08-21 22:10:40.910566,0 days 00:00:12.168726,leakyrelu,128,64,1,0.4,0.0001,1,L2,0,0.8,mean,True,0.0,0.9436749164314515,COMPLETE,0.9436749164314515
5,0.2366,2025-08-21 22:10:40.911566,2025-08-21 22:11:26.229719,0 days 00:00:45.318153,tanh,256,16,1,0.5,1e-05,1,L2,1,0.9,max,True,0.0001,0.9889701909574282,COMPLETE,0.9889701909574282
6,0.3902,2025-08-21 22:11:26.230719,2025-08-21 22:12:10.144558,0 days 00:00:43.913839,gelu,256,16,1,0.3,0.0001,1,L2,1,0.7,max,True,1e-06,0.26510000180968135,COMPLETE,0.26510000180968135
7,0.2164,2025-08-21 22:12:10.145558,2025-08-21 22:12:39.318703,0 days 00:00:29.173145,tanh,512,32,1,0.3,1e-05,2,L2,0,,mean,False,1e-05,0.9720234999319365,COMPLETE,0.9720234999319365
8,0.2168,2025-08-21 22:12:39.319703,2025-08-21 22:13:33.472835,0 days 00:00:54.153132,leakyrelu,128,16,0,0.5,1e-05,3,minmax,0,,mean,False,1e-06,0.9681596893972906,COMPLETE,0.9681596893972906
9,0.353,2025-08-21 22:13:33.473836,2025-08-21 22:13:45.696574,0 days 00:00:12.222738,elu,256,128,0,0.2,1e-05,3,minmax,2,0.9,max,True,1e-06,0.7090078506055753,COMPLETE,0.7090078506055753
10,0.3706,2025-08-21 22:13:45.697575,2025-08-21 22:14:39.153823,0 days 00:00:53.456248,gelu,512,16,2,0.1,0.0001,2,minmax,1,0.7,max,True,0.0,0.0002549940818835385,COMPLETE,0.0002549940818835385
11,0.3803,2025-08-21 22:14:39.153823,2025-08-21 22:15:31.452677,0 days 00:00:52.298854,gelu,512,16,2,0.1,0.0001,2,minmax,1,0.7,max,True,0.0,0.0002542639043035399,COMPLETE,0.0002542639043035399
12,0.3922,2025-08-21 22:15:31.452677,2025-08-21 22:16:24.482269,0 days 00:00:53.029592,gelu,512,16,2,0.1,0.0001,2,minmax,1,0.7,max,True,0.0,0.0002472764664831934,COMPLETE,0.0002472764664831934
13,0.3729,2025-08-21 22:16:24.483267,2025-08-21 22:17:20.277327,0 days 00:00:55.794060,silu,512,16,2,0.4,0.0001,2,minmax,2,0.85,max,True,1e-06,0.007932505345756602,COMPLETE,0.007932505345756602
14,0.3559,2025-08-21 22:17:20.278328,2025-08-21 22:18:03.182827,0 days 00:00:42.904499,gelu,256,16,0,0.3,0.0001,1,L2,1,0.95,max,True,0.0,0.0007702517886556254,COMPLETE,0.0007702517886556254
15,0.3786,2025-08-21 22:18:03.184445,2025-08-21 22:18:58.614433,0 days 00:00:55.429988,gelu,512,16,2,0.1,0.0001,2,minmax,1,0.7,max,True,1e-06,0.00026242058303797096,COMPLETE,0.00026242058303797096
16,0.3404,2025-08-21 22:18:58.615434,2025-08-21 22:19:07.830027,0 days 00:00:09.214593,silu,256,128,0,0.3,0.0001,1,minmax,1,0.75,max,True,0.0,0.43686355923533055,COMPLETE,0.43686355923533055
17,0.3869,2025-08-21 22:19:07.830027,2025-08-21 22:19:36.584973,0 days 00:00:28.754946,relu,256,32,1,0.1,0.001,2,L2,2,0.7,max,True,1e-05,0.003892271061520724,COMPLETE,0.003892271061520724
18,0.3861,2025-08-21 22:19:36.585972,2025-08-21 22:19:54.099418,0 days 00:00:17.513446,elu,512,64,1,0.2,0.0001,2,minmax,1,0.7,max,True,1e-06,0.11473634822288127,COMPLETE,0.11473634822288127
19,0.3799,2025-08-21 22:19:54.099418,2025-08-21 22:20:36.339978,0 days 00:00:42.240560,gelu,256,16,0,0.4,0.0001,1,L2,1,0.95,max,True,0.0,0.0007753668514295958,COMPLETE,0.0007753668514295958
20,0.3755,2025-08-21 22:20:36.340979,2025-08-21 22:21:37.820752,0 days 00:01:01.479773,gelu,512,16,3,0.5,0.001,3,L2,3,0.75,max,True,0.0,0.013820018006246866,COMPLETE,0.013820018006246866
21,0.3843,2025-08-21 22:21:37.821753,2025-08-21 22:22:06.751235,0 days 00:00:28.929482,relu,256,32,1,0.1,0.001,2,L2,2,0.7,max,True,1e-05,0.006702078885916872,COMPLETE,0.006702078885916872
22,0.3877,2025-08-21 22:22:06.752235,2025-08-21 22:22:35.491673,0 days 00:00:28.739438,relu,256,32,1,0.1,0.001,2,L2,2,0.7,max,True,1e-05,0.001064487089574415,COMPLETE,0.001064487089574415
23,0.4147,2025-08-21 22:22:35.492673,2025-08-21 22:23:04.737225,0 days 00:00:29.244552,relu,256,32,1,0.1,0.001,2,L2,2,0.7,max,True,1e-05,0.0004921560190806885,COMPLETE,0.0004921560190806885
24,0.368,2025-08-21 22:23:04.738225,2025-08-21 22:23:27.750381,0 days 00:00:23.012156,relu,256,32,1,0.1,0.001,1,L2,0,0.8,max,True,1e-05,0.4334676375918066,COMPLETE,0.4334676375918066
25,0.3731,2025-08-21 22:23:27.751381,2025-08-21 22:23:56.526826,0 days 00:00:28.775445,gelu,256,32,1,0.3,0.0001,2,L2,1,0.85,max,True,1e-05,0.008012520005609062,COMPLETE,0.008012520005609062
26,0.3682,2025-08-21 22:23:56.527827,2025-08-21 22:24:10.175884,0 days 00:00:13.648057,elu,512,128,3,0.1,0.001,3,minmax,3,,max,False,1e-06,0.0021156231824823704,COMPLETE,0.0021156231824823704
27,0.3651,2025-08-21 22:24:10.177885,2025-08-21 22:24:26.466535,0 days 00:00:16.288650,silu,256,64,1,0.1,0.0001,2,L2,1,0.7,max,True,0.0001,0.7676092654562456,COMPLETE,0.7676092654562456
