number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3811,2025-08-21 22:25:48.497071,2025-08-21 22:26:05.708926,0 days 00:00:17.211855,leakyrelu,128,64,0,0.5,0.0001,3,L2,3,0.85,mean,True,0.0001,0.295036878808135,COMPLETE,0.295036878808135
1,0.3089,2025-08-21 22:26:05.709926,2025-08-21 22:26:15.657155,0 days 00:00:09.947229,silu,128,128,0,0.3,0.0001,1,L2,1,,max,False,1e-06,0.8428135587088165,COMPLETE,0.8428135587088165
2,0.3958,2025-08-21 22:26:15.658155,2025-08-21 22:26:46.308022,0 days 00:00:30.649867,gelu,256,32,3,0.4,1e-05,3,minmax,2,0.75,mean,True,1e-06,0.6344910014863949,COMPLETE,0.6344910014863949
3,0.3353,2025-08-21 22:26:46.309022,2025-08-21 22:27:04.091006,0 days 00:00:17.781984,leakyrelu,512,64,0,0.2,0.001,2,L2,2,,max,False,0.0,0.8518714414148852,COMPLETE,0.8518714414148852
4,0.3542,2025-08-21 22:27:04.092006,2025-08-21 22:27:16.707832,0 days 00:00:12.615826,leakyrelu,512,128,2,0.3,1e-05,3,minmax,1,0.8,mean,True,0.0,0.7517170894567606,COMPLETE,0.7517170894567606
5,0.3505,2025-08-21 22:27:16.708832,2025-08-21 22:28:17.566466,0 days 00:01:00.857634,relu,512,16,1,0.1,1e-05,3,L2,3,0.7,mean,True,0.0001,0.8277336209533299,COMPLETE,0.8277336209533299
6,0.3413,2025-08-21 22:28:17.567467,2025-08-21 22:29:14.134140,0 days 00:00:56.566673,elu,128,16,2,0.4,0.0001,3,L2,1,,mean,False,1e-06,0.009458655236929752,COMPLETE,0.009458655236929752
7,0.4192,2025-08-21 22:29:14.135140,2025-08-21 22:29:25.999797,0 days 00:00:11.864657,relu,256,128,2,0.2,0.0001,3,minmax,3,0.85,max,True,1e-05,0.014724473400083385,COMPLETE,0.014724473400083385
8,0.3911,2025-08-21 22:29:26.000798,2025-08-21 22:29:59.083209,0 days 00:00:33.082411,relu,512,32,2,0.5,0.0001,3,L2,1,0.9,mean,True,1e-06,0.0008792149882248552,COMPLETE,0.0008792149882248552
9,0.3417,2025-08-21 22:29:59.084210,2025-08-21 22:30:58.141946,0 days 00:00:59.057736,elu,512,16,2,0.2,1e-05,3,minmax,0,,max,False,1e-06,0.6938150963982586,COMPLETE,0.6938150963982586
10,0.4011,2025-08-21 22:30:58.142946,2025-08-21 22:31:09.238454,0 days 00:00:11.095508,tanh,256,128,1,0.2,0.001,2,minmax,0,0.85,max,True,1e-05,0.03217213987777087,COMPLETE,0.03217213987777087
11,0.4113,2025-08-21 22:31:09.239454,2025-08-21 22:31:19.957856,0 days 00:00:10.718402,tanh,256,128,1,0.2,0.001,2,minmax,0,0.85,max,True,1e-05,0.03895198860448273,COMPLETE,0.03895198860448273
12,0.3547,2025-08-21 22:31:19.958856,2025-08-21 22:31:29.319953,0 days 00:00:09.361097,tanh,256,128,1,0.2,0.001,1,minmax,0,0.85,max,True,1e-05,0.6930324973784076,COMPLETE,0.6930324973784076
