number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3019,2025-08-21 22:36:06.579113,2025-08-21 22:36:24.009137,0 days 00:00:17.430024,silu,512,64,2,0.4,1e-05,3,minmax,0,0.95,mean,True,0.0,0.8651755588230979,COMPLETE,0.8651755588230979
1,0.3747,2025-08-21 22:36:24.010137,2025-08-21 22:37:21.610042,0 days 00:00:57.599905,tanh,512,16,0,0.1,0.0001,3,L2,3,,mean,False,0.0,0.0011652214512516447,COMPLETE,0.0011652214512516447
2,0.3644,2025-08-21 22:37:21.611042,2025-08-21 22:37:44.348136,0 days 00:00:22.737094,relu,128,32,0,0.1,1e-05,1,minmax,1,,max,False,1e-06,0.7575266744546185,COMPLETE,0.7575266744546185
3,0.3361,2025-08-21 22:37:44.349136,2025-08-21 22:38:26.880664,0 days 00:00:42.531528,tanh,512,16,1,0.1,1e-05,1,minmax,0,,max,False,0.0001,0.8615100065611566,COMPLETE,0.8615100065611566
4,0.3493,2025-08-21 22:38:26.881665,2025-08-21 22:38:38.886354,0 days 00:00:12.004689,tanh,256,128,0,0.1,1e-05,2,minmax,1,,mean,False,1e-05,0.7710050927097775,COMPLETE,0.7710050927097775
5,0.4345,2025-08-21 22:38:38.887355,2025-08-21 22:38:56.185229,0 days 00:00:17.297874,leakyrelu,512,64,0,0.1,0.0001,2,minmax,2,0.95,mean,True,1e-06,0.0011166089698762132,COMPLETE,0.0011166089698762132
6,0.3939,2025-08-21 22:38:56.186229,2025-08-21 22:39:43.117743,0 days 00:00:46.931514,leakyrelu,128,16,2,0.5,0.0001,2,L2,0,0.85,max,True,1e-06,0.7712501852842006,COMPLETE,0.7712501852842006
7,0.3901,2025-08-21 22:39:43.118744,2025-08-21 22:40:32.352543,0 days 00:00:49.233799,tanh,256,16,0,0.2,0.0001,2,L2,2,0.9,max,True,0.0,0.036218915913266,COMPLETE,0.036218915913266
8,0.2176,2025-08-21 22:40:32.353544,2025-08-21 22:40:42.328778,0 days 00:00:09.975234,tanh,128,128,1,0.2,1e-05,1,minmax,0,,mean,False,0.0001,0.9807915622398401,COMPLETE,0.9807915622398401
9,0.4031,2025-08-21 22:40:42.329779,2025-08-21 22:41:40.367139,0 days 00:00:58.037360,gelu,256,16,2,0.3,0.0001,3,minmax,2,,mean,False,0.0001,0.001916420368940556,COMPLETE,0.001916420368940556
10,0.4132,2025-08-21 22:41:40.367139,2025-08-21 22:41:57.116056,0 days 00:00:16.748917,leakyrelu,512,64,1,0.5,0.001,2,L2,2,0.75,mean,True,1e-06,0.018338291828709257,COMPLETE,0.018338291828709257
