number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-21 23:50:18.673553,2025-11-21 23:50:28.632024,0 days 00:00:09.958471,"[64, 64, 96, 192, 384]",[],[3],relu,384,96,0.0,0.0001,L2,5,increasing,mean,1e-06
1,0.3981187877871845,COMPLETE,2025-11-21 23:50:28.634026,2025-11-21 23:51:11.503063,0 days 00:00:42.869037,"[128, 128, 128, 128]",[1],[3],relu,128,16,0.0,0.0001,L2,4,uniform,mean,1e-06
2,0.3799033816425121,PRUNED,2025-11-21 23:51:11.505061,2025-11-21 23:51:13.054791,0 days 00:00:01.549730,"[384, 192, 96, 64, 64]",[4],[4],silu,384,96,0.4,0.0002,minmax,5,decreasing,max,1e-06
3,0.21758419036095988,COMPLETE,2025-11-21 23:51:13.054791,2025-11-21 23:51:21.489219,0 days 00:00:08.434428,"[768, 384, 192]",[],[1],tanh,768,96,0.2,1e-05,L2,3,decreasing,max,1e-05
4,0.08888888888888889,PRUNED,2025-11-21 23:51:21.491507,2025-11-21 23:51:37.034909,0 days 00:00:15.543402,"[256, 128, 64, 64]",[3],[1],leakyrelu,256,16,0.1,1e-05,L2,4,decreasing,max,0.0
5,0.45072260766865935,COMPLETE,2025-11-21 23:51:37.035917,2025-11-21 23:52:21.566618,0 days 00:00:44.530701,[1024],[],[],tanh,1024,16,0.2,5e-05,minmax,1,increasing,max,0.0001
6,0.21839080459770113,PRUNED,2025-11-21 23:52:21.570185,2025-11-21 23:52:27.418298,0 days 00:00:05.848113,"[128, 128, 128, 128, 128]",[4],[1],elu,128,16,0.0,2e-05,L2,5,uniform,max,1e-06
7,0.2270821315102753,COMPLETE,2025-11-21 23:52:27.419313,2025-11-21 23:52:38.315724,0 days 00:00:10.896411,"[128, 128]",[1],[1],relu,128,64,0.1,1e-05,minmax,2,uniform,max,0.0
8,0.08888888888888889,PRUNED,2025-11-21 23:52:38.319296,2025-11-21 23:52:41.645770,0 days 00:00:03.326474,"[192, 384]",[],[1],gelu,384,96,0.5,0.0002,L2,2,increasing,mean,0.0
9,0.30645128146035583,COMPLETE,2025-11-21 23:52:41.646770,2025-11-21 23:53:12.766505,0 days 00:00:31.119735,"[256, 256, 256]",[2],[2],elu,256,32,0.2,2e-05,L2,3,uniform,max,0.0001
10,0.21839080459770113,PRUNED,2025-11-21 23:53:12.769032,2025-11-21 23:53:19.426074,0 days 00:00:06.657042,[1024],[],[],tanh,1024,48,0.3,5e-05,minmax,1,increasing,mean,0.0001
11,0.21021021021021022,PRUNED,2025-11-21 23:53:19.427083,2025-11-21 23:53:39.064346,0 days 00:00:19.637263,[1024],[],[],relu,1024,16,0.0,0.0001,minmax,1,increasing,mean,0.0001
12,0.1761006289308176,PRUNED,2025-11-21 23:53:39.065369,2025-11-21 23:53:42.868435,0 days 00:00:03.803066,"[512, 512, 512, 512]",[1],[2],tanh,512,128,0.2,0.0005,minmax,4,uniform,mean,1e-05
13,0.4377459198071236,COMPLETE,2025-11-21 23:53:42.869441,2025-11-21 23:54:27.577124,0 days 00:00:44.707683,"[896, 896, 896, 896]",[1],[3],gelu,896,16,0.5,5e-05,minmax,4,uniform,mean,0.0001
14,0.21637426900584797,PRUNED,2025-11-21 23:54:27.579741,2025-11-21 23:54:48.679296,0 days 00:00:21.099555,"[448, 896]",[],[],gelu,896,16,0.5,5e-05,minmax,2,increasing,max,0.0001
