embedding,best_f1_cv,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
baseline_CASIAB.csv,0.4861,"[896, 896]",[],[],gelu,896,16,0.3,0.0001,L2,2,uniform,mean,0.0001
baseline_OUMVLP.csv,0.478,"[512, 256, 128]",[1],[1],silu,512,64,0.2,5e-05,minmax,3,decreasing,mean,1e-06
gaitgl.csv,0.4405,"[256, 256, 256, 256]",[2],[2],relu,256,128,0.5,0.0005,L2,4,uniform,mean,1e-05
gaitgl_GREW.csv,0.4312,"[768, 768, 768, 768]",[2],[2],relu,768,128,0.4,0.0005,L2,4,uniform,max,0.0001
gaitgl_GREW_BNNeck.csv,0.4602,"[256, 256, 256]",[1],[],gelu,256,96,0.2,0.0001,L2,3,uniform,max,0.0
gaitgl_OUMVLP.csv,0.4474,"[896, 896, 896, 896]",[2],[2],leakyrelu,896,16,0.2,2e-05,L2,4,uniform,mean,0.0
gaitpart_GREW.csv,0.4869,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
gaitpart_OUMVLP.csv,0.492,"[64, 64, 128, 256]",[2],[2],gelu,256,96,0.4,0.001,minmax,4,increasing,mean,0.0
gaitset.csv,0.4532,"[384, 384, 384, 384, 384]",[4],[3],elu,384,32,0.3,0.0002,minmax,5,uniform,mean,0.0
gaitset_GREW.csv,0.4454,"[512, 512]",[],[],elu,512,32,0.0,0.0002,minmax,2,uniform,max,0.0001
gaitset_OUMVLP.csv,0.476,"[256, 256, 256]",[1],[1],leakyrelu,256,64,0.4,0.0002,minmax,3,uniform,mean,0.0
gln_phase1.csv,0.5141,"[768, 768, 768, 768]",[2],[3],silu,768,96,0.4,2e-05,minmax,4,uniform,mean,1e-05
gln_phase2.csv,0.4957,"[1024, 1024, 1024, 1024, 1024]",[3],[4],elu,1024,64,0.1,5e-05,L2,5,uniform,max,1e-05
