number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_dropout_layer_5,params_dropout_rate,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_layer_5,params_num_layers,params_optimizer,params_pca_frac,params_pooling,params_use_pca,params_wd,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.4407,2025-10-23 16:57:33.030314,2025-10-23 16:58:02.034579,0 days 00:00:29.004265,silu,1280,64,True,False,False,True,,0.2,0.001,,minmax,True,True,False,False,,4,RMSprop,,max,False,1e-05,0.21637426900584797,,,,COMPLETE
1,0.4024,2025-10-23 16:58:02.041745,2025-10-23 16:58:21.567301,0 days 00:00:19.525556,silu,896,96,True,False,,,,0.3,2e-05,,L2,False,True,,,,2,AdamW,,max,False,1e-05,0.38091503267973853,,,,COMPLETE
2,0.4266,2025-10-23 16:58:21.571843,2025-10-23 16:58:37.275746,0 days 00:00:15.703903,tanh,1280,96,False,False,,,,0.0,1e-05,,minmax,False,False,,,,2,RMSprop,0.9,max,True,0.0001,0.3975155279503106,0.2738095238095238,0.3284072249589491,,COMPLETE
3,0.4514,2025-10-23 16:58:37.275746,2025-10-23 16:58:59.306147,0 days 00:00:22.030401,relu,896,128,False,True,False,True,False,0.2,2e-05,,L2,False,False,True,True,True,5,AdamW,0.95,max,True,0.0001,0.5129490392648287,,,,COMPLETE
4,0.1761,2025-10-23 16:58:59.307090,2025-10-23 16:59:04.092523,0 days 00:00:04.785433,elu,1024,64,True,False,False,,,0.5,0.0002,,L2,False,False,True,,,3,Adam,0.9,max,True,0.0,0.1761006289308176,,,,PRUNED
5,0.4425,2025-10-23 16:59:04.093527,2025-10-23 16:59:45.025799,0 days 00:00:40.932272,silu,640,32,True,False,True,False,,0.4,0.001,,minmax,False,False,False,False,,4,Adam,,max,False,0.0,0.3791308537456229,0.21839080459770113,0.1761006289308176,0.21637426900584797,COMPLETE
6,0.2184,2025-10-23 16:59:45.030808,2025-10-23 16:59:48.398131,0 days 00:00:03.367323,silu,1280,96,True,False,False,True,False,0.4,0.001,,minmax,False,False,False,False,True,5,RMSprop,,mean,False,0.0,0.21839080459770113,,,,PRUNED
7,0.2184,2025-10-23 16:59:48.398131,2025-10-23 16:59:56.682265,0 days 00:00:08.284134,leakyrelu,1024,32,False,True,True,False,,0.2,2e-05,,L2,True,False,True,False,,4,Adam,0.9,max,True,1e-06,0.21839080459770113,,,,PRUNED
8,0.2184,2025-10-23 16:59:56.682265,2025-10-23 16:59:58.827491,0 days 00:00:02.145226,leakyrelu,1024,128,False,True,False,,,0.0,0.001,0.0,minmax,False,False,False,,,3,SGD,,mean,False,1e-05,0.21839080459770113,,,,PRUNED
9,0.4689,2025-10-23 16:59:58.828495,2025-10-23 17:00:18.574200,0 days 00:00:19.745705,tanh,768,64,False,False,,,,0.4,2e-05,,L2,True,False,,,,2,AdamW,,mean,False,1e-05,0.39543889845094665,0.4357226887347369,0.21839080459770113,0.24607487922705315,COMPLETE
10,0.2184,2025-10-23 17:00:18.577212,2025-10-23 17:00:22.144332,0 days 00:00:03.567120,tanh,768,80,False,,,,,0.6,5e-05,,L2,True,,,,,1,AdamW,,mean,False,1e-06,0.40998838559814166,0.21839080459770113,,,PRUNED
11,0.4481,2025-10-23 17:00:22.144332,2025-10-23 17:00:47.362238,0 days 00:00:25.217906,relu,768,128,False,True,False,True,False,0.2,2e-05,,L2,True,False,True,True,False,5,AdamW,0.95,mean,True,0.0001,0.46907127130250864,0.32358156028368795,,,COMPLETE
12,0.3233,2025-10-23 17:00:47.365138,2025-10-23 17:00:52.627545,0 days 00:00:05.262407,relu,896,128,False,,,,,0.4,0.0005,,L2,True,,,,,1,AdamW,0.95,mean,True,0.0001,0.3233392122281011,,,,PRUNED
13,0.2164,2025-10-23 17:00:52.629455,2025-10-23 17:01:11.796855,0 days 00:00:19.167400,gelu,512,64,False,True,,,,0.3,0.0001,,L2,True,True,,,,2,AdamW,0.7,mean,True,1e-05,0.4426237161531279,0.21839080459770113,0.26666666666666666,0.21637426900584797,PRUNED
14,0.1761,2025-10-23 17:01:11.797871,2025-10-23 17:01:14.304275,0 days 00:00:02.506404,tanh,896,80,False,True,,,,0.5,2e-05,0.8,L2,False,False,,,,2,SGD,,max,False,0.0001,0.1761006289308176,,,,PRUNED
15,0.2184,2025-10-23 17:01:14.306393,2025-10-23 17:01:17.519948,0 days 00:00:03.213555,relu,768,128,False,True,True,True,True,0.6,2e-05,,L2,True,False,True,True,True,5,AdamW,0.8,mean,True,0.0001,0.21839080459770113,,,,PRUNED
16,0.3538,2025-10-23 17:01:17.519948,2025-10-23 17:01:21.243228,0 days 00:00:03.723280,gelu,512,64,False,False,False,,,0.4,0.0005,,L2,True,True,True,,,3,AdamW,0.95,max,True,1e-05,0.3538324420677362,,,,PRUNED
17,0.1761,2025-10-23 17:01:21.244258,2025-10-23 17:01:27.643695,0 days 00:00:06.399437,relu,640,64,False,True,True,True,,0.2,0.0002,,L2,False,False,True,True,,4,AdamW,,mean,False,1e-06,0.39947089947089953,0.1761006289308176,,,PRUNED
18,0.4114,2025-10-23 17:01:27.644695,2025-10-23 17:01:35.562671,0 days 00:00:07.917976,elu,896,128,False,False,False,,,0.4,5e-05,0.9,L2,True,False,True,,,3,SGD,0.8,mean,True,0.0001,0.41137123745819393,,,,PRUNED
19,0.0889,2025-10-23 17:01:35.564039,2025-10-23 17:01:40.344613,0 days 00:00:04.780574,tanh,768,32,False,,,,,0.2,1e-05,,L2,False,,,,,1,AdamW,,max,False,1e-05,0.08888888888888889,,,,PRUNED
20,0.1949,2025-10-23 17:01:40.345616,2025-10-23 17:01:44.442297,0 days 00:00:04.096681,relu,896,80,False,True,,,,0.6,0.0001,,L2,False,False,,,,2,AdamW,,mean,False,0.0001,0.19487179487179487,,,,PRUNED
21,0.306,2025-10-23 17:01:44.443303,2025-10-23 17:02:00.482220,0 days 00:00:16.038917,relu,768,128,False,True,False,True,False,0.2,2e-05,,L2,True,False,True,True,False,5,AdamW,0.95,mean,True,0.0001,0.305982905982906,,,,PRUNED
22,0.0889,2025-10-23 17:02:00.484075,2025-10-23 17:02:08.997851,0 days 00:00:08.513776,relu,768,128,False,True,False,True,False,0.2,2e-05,,L2,True,False,True,True,False,5,AdamW,0.95,mean,True,0.0001,0.3078040332942294,0.08888888888888889,,,PRUNED
23,0.2164,2025-10-23 17:02:08.998852,2025-10-23 17:02:27.547513,0 days 00:00:18.548661,relu,768,128,False,True,False,True,False,0.2,2e-05,,L2,True,False,True,True,True,5,AdamW,0.95,mean,True,0.0001,0.5150954695976889,0.21637426900584797,,,PRUNED
24,0.2105,2025-10-23 17:02:27.549513,2025-10-23 17:02:36.297571,0 days 00:00:08.748058,tanh,768,128,False,True,False,False,,0.2,2e-05,,L2,True,False,True,True,,4,AdamW,0.7,mean,True,0.0001,0.3804143126177024,0.21839080459770113,0.21052631578947367,,PRUNED
25,0.2303,2025-10-23 17:02:36.298571,2025-10-23 17:03:05.527253,0 days 00:00:29.228682,relu,768,64,False,True,False,True,False,0.5,2e-05,,L2,True,True,True,True,False,5,AdamW,0.95,mean,True,1e-05,0.4734288029310223,0.23030303030303031,,,PRUNED
26,0.2304,2025-10-23 17:03:05.530407,2025-10-23 17:03:13.404012,0 days 00:00:07.873605,leakyrelu,640,128,True,False,False,True,,0.0,2e-05,,minmax,True,False,True,True,,4,RMSprop,0.95,max,True,0.0,0.23041223041223038,,,,PRUNED
27,0.0889,2025-10-23 17:03:13.410950,2025-10-23 17:03:20.241870,0 days 00:00:06.830920,elu,512,128,False,True,True,False,True,0.3,2e-05,0.95,L2,True,False,False,True,False,5,SGD,0.95,mean,True,1e-06,0.08888888888888889,,,,PRUNED
28,0.1761,2025-10-23 17:03:20.242871,2025-10-23 17:03:25.123967,0 days 00:00:04.881096,gelu,896,64,False,True,False,True,,0.4,1e-05,,L2,False,False,True,True,,4,Adam,,max,False,0.0001,0.1761006289308176,,,,PRUNED
29,0.1761,2025-10-23 17:03:25.123967,2025-10-23 17:03:34.156953,0 days 00:00:09.032986,tanh,1280,64,True,False,False,,,0.2,0.0001,,minmax,True,True,True,,,3,RMSprop,,max,False,1e-05,0.21839080459770113,0.1761006289308176,,,PRUNED
