number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_dropout_layer_5,params_dropout_rate,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_layer_5,params_num_layers,params_optimizer,params_pca_frac,params_pooling,params_use_pca,params_wd,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.2314,2025-10-23 17:03:38.227062,2025-10-23 17:03:59.902330,0 days 00:00:21.675268,relu,896,80,False,False,False,False,False,0.5,1e-05,0.8,minmax,True,False,True,False,True,5,SGD,0.95,mean,True,0.0,0.23389475687505948,0.3019473081328751,0.15584415584415584,0.1984126984126984,COMPLETE
1,0.2184,2025-10-23 17:03:59.905109,2025-10-23 17:04:02.665732,0 days 00:00:02.760623,elu,512,64,True,,,,,0.3,1e-05,0.95,L2,True,,,,,1,SGD,,max,False,1e-06,0.21839080459770113,,,,PRUNED
2,0.2184,2025-10-23 17:04:02.666734,2025-10-23 17:04:06.430320,0 days 00:00:03.763586,silu,1280,64,True,False,True,False,False,0.6,0.001,0.0,L2,True,True,True,True,False,5,SGD,,mean,False,1e-06,0.21839080459770113,,,,PRUNED
3,0.3909,2025-10-23 17:04:06.431323,2025-10-23 17:04:20.566245,0 days 00:00:14.134922,relu,768,80,True,,,,,0.4,0.001,,minmax,True,,,,,1,Adam,0.95,mean,True,0.0,0.28213984189116587,0.3455402968511583,0.23286143286143288,,COMPLETE
4,0.2184,2025-10-23 17:04:20.573228,2025-10-23 17:04:24.372151,0 days 00:00:03.798923,gelu,1280,80,True,True,True,True,,0.5,0.001,0.9,L2,True,False,False,True,,4,SGD,,mean,False,0.0001,0.21839080459770113,0.21839080459770113,,,PRUNED
5,0.4326,2025-10-23 17:04:24.372151,2025-10-23 17:04:50.609350,0 days 00:00:26.237199,silu,512,80,False,True,True,False,,0.2,0.0002,,L2,True,True,False,True,,4,RMSprop,,max,False,0.0,0.35380867733227994,0.41528520499108734,0.38247863247863245,0.21637426900584797,COMPLETE
6,0.3055,2025-10-23 17:04:50.613290,2025-10-23 17:04:58.794694,0 days 00:00:08.181404,gelu,768,64,False,True,True,True,,0.2,0.0005,,minmax,True,False,False,False,,4,RMSprop,0.95,mean,True,0.0001,0.4854533594259622,0.3148148148148148,0.30547634715215327,,PRUNED
7,0.2184,2025-10-23 17:04:58.795694,2025-10-23 17:05:03.546182,0 days 00:00:04.750488,elu,1024,128,False,True,False,False,,0.4,2e-05,,L2,True,True,False,False,,4,RMSprop,,mean,False,0.0,0.40621218233158524,0.21839080459770113,,,PRUNED
8,0.2241,2025-10-23 17:05:03.546182,2025-10-23 17:05:19.032979,0 days 00:00:15.486797,leakyrelu,512,64,False,,,,,0.4,0.0001,,L2,False,,,,,1,Adam,0.7,mean,True,0.0,0.17777777777777778,,,,COMPLETE
9,0.2184,2025-10-23 17:05:19.039876,2025-10-23 17:05:22.420676,0 days 00:00:03.380800,silu,640,128,True,True,,,,0.5,0.0001,,minmax,False,True,,,,2,AdamW,,max,False,0.0,0.21839080459770113,,,,PRUNED
10,0.2184,2025-10-23 17:05:22.421679,2025-10-23 17:05:30.764645,0 days 00:00:08.342966,tanh,512,32,False,True,True,,,0.2,0.0002,,L2,False,True,False,,,3,RMSprop,,max,False,1e-05,0.21839080459770113,,,,PRUNED
11,0.2365,2025-10-23 17:05:30.765651,2025-10-23 17:05:38.125965,0 days 00:00:07.360314,relu,768,80,True,False,,,,0.0,5e-05,,minmax,True,True,,,,2,Adam,0.9,max,True,0.0,0.3509631747328296,0.3356884759323784,0.23648275317704634,,PRUNED
12,0.328,2025-10-23 17:05:38.128997,2025-10-23 17:05:41.278857,0 days 00:00:03.149860,relu,768,96,True,True,True,,,0.4,0.0002,,minmax,True,True,False,,,3,Adam,0.8,max,True,1e-05,0.32803391626921036,,,,PRUNED
13,0.3082,2025-10-23 17:05:41.278857,2025-10-23 17:05:47.869329,0 days 00:00:06.590472,silu,1024,80,False,False,,,,0.2,0.0002,,minmax,True,False,,,,2,AdamW,0.95,max,True,0.0,0.2716049382716049,0.30815862591563525,,,PRUNED
14,0.4074,2025-10-23 17:05:47.870086,2025-10-23 17:06:08.643784,0 days 00:00:20.773698,leakyrelu,640,80,True,True,False,False,,0.0,0.001,,L2,False,True,True,True,,4,Adam,,mean,False,0.0,0.21637426900584797,,,,COMPLETE
15,0.2184,2025-10-23 17:06:08.650961,2025-10-23 17:06:18.937076,0 days 00:00:10.286115,leakyrelu,640,32,False,True,False,False,,0.0,2e-05,,L2,False,True,True,True,,4,RMSprop,,max,False,0.0,0.3960011167665314,0.21839080459770113,,,PRUNED
16,0.1761,2025-10-23 17:06:18.937076,2025-10-23 17:06:29.357905,0 days 00:00:10.420829,leakyrelu,640,96,False,True,False,False,True,0.0,0.0005,,L2,False,True,True,True,True,5,RMSprop,,mean,False,1e-06,0.38801932367149755,0.40845265845265843,0.1761006289308176,,PRUNED
17,0.4665,2025-10-23 17:06:29.358907,2025-10-23 17:06:49.469421,0 days 00:00:20.110514,tanh,896,80,True,True,False,,,0.3,5e-05,,L2,False,True,True,,,3,Adam,,max,False,1e-05,0.21839080459770113,0.21637426900584797,,,COMPLETE
18,0.2184,2025-10-23 17:06:49.469421,2025-10-23 17:06:53.219335,0 days 00:00:03.749914,tanh,896,80,False,True,False,,,0.3,5e-05,,L2,False,True,True,,,3,AdamW,,max,False,1e-05,0.4539396968182576,0.21839080459770113,,,PRUNED
19,0.2184,2025-10-23 17:06:53.220371,2025-10-23 17:06:57.747816,0 days 00:00:04.527445,tanh,896,80,True,True,True,,,0.3,5e-05,,L2,False,True,False,,,3,Adam,,max,False,1e-05,0.4096010466417616,0.21839080459770113,,,PRUNED
20,0.2184,2025-10-23 17:06:57.748863,2025-10-23 17:07:00.126118,0 days 00:00:02.377255,tanh,896,128,False,True,True,,,0.6,0.0002,,L2,False,True,False,,,3,RMSprop,,max,False,1e-05,0.21839080459770113,,,,PRUNED
21,0.2184,2025-10-23 17:07:00.129395,2025-10-23 17:07:04.971594,0 days 00:00:04.842199,leakyrelu,512,80,True,True,False,False,,0.2,0.001,,L2,False,True,True,True,,4,Adam,,max,False,0.0001,0.4060544217687075,0.21839080459770113,,,PRUNED
22,0.4382,2025-10-23 17:07:04.972635,2025-10-23 17:07:26.391445,0 days 00:00:21.418810,silu,640,80,True,True,False,False,,0.0,5e-05,,L2,False,True,True,True,,4,Adam,,max,False,1e-05,0.21839080459770113,0.21637426900584797,,,COMPLETE
23,0.2184,2025-10-23 17:07:26.395612,2025-10-23 17:07:31.207674,0 days 00:00:04.812062,silu,512,80,True,True,False,True,True,0.3,5e-05,,L2,False,True,True,True,False,5,Adam,,max,False,1e-05,0.21839080459770113,,,,PRUNED
24,0.4447,2025-10-23 17:07:31.211168,2025-10-23 17:07:52.729673,0 days 00:00:21.518505,silu,896,80,True,True,False,,,0.2,5e-05,,L2,False,True,True,,,3,Adam,,max,False,1e-05,0.21839080459770113,0.21637426900584797,,,COMPLETE
25,0.2184,2025-10-23 17:07:52.733691,2025-10-23 17:07:57.658830,0 days 00:00:04.925139,silu,896,32,True,False,,,,0.3,5e-05,,L2,False,False,,,,2,Adam,,max,False,1e-05,0.21839080459770113,,,,PRUNED
26,0.2184,2025-10-23 17:07:57.659481,2025-10-23 17:08:05.334732,0 days 00:00:07.675251,silu,896,96,True,True,False,,,0.0,5e-05,,L2,False,True,True,,,3,Adam,,max,False,1e-05,0.37694643664792915,0.21839080459770113,0.21839080459770113,,PRUNED
27,0.308,2025-10-23 17:08:05.335739,2025-10-23 17:08:32.066737,0 days 00:00:26.730998,tanh,896,80,True,True,False,,,0.6,5e-05,,L2,False,True,True,,,3,Adam,,max,False,1e-05,0.21839080459770113,0.21637426900584797,,,COMPLETE
28,0.2184,2025-10-23 17:08:32.073559,2025-10-23 17:08:39.539838,0 days 00:00:07.466279,silu,640,80,True,True,,,,0.0,5e-05,,L2,False,True,,,,2,Adam,,max,False,1e-05,0.5059523809523809,0.21839080459770113,0.21839080459770113,,PRUNED
29,0.2184,2025-10-23 17:08:39.539838,2025-10-23 17:08:42.693026,0 days 00:00:03.153188,gelu,896,80,True,False,False,,,0.5,1e-05,,L2,False,False,True,,,3,Adam,,max,False,1e-05,0.21839080459770113,,,,PRUNED
