number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_dropout_layer_5,params_dropout_rate,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_layer_5,params_num_layers,params_optimizer,params_pca_frac,params_pooling,params_use_pca,params_wd,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.2176,2025-10-23 17:08:43.707905,2025-10-23 17:09:07.802069,0 days 00:00:24.094164,relu,1024,64,True,False,False,False,False,0.2,1e-05,,L2,True,False,False,False,False,5,RMSprop,0.8,mean,True,0.0,0.21839080459770113,0.1761006289308176,0.1761006289308176,0.17777777777777778,COMPLETE
1,0.2176,2025-10-23 17:09:07.806111,2025-10-23 17:09:24.261989,0 days 00:00:16.455878,silu,640,128,True,False,True,True,,0.4,0.0005,0.0,L2,True,True,True,True,,4,SGD,0.8,mean,True,0.0,0.1761006289308176,0.21238938053097345,,,COMPLETE
2,0.457,2025-10-23 17:09:24.265167,2025-10-23 17:09:44.340528,0 days 00:00:20.075361,elu,512,64,False,False,,,,0.4,0.001,,L2,False,False,,,,2,RMSprop,,mean,False,1e-06,0.3933209647495362,0.1761006289308176,0.26944444444444443,0.24650720503255066,COMPLETE
3,0.2164,2025-10-23 17:09:44.347430,2025-10-23 17:09:58.036784,0 days 00:00:13.689354,gelu,1024,64,False,False,,,,0.3,0.001,,minmax,False,False,,,,2,Adam,,max,False,1e-05,0.47663817663817665,0.21839080459770113,0.3081422399468262,0.21637426900584797,PRUNED
4,0.2184,2025-10-23 17:09:58.038801,2025-10-23 17:10:00.835780,0 days 00:00:02.796979,elu,1280,96,True,True,True,,,0.6,5e-05,,L2,True,False,True,,,3,RMSprop,,max,False,0.0001,0.21839080459770113,,,,PRUNED
5,0.4143,2025-10-23 17:10:00.836920,2025-10-23 17:10:34.041925,0 days 00:00:33.205005,tanh,1024,32,False,False,True,,,0.5,0.0002,,minmax,True,False,False,,,3,RMSprop,,mean,False,0.0,0.1761006289308176,0.1761006289308176,0.21637426900584797,,COMPLETE
6,0.3825,2025-10-23 17:10:34.041925,2025-10-23 17:10:35.776783,0 days 00:00:01.734858,tanh,1280,128,False,,,,,0.3,0.0005,,minmax,False,,,,,1,AdamW,,mean,False,0.0,0.38253788593347166,,,,PRUNED
7,0.4554,2025-10-23 17:10:35.777783,2025-10-23 17:10:56.412215,0 days 00:00:20.634432,elu,1280,80,True,False,False,,,0.5,0.001,,L2,True,True,True,,,3,Adam,0.8,mean,True,0.0,0.21839080459770113,0.21637426900584797,,,COMPLETE
8,0.2184,2025-10-23 17:10:56.415880,2025-10-23 17:10:59.010867,0 days 00:00:02.594987,gelu,896,80,True,False,False,True,True,0.0,0.0001,,L2,False,False,True,False,False,5,RMSprop,,max,False,0.0001,0.21839080459770113,,,,PRUNED
9,0.0889,2025-10-23 17:10:59.017458,2025-10-23 17:11:08.685430,0 days 00:00:09.667972,relu,640,32,True,False,,,,0.6,5e-05,0.8,L2,False,False,,,,2,SGD,0.95,mean,True,0.0,0.08888888888888889,,,,PRUNED
10,0.2453,2025-10-23 17:11:08.686665,2025-10-23 17:11:11.113797,0 days 00:00:02.427132,leakyrelu,512,64,False,,,,,0.4,2e-05,,minmax,False,,,,,1,AdamW,,max,False,1e-06,0.24527629233511586,,,,PRUNED
11,0.4361,2025-10-23 17:11:11.113797,2025-10-23 17:11:26.430225,0 days 00:00:15.316428,elu,768,80,False,True,,,,0.5,0.001,,L2,True,True,,,,2,Adam,0.9,mean,True,1e-06,0.17777777777777778,,,,COMPLETE
12,0.1778,2025-10-23 17:11:26.433112,2025-10-23 17:11:43.170246,0 days 00:00:16.737134,elu,512,80,True,False,False,False,,0.5,0.001,,L2,True,True,True,True,,4,Adam,0.7,mean,True,1e-06,0.22440622440622437,0.21839080459770113,0.17777777777777778,,PRUNED
13,0.1778,2025-10-23 17:11:43.172247,2025-10-23 17:12:01.431416,0 days 00:00:18.259169,elu,512,96,False,True,False,,,0.4,0.001,,L2,False,True,True,,,3,Adam,0.8,mean,True,1e-05,0.21839080459770113,0.17777777777777778,,,PRUNED
14,0.2184,2025-10-23 17:12:01.433418,2025-10-23 17:12:05.565607,0 days 00:00:04.132189,elu,1280,80,True,False,,,,0.2,0.001,,L2,False,True,,,,2,RMSprop,,mean,False,1e-06,0.21839080459770113,,,,PRUNED
15,0.4357,2025-10-23 17:12:05.566610,2025-10-23 17:12:29.814886,0 days 00:00:24.248276,leakyrelu,896,64,False,False,False,False,,0.0,1e-05,,L2,True,True,False,False,,4,Adam,0.7,mean,True,1e-06,0.17777777777777778,,,,COMPLETE
16,0.2184,2025-10-23 17:12:29.817948,2025-10-23 17:12:31.723014,0 days 00:00:01.905066,silu,768,80,False,,,,,0.5,0.0002,0.95,L2,False,,,,,1,SGD,0.9,mean,True,0.0001,0.21839080459770113,,,,PRUNED
17,0.4345,2025-10-23 17:12:31.724029,2025-10-23 17:12:51.921362,0 days 00:00:20.197333,elu,1280,64,True,True,,,,0.4,2e-05,,L2,True,False,,,,2,AdamW,,mean,False,1e-05,0.21839080459770113,0.21637426900584797,,,COMPLETE
18,0.4498,2025-10-23 17:12:51.924685,2025-10-23 17:13:08.918523,0 days 00:00:16.993838,elu,512,96,False,False,False,,,0.4,0.0001,,minmax,False,True,True,,,3,RMSprop,0.95,max,True,0.0,0.3281053537158361,,,,COMPLETE
19,0.4686,2025-10-23 17:13:08.921618,2025-10-23 17:13:52.451713,0 days 00:00:43.530095,elu,1280,32,True,False,True,,,0.5,0.001,,L2,True,True,False,,,3,Adam,,mean,False,1e-06,0.21637426900584797,,,,COMPLETE
20,0.4858,2025-10-23 17:13:52.452907,2025-10-23 17:14:38.659555,0 days 00:00:46.206648,silu,512,32,False,False,True,True,,0.0,0.001,,L2,True,False,False,True,,4,Adam,,mean,False,1e-06,0.21839080459770113,0.21637426900584797,,,COMPLETE
21,0.4872,2025-10-23 17:14:38.666664,2025-10-23 17:15:19.088661,0 days 00:00:40.421997,silu,512,32,False,False,True,True,,0.0,0.001,,L2,True,False,False,True,,4,Adam,,mean,False,1e-06,0.21839080459770113,0.21839080459770113,0.21637426900584797,,COMPLETE
22,0.4578,2025-10-23 17:15:19.091824,2025-10-23 17:16:02.567144,0 days 00:00:43.475320,silu,512,32,False,False,True,True,,0.0,0.001,,L2,True,False,False,True,,4,Adam,,mean,False,1e-06,0.36443064182194623,0.21839080459770113,0.45852278679937136,0.21637426900584797,COMPLETE
23,0.472,2025-10-23 17:16:02.574936,2025-10-23 17:16:50.436607,0 days 00:00:47.861671,silu,512,32,False,False,True,True,False,0.0,0.001,,L2,True,False,False,True,True,5,Adam,,mean,False,1e-06,0.21839080459770113,0.21637426900584797,,,COMPLETE
24,0.1761,2025-10-23 17:16:50.439636,2025-10-23 17:16:59.128202,0 days 00:00:08.688566,silu,512,32,False,False,True,True,False,0.0,0.001,,L2,True,False,False,True,True,5,Adam,,mean,False,1e-06,0.1761006289308176,,,,PRUNED
25,0.4576,2025-10-23 17:16:59.129202,2025-10-23 17:17:50.049364,0 days 00:00:50.920162,silu,512,32,False,True,True,True,False,0.0,0.001,,L2,True,False,False,True,True,5,Adam,,mean,False,1e-06,0.21839080459770113,0.21839080459770113,0.32401534727116127,,COMPLETE
26,0.4324,2025-10-23 17:17:50.052434,2025-10-23 17:18:24.989791,0 days 00:00:34.937357,silu,512,32,False,False,True,True,,0.0,0.0002,,minmax,True,False,False,True,,4,Adam,,max,False,1e-06,0.21637426900584797,,,,COMPLETE
27,0.4873,2025-10-23 17:18:24.991976,2025-10-23 17:19:14.760744,0 days 00:00:49.768768,silu,512,32,False,False,True,True,True,0.0,2e-05,,L2,True,False,False,True,True,5,Adam,,mean,False,1e-06,0.21839080459770113,0.21839080459770113,0.21637426900584797,,COMPLETE
28,0.463,2025-10-23 17:19:14.767132,2025-10-23 17:19:53.510865,0 days 00:00:38.743733,silu,512,32,False,False,True,True,,0.0,2e-05,,L2,True,False,False,True,,4,Adam,,mean,False,1e-06,0.21839080459770113,0.21637426900584797,,,COMPLETE
29,0.1761,2025-10-23 17:19:53.512109,2025-10-23 17:20:05.420020,0 days 00:00:11.907911,relu,640,32,False,True,True,True,True,0.2,1e-05,,L2,True,False,False,True,True,5,Adam,,mean,False,1e-06,0.1761006289308176,,,,PRUNED
