number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_dropout_layer_5,params_dropout_rate,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_layer_5,params_num_layers,params_optimizer,params_pca_frac,params_pooling,params_use_pca,params_wd,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.3666,2025-10-23 17:27:40.501511,2025-10-23 17:28:03.785221,0 days 00:00:23.283710,silu,512,80,False,False,False,True,True,0.4,0.0001,0.9,minmax,False,True,True,True,True,5,SGD,0.7,max,True,1e-06,0.30305916305916303,,,,COMPLETE
1,0.2536,2025-10-23 17:28:03.794273,2025-10-23 17:28:30.589316,0 days 00:00:26.795043,relu,768,64,False,True,True,False,,0.4,0.001,0.0,L2,True,True,True,False,,4,SGD,0.9,mean,True,1e-05,0.2802266397772016,0.21839080459770113,0.2243870783938209,,COMPLETE
2,0.4712,2025-10-23 17:28:30.592357,2025-10-23 17:28:47.438420,0 days 00:00:16.846063,gelu,1280,96,False,False,True,,,0.3,0.0001,,minmax,False,False,True,,,3,AdamW,0.8,max,True,1e-06,0.3311036789297659,0.3395663956639566,,,COMPLETE
3,0.472,2025-10-23 17:28:47.441433,2025-10-23 17:29:07.573918,0 days 00:00:20.132485,silu,1024,96,True,True,True,True,,0.5,0.0001,,minmax,True,True,True,True,,4,AdamW,0.95,max,True,1e-06,0.41326899443360077,0.27042748059310023,0.36512820512820515,0.2976127320954907,COMPLETE
4,0.2184,2025-10-23 17:29:07.576932,2025-10-23 17:29:10.975336,0 days 00:00:03.398404,relu,896,80,False,False,False,False,,0.3,0.0001,,minmax,True,True,False,False,,4,AdamW,0.7,mean,True,0.0,0.4864646464646465,0.21839080459770113,,,PRUNED
5,0.0899,2025-10-23 17:29:10.976340,2025-10-23 17:29:15.461821,0 days 00:00:04.485481,silu,512,64,False,True,False,True,,0.3,2e-05,0.9,minmax,True,False,False,True,,4,SGD,,mean,False,1e-06,0.0898876404494382,,,,PRUNED
6,0.2971,2025-10-23 17:29:15.461821,2025-10-23 17:29:19.095644,0 days 00:00:03.633823,tanh,768,32,True,,,,,0.2,1e-05,,minmax,True,,,,,1,AdamW,,max,False,0.0001,0.29714285714285715,,,,PRUNED
7,0.3735,2025-10-23 17:29:19.096890,2025-10-23 17:29:37.013943,0 days 00:00:17.917053,tanh,1280,64,True,True,True,,,0.6,0.0002,0.9,minmax,False,False,True,,,3,SGD,0.7,max,True,1e-05,0.30895601483836777,0.3295154003684151,0.2677322677322677,,COMPLETE
8,0.4606,2025-10-23 17:29:37.013943,2025-10-23 17:30:03.658405,0 days 00:00:26.644462,gelu,640,32,True,,,,,0.4,0.001,,minmax,False,,,,,1,RMSprop,0.7,mean,True,1e-06,0.4433531275636538,0.36720372359470105,0.43278247753951077,0.3763125763125763,COMPLETE
9,0.2184,2025-10-23 17:30:03.661421,2025-10-23 17:30:22.070559,0 days 00:00:18.409138,gelu,1280,32,False,True,False,True,,0.6,0.0005,,minmax,True,True,False,True,,4,Adam,,max,False,0.0,0.21839080459770113,,,,PRUNED
10,0.3375,2025-10-23 17:30:22.071562,2025-10-23 17:30:24.531792,0 days 00:00:02.460230,elu,1024,96,True,True,,,,0.5,5e-05,,L2,True,True,,,,2,Adam,,max,False,0.0001,0.33749999999999997,,,,PRUNED
11,0.2184,2025-10-23 17:30:24.532794,2025-10-23 17:30:31.035412,0 days 00:00:06.502618,leakyrelu,1024,96,True,False,True,,,0.0,0.0001,,L2,False,False,True,,,3,AdamW,0.95,max,True,1e-06,0.21839080459770113,,,,PRUNED
12,0.1887,2025-10-23 17:30:31.035412,2025-10-23 17:30:45.744573,0 days 00:00:14.709161,silu,1024,128,False,False,True,True,False,0.5,0.0001,,minmax,False,False,True,True,False,5,AdamW,0.8,max,True,1e-06,0.37998374472538604,0.18867924528301885,,,PRUNED
