number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.3871,2025-07-07 18:49:57.032809,2025-07-07 18:50:15.294589,0 days 00:00:18.261780,tanh,128,64,3,1,0.3,0.0001,3,minmax,0.85,max,0.0001,COMPLETE
1,0.3629,2025-07-07 18:50:15.299568,2025-07-07 18:50:35.690428,0 days 00:00:20.390860,relu,128,32,0,1,0.4,0.0001,1,minmax,0.95,mean,0.0,COMPLETE
2,0.3566,2025-07-07 18:50:35.691426,2025-07-07 18:51:20.078493,0 days 00:00:44.387067,relu,128,16,1,1,0.1,0.001,1,minmax,0.9,max,0.0,COMPLETE
3,0.3849,2025-07-07 18:51:20.079493,2025-07-07 18:51:55.899782,0 days 00:00:35.820289,tanh,128,16,0,0,0.1,0.0001,1,minmax,0.95,max,0.0001,COMPLETE
4,0.3654,2025-07-07 18:51:55.900782,2025-07-07 18:52:04.515268,0 days 00:00:08.614486,selu,512,128,1,1,0.1,0.001,1,L2,0.9,max,1e-06,COMPLETE
5,0.3445,2025-07-07 18:52:04.515268,2025-07-07 18:52:20.114584,0 days 00:00:15.599316,elu,128,64,2,0,0.5,0.0001,2,minmax,0.85,mean,0.0001,COMPLETE
6,0.3525,2025-07-07 18:52:20.115583,2025-07-07 18:52:50.459096,0 days 00:00:30.343513,tanh,256,32,2,1,0.5,0.001,3,minmax,0.95,max,1e-06,COMPLETE
7,0.3706,2025-07-07 18:52:50.460096,2025-07-07 18:53:09.892422,0 days 00:00:19.432326,elu,256,32,0,0,0.4,0.001,1,L2,0.95,max,0.0001,COMPLETE
8,0.3541,2025-07-07 18:53:09.899068,2025-07-07 18:53:36.152937,0 days 00:00:26.253869,elu,512,32,2,1,0.3,0.0001,2,L2,0.8,mean,1e-05,COMPLETE
9,0.3449,2025-07-07 18:53:36.152937,2025-07-07 18:53:46.738476,0 days 00:00:10.585539,selu,128,128,2,3,0.5,1e-05,3,L2,0.75,max,0.0,COMPLETE
10,0.3342,2025-07-07 18:53:46.740148,2025-07-07 18:54:04.587604,0 days 00:00:17.847456,leakyrelu,512,64,3,3,0.3,1e-05,3,minmax,0.85,mean,1e-05,COMPLETE
11,0.3615,2025-07-07 18:54:04.587604,2025-07-07 18:54:47.392037,0 days 00:00:42.804433,tanh,128,16,0,0,0.2,0.0001,2,minmax,0.7,max,0.0001,COMPLETE
12,0.3605,2025-07-07 18:54:47.392037,2025-07-07 18:55:45.636420,0 days 00:00:58.244383,tanh,128,16,3,2,0.3,0.0001,3,minmax,0.85,max,0.0001,COMPLETE
13,0.3907,2025-07-07 18:55:45.636420,2025-07-07 18:56:01.492687,0 days 00:00:15.856267,gelu,128,64,1,0,0.1,0.0001,2,minmax,0.8,max,0.0001,COMPLETE
14,0.3945,2025-07-07 18:56:01.492687,2025-07-07 18:56:18.039962,0 days 00:00:16.547275,gelu,128,64,1,0,0.2,0.0001,2,minmax,0.8,max,0.0001,COMPLETE
15,0.3811,2025-07-07 18:56:18.039962,2025-07-07 18:56:33.590385,0 days 00:00:15.550423,gelu,256,64,1,0,0.2,0.0001,2,minmax,0.8,max,0.0001,COMPLETE
