number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.2883,2025-07-07 19:00:04.375685,2025-07-07 19:00:13.191681,0 days 00:00:08.815996,leakyrelu,512,128,0,1,0.4,0.0001,2,L2,0.7,max,1e-05,COMPLETE
1,0.2323,2025-07-07 19:00:13.192682,2025-07-07 19:00:41.196411,0 days 00:00:28.003729,relu,256,32,0,2,0.1,1e-05,3,minmax,0.85,max,0.0001,COMPLETE
2,0.2174,2025-07-07 19:00:41.197411,2025-07-07 19:01:28.460802,0 days 00:00:47.263391,gelu,256,16,0,2,0.2,1e-05,2,L2,0.85,mean,0.0,COMPLETE
3,0.2827,2025-07-07 19:01:28.461803,2025-07-07 19:02:18.730009,0 days 00:00:50.268206,relu,128,16,0,0,0.5,0.0001,3,L2,0.8,max,0.0,COMPLETE
4,0.3889,2025-07-07 19:02:18.731009,2025-07-07 19:02:29.854746,0 days 00:00:11.123737,tanh,512,128,1,2,0.5,0.001,3,L2,0.9,max,1e-06,COMPLETE
5,0.3668,2025-07-07 19:02:29.855746,2025-07-07 19:03:14.619688,0 days 00:00:44.763942,leakyrelu,512,16,1,0,0.2,0.001,1,minmax,0.95,max,0.0,COMPLETE
6,0.3797,2025-07-07 19:03:14.620688,2025-07-07 19:04:09.314714,0 days 00:00:54.694026,relu,256,16,1,2,0.1,1e-05,2,minmax,0.9,max,0.0001,COMPLETE
7,0.3684,2025-07-07 19:04:09.315714,2025-07-07 19:04:24.308810,0 days 00:00:14.993096,tanh,256,64,0,0,0.3,0.0001,2,minmax,0.95,max,0.0001,COMPLETE
8,0.3794,2025-07-07 19:04:24.309811,2025-07-07 19:04:35.098384,0 days 00:00:10.788573,elu,512,128,1,1,0.5,1e-05,2,L2,0.95,max,1e-06,COMPLETE
9,0.3938,2025-07-07 19:04:35.100384,2025-07-07 19:04:46.518363,0 days 00:00:11.417979,selu,512,128,2,3,0.2,1e-05,3,L2,0.75,mean,1e-05,COMPLETE
10,0.3912,2025-07-07 19:04:46.519363,2025-07-07 19:05:02.514106,0 days 00:00:15.994743,selu,128,64,1,0,0.2,1e-05,1,L2,0.75,mean,1e-05,COMPLETE
11,0.3358,2025-07-07 19:05:02.515107,2025-07-07 19:05:17.386523,0 days 00:00:14.871416,selu,128,64,1,0,0.2,1e-05,1,L2,0.75,mean,1e-05,COMPLETE
12,0.3739,2025-07-07 19:05:17.387522,2025-07-07 19:05:32.176844,0 days 00:00:14.789322,selu,128,64,1,0,0.2,1e-05,1,L2,0.75,mean,1e-05,COMPLETE
13,0.3849,2025-07-07 19:05:32.177844,2025-07-07 19:06:03.761975,0 days 00:00:31.584131,selu,128,32,3,3,0.2,1e-05,3,L2,0.75,mean,1e-05,COMPLETE
14,0.3602,2025-07-07 19:06:03.762975,2025-07-07 19:06:12.945568,0 days 00:00:09.182593,selu,128,128,1,0,0.4,1e-05,1,L2,0.75,mean,1e-05,COMPLETE
15,0.3509,2025-07-07 19:06:12.946569,2025-07-07 19:06:31.920041,0 days 00:00:18.973472,selu,512,64,3,3,0.3,0.001,3,L2,0.75,mean,1e-05,COMPLETE
16,0.3369,2025-07-07 19:06:31.921042,2025-07-07 19:06:46.216511,0 days 00:00:14.295469,elu,128,64,1,0,0.2,1e-05,1,L2,0.7,mean,1e-05,COMPLETE
17,0.3682,2025-07-07 19:06:46.216511,2025-07-07 19:06:56.145237,0 days 00:00:09.928726,gelu,512,128,2,1,0.2,1e-05,2,L2,0.8,mean,1e-05,COMPLETE
18,0.3833,2025-07-07 19:06:56.145237,2025-07-07 19:07:27.423888,0 days 00:00:31.278651,selu,128,32,2,3,0.2,0.001,3,minmax,0.75,mean,1e-06,COMPLETE
19,0.3282,2025-07-07 19:07:27.423888,2025-07-07 19:07:34.293290,0 days 00:00:06.869402,selu,512,128,0,0,0.3,0.0001,1,L2,0.75,mean,1e-05,COMPLETE
20,0.3515,2025-07-07 19:07:34.293290,2025-07-07 19:07:49.441942,0 days 00:00:15.148652,selu,128,64,2,1,0.4,1e-05,2,L2,0.75,mean,1e-05,COMPLETE
21,0.3924,2025-07-07 19:07:49.441942,2025-07-07 19:08:00.686585,0 days 00:00:11.244643,tanh,512,128,2,2,0.5,0.001,3,L2,0.9,max,1e-06,COMPLETE
22,0.4357,2025-07-07 19:08:00.693743,2025-07-07 19:08:11.220781,0 days 00:00:10.527038,tanh,512,128,2,3,0.5,0.001,3,L2,0.9,mean,1e-06,COMPLETE
23,0.3819,2025-07-07 19:08:11.221782,2025-07-07 19:08:22.031320,0 days 00:00:10.809538,tanh,512,128,2,3,0.5,0.001,3,L2,0.9,max,1e-06,COMPLETE
24,0.3993,2025-07-07 19:08:22.046947,2025-07-07 19:08:32.389480,0 days 00:00:10.342533,tanh,512,128,3,3,0.5,0.001,3,L2,0.9,mean,1e-06,COMPLETE
25,0.4325,2025-07-07 19:08:32.389480,2025-07-07 19:08:42.687648,0 days 00:00:10.298168,tanh,512,128,3,3,0.5,0.001,3,L2,0.9,mean,1e-06,COMPLETE
26,0.3896,2025-07-07 19:08:42.687648,2025-07-07 19:08:53.460127,0 days 00:00:10.772479,tanh,512,128,3,3,0.5,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
27,0.4186,2025-07-07 19:08:53.461520,2025-07-07 19:09:03.959011,0 days 00:00:10.497491,tanh,512,128,3,3,0.5,0.001,3,L2,0.9,mean,1e-06,COMPLETE
28,0.4315,2025-07-07 19:09:03.974638,2025-07-07 19:09:14.454719,0 days 00:00:10.480081,tanh,512,128,3,3,0.5,0.001,3,L2,0.9,mean,1e-06,COMPLETE
29,0.3557,2025-07-07 19:09:14.455719,2025-07-07 19:09:24.846925,0 days 00:00:10.391206,leakyrelu,512,128,3,2,0.5,0.001,3,L2,0.7,mean,1e-06,COMPLETE
