number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.32,2025-07-07 19:20:39.194564,2025-07-07 19:21:16.956404,0 days 00:00:37.761840,leakyrelu,128,16,0,1,0.1,0.001,1,minmax,0.7,max,0.0001,COMPLETE
1,0.3679,2025-07-07 19:21:16.958403,2025-07-07 19:21:30.951909,0 days 00:00:13.993506,elu,512,64,1,0,0.2,1e-05,1,minmax,0.9,mean,1e-06,COMPLETE
2,0.3944,2025-07-07 19:21:30.951909,2025-07-07 19:21:47.349500,0 days 00:00:16.397591,relu,128,64,0,1,0.5,0.001,3,L2,0.7,max,1e-06,COMPLETE
3,0.3369,2025-07-07 19:21:47.350742,2025-07-07 19:22:26.431576,0 days 00:00:39.080834,gelu,512,16,0,1,0.3,0.001,1,minmax,0.8,max,0.0,COMPLETE
4,0.3814,2025-07-07 19:22:26.431576,2025-07-07 19:22:49.136137,0 days 00:00:22.704561,gelu,512,32,1,0,0.1,0.0001,1,minmax,0.85,mean,0.0001,COMPLETE
5,0.2045,2025-07-07 19:22:49.136137,2025-07-07 19:23:20.578046,0 days 00:00:31.441909,gelu,128,32,3,2,0.3,1e-05,3,L2,0.7,mean,0.0001,COMPLETE
6,0.4071,2025-07-07 19:23:20.578046,2025-07-07 19:23:29.494238,0 days 00:00:08.916192,leakyrelu,256,128,1,0,0.4,0.0001,1,L2,0.85,mean,1e-05,COMPLETE
7,0.3592,2025-07-07 19:23:29.494238,2025-07-07 19:23:39.920986,0 days 00:00:10.426748,gelu,256,128,1,1,0.5,0.0001,3,minmax,0.7,max,1e-06,COMPLETE
8,0.3737,2025-07-07 19:23:39.927571,2025-07-07 19:23:49.441162,0 days 00:00:09.513591,elu,128,128,0,1,0.2,0.0001,2,minmax,0.95,max,1e-06,COMPLETE
9,0.3716,2025-07-07 19:23:49.441162,2025-07-07 19:24:16.030125,0 days 00:00:26.588963,tanh,256,32,1,1,0.1,0.0001,2,L2,0.95,max,1e-06,COMPLETE
10,0.4022,2025-07-07 19:24:16.037229,2025-07-07 19:24:25.353824,0 days 00:00:09.316595,leakyrelu,256,128,2,0,0.4,0.0001,2,L2,0.85,mean,1e-05,COMPLETE
11,0.3954,2025-07-07 19:24:25.353824,2025-07-07 19:24:34.171721,0 days 00:00:08.817897,leakyrelu,256,128,2,0,0.4,0.0001,2,L2,0.85,mean,1e-05,COMPLETE
12,0.4017,2025-07-07 19:24:34.171721,2025-07-07 19:24:43.478328,0 days 00:00:09.306607,leakyrelu,256,128,2,0,0.4,0.0001,2,L2,0.85,mean,1e-05,COMPLETE
13,0.3696,2025-07-07 19:24:43.480678,2025-07-07 19:24:52.526434,0 days 00:00:09.045756,selu,256,128,1,0,0.4,0.0001,1,L2,0.75,mean,1e-05,COMPLETE
14,0.3945,2025-07-07 19:24:52.527954,2025-07-07 19:25:02.045259,0 days 00:00:09.517305,leakyrelu,256,128,2,2,0.4,0.0001,2,L2,0.85,mean,1e-05,COMPLETE
15,0.3084,2025-07-07 19:25:02.045259,2025-07-07 19:25:11.016929,0 days 00:00:08.971670,leakyrelu,256,128,1,0,0.4,1e-05,1,L2,0.85,mean,1e-05,COMPLETE
16,0.377,2025-07-07 19:25:11.016929,2025-07-07 19:25:21.302985,0 days 00:00:10.286056,tanh,256,128,3,3,0.4,0.0001,3,L2,0.75,mean,1e-05,COMPLETE
17,0.4096,2025-07-07 19:25:21.302985,2025-07-07 19:25:36.313871,0 days 00:00:15.010886,selu,256,64,2,0,0.4,0.0001,2,L2,0.8,mean,0.0,COMPLETE
