number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.3371,2025-07-07 19:44:22.824044,2025-07-07 19:45:00.913213,0 days 00:00:38.089169,selu,256,16,0,1,0.1,0.0001,1,minmax,0.75,mean,0.0,COMPLETE
1,0.3616,2025-07-07 19:45:00.914213,2025-07-07 19:45:18.398598,0 days 00:00:17.484385,tanh,512,64,3,1,0.2,1e-05,3,L2,0.85,max,1e-05,COMPLETE
2,0.3617,2025-07-07 19:45:18.399599,2025-07-07 19:46:01.895833,0 days 00:00:43.496234,elu,128,16,1,1,0.2,1e-05,1,L2,0.85,mean,0.0,COMPLETE
3,0.3826,2025-07-07 19:46:01.896833,2025-07-07 19:46:12.387180,0 days 00:00:10.490347,tanh,256,128,2,2,0.5,1e-05,3,minmax,0.85,max,1e-05,COMPLETE
4,0.3605,2025-07-07 19:46:12.388180,2025-07-07 19:46:27.705672,0 days 00:00:15.317492,leakyrelu,128,64,1,0,0.3,0.0001,2,L2,0.85,max,1e-05,COMPLETE
5,0.2174,2025-07-07 19:46:27.707672,2025-07-07 19:46:48.651490,0 days 00:00:20.943818,leakyrelu,512,32,0,1,0.1,0.0001,1,L2,0.8,mean,0.0001,COMPLETE
6,0.3455,2025-07-07 19:46:48.652491,2025-07-07 19:47:11.859025,0 days 00:00:23.206534,selu,512,32,1,1,0.1,1e-05,1,minmax,0.85,max,0.0,COMPLETE
7,0.3852,2025-07-07 19:47:11.860026,2025-07-07 19:48:08.380047,0 days 00:00:56.520021,leakyrelu,128,16,1,2,0.2,0.001,3,L2,0.8,mean,0.0001,COMPLETE
8,0.2174,2025-07-07 19:48:08.381047,2025-07-07 19:48:53.203610,0 days 00:00:44.822563,relu,256,16,0,2,0.4,1e-05,2,L2,0.7,mean,0.0001,COMPLETE
9,0.3478,2025-07-07 19:48:53.204611,2025-07-07 19:49:08.664024,0 days 00:00:15.459413,elu,512,64,1,1,0.4,0.001,2,L2,0.8,max,0.0,COMPLETE
10,0.3864,2025-07-07 19:49:08.666024,2025-07-07 19:49:19.142379,0 days 00:00:10.476355,gelu,128,128,3,3,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
11,0.3717,2025-07-07 19:49:19.143377,2025-07-07 19:49:29.593619,0 days 00:00:10.450242,gelu,128,128,3,3,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
12,0.4048,2025-07-07 19:49:29.594620,2025-07-07 19:49:40.156144,0 days 00:00:10.561524,gelu,128,128,2,3,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
13,0.3677,2025-07-07 19:49:40.157144,2025-07-07 19:49:50.614698,0 days 00:00:10.457554,gelu,128,128,2,3,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
14,0.3754,2025-07-07 19:49:50.615698,2025-07-07 19:50:01.102656,0 days 00:00:10.486958,gelu,128,128,3,3,0.3,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
15,0.3612,2025-07-07 19:50:01.103655,2025-07-07 19:50:10.511392,0 days 00:00:09.407737,gelu,128,128,2,0,0.5,0.001,2,minmax,0.95,mean,1e-06,COMPLETE
16,0.3891,2025-07-07 19:50:10.512394,2025-07-07 19:50:21.012415,0 days 00:00:10.500021,gelu,128,128,3,3,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
17,0.3735,2025-07-07 19:50:21.013415,2025-07-07 19:50:30.702458,0 days 00:00:09.689043,relu,128,128,2,2,0.2,0.001,2,minmax,0.9,mean,1e-06,COMPLETE
18,0.3622,2025-07-07 19:50:30.703458,2025-07-07 19:50:41.194318,0 days 00:00:10.490860,gelu,128,128,3,3,0.2,0.001,3,minmax,0.95,mean,1e-06,COMPLETE
19,0.3808,2025-07-07 19:50:41.196319,2025-07-07 19:51:10.611265,0 days 00:00:29.414946,gelu,256,32,2,3,0.3,0.001,3,minmax,0.7,mean,1e-06,COMPLETE
20,0.3491,2025-07-07 19:51:10.612266,2025-07-07 19:51:19.938860,0 days 00:00:09.326594,gelu,128,128,2,0,0.5,0.0001,2,minmax,0.75,mean,1e-06,COMPLETE
21,0.345,2025-07-07 19:51:19.939860,2025-07-07 19:51:30.411930,0 days 00:00:10.472070,gelu,128,128,3,3,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
22,0.3476,2025-07-07 19:51:30.412930,2025-07-07 19:51:41.010227,0 days 00:00:10.597297,gelu,128,128,3,3,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
23,0.3544,2025-07-07 19:51:41.011227,2025-07-07 19:51:51.527128,0 days 00:00:10.515901,gelu,128,128,3,2,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
24,0.3537,2025-07-07 19:51:51.528129,2025-07-07 19:52:02.009986,0 days 00:00:10.481857,gelu,128,128,3,3,0.2,0.001,3,minmax,0.9,mean,1e-06,COMPLETE
25,0.369,2025-07-07 19:52:02.010986,2025-07-07 19:52:11.676797,0 days 00:00:09.665811,selu,128,128,2,2,0.4,0.001,2,minmax,0.9,mean,1e-06,COMPLETE
26,0.354,2025-07-07 19:52:11.677797,2025-07-07 19:52:22.214350,0 days 00:00:10.536553,elu,128,128,3,3,0.2,0.001,3,minmax,0.9,max,1e-06,COMPLETE
27,0.3604,2025-07-07 19:52:22.215351,2025-07-07 19:52:51.782486,0 days 00:00:29.567135,tanh,128,32,2,3,0.2,0.001,3,minmax,0.9,mean,1e-05,COMPLETE
28,0.3714,2025-07-07 19:52:51.783486,2025-07-07 19:53:07.870850,0 days 00:00:16.087364,relu,256,64,1,2,0.2,0.001,2,minmax,0.95,mean,0.0001,COMPLETE
29,0.3659,2025-07-07 19:53:07.871851,2025-07-07 19:54:02.009868,0 days 00:00:54.138017,selu,512,16,3,3,0.1,0.0001,3,minmax,0.75,mean,0.0,COMPLETE
