number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.1857,2025-07-07 19:54:02.196910,2025-07-07 19:54:04.818704,0 days 00:00:02.621794,leakyrelu,128,128,1,0,0.1,0.001,2,L2,0.85,mean,1e-06,COMPLETE
1,0.3522,2025-07-07 19:54:04.819705,2025-07-07 19:54:09.707282,0 days 00:00:04.887577,relu,128,32,1,1,0.4,1e-05,2,minmax,0.8,max,1e-06,COMPLETE
2,0.2258,2025-07-07 19:54:09.708282,2025-07-07 19:54:15.714137,0 days 00:00:06.005855,relu,256,16,0,0,0.4,1e-05,2,minmax,0.95,max,1e-06,COMPLETE
3,0.2575,2025-07-07 19:54:15.714137,2025-07-07 19:54:18.384736,0 days 00:00:02.670599,gelu,128,128,1,2,0.4,0.0001,2,minmax,0.75,max,1e-05,COMPLETE
4,0.2244,2025-07-07 19:54:18.385736,2025-07-07 19:54:25.469773,0 days 00:00:07.084037,tanh,256,16,1,2,0.5,0.001,2,minmax,0.95,mean,1e-05,COMPLETE
5,0.2264,2025-07-07 19:54:25.470773,2025-07-07 19:54:29.242558,0 days 00:00:03.771785,leakyrelu,256,32,0,1,0.1,0.001,1,minmax,0.75,mean,0.0001,COMPLETE
6,0.2299,2025-07-07 19:54:29.243557,2025-07-07 19:54:33.060217,0 days 00:00:03.816660,gelu,256,32,0,1,0.5,0.001,1,L2,0.95,max,1e-05,COMPLETE
7,0.2353,2025-07-07 19:54:33.061217,2025-07-07 19:54:36.694896,0 days 00:00:03.633679,selu,256,32,0,0,0.2,0.0001,1,L2,0.9,max,0.0001,COMPLETE
8,0.2353,2025-07-07 19:54:36.695896,2025-07-07 19:54:41.884856,0 days 00:00:05.188960,selu,256,16,0,0,0.2,0.0001,1,L2,0.7,max,1e-05,COMPLETE
9,0.2268,2025-07-07 19:54:41.885856,2025-07-07 19:54:48.153264,0 days 00:00:06.267408,selu,256,16,0,2,0.4,0.0001,2,minmax,0.7,mean,1e-06,COMPLETE
10,0.257,2025-07-07 19:54:48.154264,2025-07-07 19:54:51.117930,0 days 00:00:02.963666,relu,512,64,3,3,0.3,1e-05,3,minmax,0.8,max,0.0,COMPLETE
11,0.4058,2025-07-07 19:54:51.118930,2025-07-07 19:54:54.077454,0 days 00:00:02.958524,elu,128,128,2,2,0.4,1e-05,3,minmax,0.8,max,0.0,COMPLETE
12,0.2716,2025-07-07 19:54:54.078454,2025-07-07 19:54:57.053627,0 days 00:00:02.975173,elu,128,128,2,3,0.4,1e-05,3,minmax,0.8,max,0.0,COMPLETE
