number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.4077,2025-07-07 20:06:42.209305,2025-07-07 20:06:59.681337,0 days 00:00:17.472032,selu,128,64,2,3,0.5,0.0001,3,minmax,0.75,max,1e-05,COMPLETE
1,0.3676,2025-07-07 20:06:59.682338,2025-07-07 20:07:13.616555,0 days 00:00:13.934217,leakyrelu,512,64,1,0,0.1,1e-05,1,minmax,0.8,max,1e-06,COMPLETE
2,0.3942,2025-07-07 20:07:13.617555,2025-07-07 20:07:30.432976,0 days 00:00:16.815421,gelu,512,64,2,0,0.2,0.0001,3,L2,0.7,max,0.0001,COMPLETE
3,0.2174,2025-07-07 20:07:30.433976,2025-07-07 20:07:49.923828,0 days 00:00:19.489852,selu,128,32,0,0,0.3,0.0001,1,L2,0.8,max,0.0001,COMPLETE
4,0.3369,2025-07-07 20:07:49.924829,2025-07-07 20:08:10.699558,0 days 00:00:20.774729,tanh,512,32,0,1,0.2,1e-05,1,minmax,0.7,max,1e-06,COMPLETE
5,0.4355,2025-07-07 20:08:10.700557,2025-07-07 20:08:38.625875,0 days 00:00:27.925318,selu,256,32,1,0,0.1,0.001,3,L2,0.95,max,0.0,COMPLETE
6,0.3873,2025-07-07 20:08:38.626876,2025-07-07 20:09:08.152867,0 days 00:00:29.525991,leakyrelu,512,32,1,2,0.2,0.001,3,L2,0.95,mean,0.0001,COMPLETE
7,0.3916,2025-07-07 20:09:08.154868,2025-07-07 20:09:52.479016,0 days 00:00:44.324148,tanh,256,16,1,1,0.1,0.001,1,L2,0.9,mean,1e-06,COMPLETE
8,0.4102,2025-07-07 20:09:52.480016,2025-07-07 20:10:10.075972,0 days 00:00:17.595956,leakyrelu,128,64,2,1,0.3,0.001,3,minmax,0.95,max,1e-06,COMPLETE
9,0.4045,2025-07-07 20:10:10.076973,2025-07-07 20:10:21.826416,0 days 00:00:11.749443,relu,128,64,0,0,0.1,0.001,1,L2,0.75,mean,0.0,COMPLETE
10,0.4161,2025-07-07 20:10:21.827416,2025-07-07 20:10:31.024073,0 days 00:00:09.196657,elu,256,128,1,0,0.4,0.001,2,L2,0.85,mean,0.0,COMPLETE
11,0.4002,2025-07-07 20:10:31.025073,2025-07-07 20:10:40.213093,0 days 00:00:09.188020,elu,256,128,1,0,0.4,0.001,2,L2,0.85,mean,0.0,COMPLETE
12,0.4034,2025-07-07 20:10:40.214093,2025-07-07 20:10:49.474462,0 days 00:00:09.260369,elu,256,128,1,0,0.4,0.001,2,L2,0.85,mean,0.0,COMPLETE
13,0.4265,2025-07-07 20:10:49.475462,2025-07-07 20:10:58.966594,0 days 00:00:09.491132,elu,256,128,1,1,0.4,0.001,2,L2,0.85,mean,0.0,COMPLETE
14,0.3952,2025-07-07 20:10:58.967594,2025-07-07 20:11:48.225012,0 days 00:00:49.257418,selu,256,16,2,2,0.5,0.001,2,L2,0.95,max,0.0,COMPLETE
15,0.2089,2025-07-07 20:11:48.226013,2025-07-07 20:11:57.260858,0 days 00:00:09.034845,gelu,256,128,0,1,0.1,1e-05,2,L2,0.9,mean,1e-05,COMPLETE
16,0.3866,2025-07-07 20:11:57.261859,2025-07-07 20:12:26.187058,0 days 00:00:28.925199,elu,256,32,3,2,0.4,0.001,3,L2,0.85,mean,0.0,COMPLETE
17,0.4233,2025-07-07 20:12:26.188058,2025-07-07 20:12:35.576166,0 days 00:00:09.388108,relu,256,128,1,1,0.1,0.001,2,L2,0.95,max,0.0,COMPLETE
18,0.4274,2025-07-07 20:12:35.578166,2025-07-07 20:13:01.473704,0 days 00:00:25.895538,selu,256,32,1,1,0.4,1e-05,2,minmax,0.85,max,0.0,COMPLETE
19,0.3975,2025-07-07 20:13:01.473704,2025-07-07 20:13:30.794824,0 days 00:00:29.321120,selu,256,32,3,3,0.3,1e-05,3,minmax,0.95,max,1e-05,COMPLETE
20,0.3873,2025-07-07 20:13:30.795824,2025-07-07 20:13:53.851289,0 days 00:00:23.055465,selu,256,32,0,1,0.5,1e-05,2,minmax,0.9,max,0.0,COMPLETE
21,0.406,2025-07-07 20:13:53.852289,2025-07-07 20:14:19.587412,0 days 00:00:25.735123,selu,256,32,1,1,0.4,1e-05,2,minmax,0.85,max,0.0,COMPLETE
22,0.4149,2025-07-07 20:14:19.587412,2025-07-07 20:14:43.884089,0 days 00:00:24.296677,selu,256,32,1,1,0.4,1e-05,2,minmax,0.85,max,0.0,COMPLETE
23,0.4315,2025-07-07 20:14:43.884089,2025-07-07 20:15:30.043132,0 days 00:00:46.159043,elu,256,16,1,1,0.4,0.0001,2,minmax,0.85,mean,0.0,COMPLETE
24,0.4218,2025-07-07 20:15:30.043132,2025-07-07 20:16:24.109870,0 days 00:00:54.066738,selu,256,16,2,2,0.4,0.0001,3,minmax,0.85,max,0.0,COMPLETE
25,0.4322,2025-07-07 20:16:24.109870,2025-07-07 20:17:09.341605,0 days 00:00:45.231735,tanh,256,16,1,1,0.1,0.0001,2,minmax,0.8,max,0.0,COMPLETE
26,0.4126,2025-07-07 20:17:09.357232,2025-07-07 20:17:53.718989,0 days 00:00:44.361757,tanh,256,16,1,0,0.1,0.0001,2,minmax,0.8,mean,0.0,COMPLETE
27,0.4158,2025-07-07 20:17:53.718989,2025-07-07 20:18:48.217940,0 days 00:00:54.498951,tanh,256,16,2,2,0.1,0.0001,3,minmax,0.8,max,0.0001,COMPLETE
28,0.4205,2025-07-07 20:18:48.233567,2025-07-07 20:19:35.776078,0 days 00:00:47.542511,tanh,512,16,1,1,0.1,0.0001,2,minmax,0.8,mean,1e-05,COMPLETE
29,0.3993,2025-07-07 20:19:35.776078,2025-07-07 20:20:28.915026,0 days 00:00:53.138948,gelu,128,16,2,3,0.5,0.0001,3,minmax,0.7,max,1e-05,COMPLETE
