number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.3665,2025-07-07 20:29:32.444585,2025-07-07 20:30:01.225627,0 days 00:00:28.781042,gelu,128,32,2,1,0.1,0.0001,3,L2,0.85,max,1e-06,COMPLETE
1,0.3411,2025-07-07 20:30:01.225627,2025-07-07 20:30:54.676418,0 days 00:00:53.450791,relu,512,16,1,1,0.5,1e-05,3,minmax,0.75,max,0.0,COMPLETE
2,0.3207,2025-07-07 20:30:54.676418,2025-07-07 20:31:22.214096,0 days 00:00:27.537678,relu,512,32,2,0,0.4,1e-05,3,minmax,0.95,max,1e-06,COMPLETE
3,0.2176,2025-07-07 20:31:22.214096,2025-07-07 20:31:30.343065,0 days 00:00:08.128969,elu,128,128,0,2,0.1,1e-05,2,minmax,0.85,max,1e-05,COMPLETE
4,0.2668,2025-07-07 20:31:30.343065,2025-07-07 20:32:04.542145,0 days 00:00:34.199080,gelu,128,16,0,1,0.4,1e-05,1,minmax,0.7,max,1e-05,COMPLETE
5,0.3239,2025-07-07 20:32:04.557772,2025-07-07 20:32:15.848030,0 days 00:00:11.290258,elu,128,64,0,0,0.3,0.0001,1,minmax,0.95,max,0.0001,COMPLETE
6,0.3739,2025-07-07 20:32:15.848030,2025-07-07 20:32:29.639370,0 days 00:00:13.791340,leakyrelu,256,64,0,2,0.2,0.001,2,L2,0.8,mean,1e-05,COMPLETE
7,0.2174,2025-07-07 20:32:29.639370,2025-07-07 20:32:53.464988,0 days 00:00:23.825618,selu,256,32,0,2,0.2,1e-05,2,L2,0.95,max,1e-05,COMPLETE
8,0.3084,2025-07-07 20:32:53.464988,2025-07-07 20:33:03.287203,0 days 00:00:09.822215,selu,128,128,2,2,0.1,1e-05,3,L2,0.8,max,0.0,COMPLETE
9,0.3502,2025-07-07 20:33:03.287203,2025-07-07 20:33:20.268959,0 days 00:00:16.981756,selu,512,64,3,2,0.2,0.001,3,minmax,0.7,max,1e-06,COMPLETE
10,0.356,2025-07-07 20:33:20.268959,2025-07-07 20:33:35.407578,0 days 00:00:15.138619,leakyrelu,256,64,1,2,0.2,0.001,2,L2,0.8,mean,0.0001,COMPLETE
11,0.3647,2025-07-07 20:33:35.407578,2025-07-07 20:34:00.372636,0 days 00:00:24.965058,leakyrelu,256,32,2,1,0.1,0.0001,2,L2,0.85,mean,1e-06,COMPLETE
12,0.3346,2025-07-07 20:34:00.372636,2025-07-07 20:34:11.178892,0 days 00:00:10.806256,gelu,256,64,0,0,0.3,0.001,1,L2,0.9,mean,1e-05,COMPLETE
13,0.3358,2025-07-07 20:34:11.178892,2025-07-07 20:34:35.707869,0 days 00:00:24.528977,tanh,128,32,1,1,0.5,0.0001,2,L2,0.85,mean,1e-06,COMPLETE
14,0.3802,2025-07-07 20:34:35.707869,2025-07-07 20:35:04.637186,0 days 00:00:28.929317,leakyrelu,256,32,3,3,0.1,0.001,3,L2,0.8,mean,1e-05,COMPLETE
15,0.382,2025-07-07 20:35:04.637186,2025-07-07 20:35:19.947114,0 days 00:00:15.309928,leakyrelu,256,64,1,2,0.2,0.001,2,L2,0.8,mean,1e-05,COMPLETE
16,0.3373,2025-07-07 20:35:19.947114,2025-07-07 20:36:14.292754,0 days 00:00:54.345640,leakyrelu,256,16,3,3,0.2,0.001,3,L2,0.8,mean,1e-05,COMPLETE
17,0.3631,2025-07-07 20:36:14.292754,2025-07-07 20:36:22.488094,0 days 00:00:08.195340,leakyrelu,256,128,1,0,0.1,0.001,1,L2,0.8,mean,1e-05,COMPLETE
18,0.3649,2025-07-07 20:36:22.488094,2025-07-07 20:36:47.769290,0 days 00:00:25.281196,tanh,256,32,1,2,0.5,0.001,2,L2,0.75,mean,1e-05,COMPLETE
19,0.3873,2025-07-07 20:36:47.769290,2025-07-07 20:37:04.980073,0 days 00:00:17.210783,leakyrelu,256,64,3,3,0.3,0.001,3,L2,0.9,mean,0.0,COMPLETE
20,0.3332,2025-07-07 20:37:04.980073,2025-07-07 20:37:20.128763,0 days 00:00:15.148690,leakyrelu,256,64,1,2,0.3,0.001,2,L2,0.9,mean,0.0,COMPLETE
21,0.3574,2025-07-07 20:37:20.128763,2025-07-07 20:37:37.234297,0 days 00:00:17.105534,leakyrelu,256,64,3,3,0.3,0.001,3,L2,0.9,mean,0.0,COMPLETE
22,0.343,2025-07-07 20:37:37.234297,2025-07-07 20:37:54.564833,0 days 00:00:17.330536,leakyrelu,256,64,3,3,0.3,0.001,3,L2,0.9,mean,0.0,COMPLETE
23,0.367,2025-07-07 20:37:54.564833,2025-07-07 20:38:11.787899,0 days 00:00:17.223066,leakyrelu,256,64,3,3,0.4,0.001,3,L2,0.8,mean,0.0,COMPLETE
24,0.3569,2025-07-07 20:38:11.787899,2025-07-07 20:38:27.180964,0 days 00:00:15.393065,leakyrelu,256,64,2,2,0.3,0.001,2,L2,0.8,mean,0.0001,COMPLETE
25,0.3572,2025-07-07 20:38:27.180964,2025-07-07 20:38:56.462300,0 days 00:00:29.281336,leakyrelu,512,32,3,3,0.2,0.001,3,L2,0.9,mean,1e-05,COMPLETE
26,0.3474,2025-07-07 20:38:56.462300,2025-07-07 20:39:06.516754,0 days 00:00:10.054454,elu,256,128,2,3,0.1,0.001,3,L2,0.8,mean,1e-05,COMPLETE
27,0.3851,2025-07-07 20:39:06.516754,2025-07-07 20:39:52.707372,0 days 00:00:46.190618,tanh,256,16,1,2,0.2,0.001,2,L2,0.75,mean,0.0,COMPLETE
28,0.3558,2025-07-07 20:39:52.707372,2025-07-07 20:40:38.356437,0 days 00:00:45.649065,tanh,256,16,1,1,0.2,0.001,2,L2,0.75,mean,0.0,COMPLETE
29,0.361,2025-07-07 20:40:38.356437,2025-07-07 20:41:24.561926,0 days 00:00:46.205489,tanh,512,16,1,1,0.2,0.0001,2,L2,0.75,mean,0.0,COMPLETE
