number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.2174,2025-07-07 20:41:25.360219,2025-07-07 20:41:36.865121,0 days 00:00:11.504902,relu,128,64,0,1,0.4,0.0001,1,L2,0.8,mean,0.0,COMPLETE
1,0.4165,2025-07-07 20:41:36.865121,2025-07-07 20:42:25.431808,0 days 00:00:48.566687,leakyrelu,512,16,1,1,0.3,0.0001,2,L2,0.8,max,0.0001,COMPLETE
2,0.4164,2025-07-07 20:42:25.432809,2025-07-07 20:43:07.237186,0 days 00:00:41.804377,elu,128,16,1,1,0.1,0.0001,1,L2,0.85,max,1e-05,COMPLETE
3,0.3972,2025-07-07 20:43:07.238187,2025-07-07 20:43:20.795238,0 days 00:00:13.557051,selu,128,64,1,1,0.3,0.0001,1,minmax,0.9,mean,0.0001,COMPLETE
4,0.3787,2025-07-07 20:43:20.796238,2025-07-07 20:43:35.786761,0 days 00:00:14.990523,leakyrelu,256,64,2,2,0.3,0.0001,2,L2,0.85,mean,1e-06,COMPLETE
5,0.3725,2025-07-07 20:43:35.787762,2025-07-07 20:43:51.038075,0 days 00:00:15.250313,elu,256,64,0,3,0.3,0.0001,3,minmax,0.95,mean,1e-05,COMPLETE
6,0.3948,2025-07-07 20:43:51.039075,2025-07-07 20:44:06.136014,0 days 00:00:15.096939,tanh,256,64,1,2,0.2,0.001,2,L2,0.9,max,1e-05,COMPLETE
7,0.2792,2025-07-07 20:44:06.137015,2025-07-07 20:44:28.938741,0 days 00:00:22.801726,elu,128,32,0,2,0.5,0.0001,2,L2,0.85,mean,0.0001,COMPLETE
8,0.2174,2025-07-07 20:44:28.939741,2025-07-07 20:44:47.021405,0 days 00:00:18.081664,gelu,128,32,0,0,0.1,0.0001,1,L2,0.75,max,1e-05,COMPLETE
9,0.4132,2025-07-07 20:44:47.022405,2025-07-07 20:44:55.908904,0 days 00:00:08.886499,selu,512,128,1,0,0.1,0.001,2,L2,0.8,mean,0.0,COMPLETE
10,0.388,2025-07-07 20:44:55.909904,2025-07-07 20:45:51.319357,0 days 00:00:55.409453,leakyrelu,512,16,3,3,0.2,1e-05,3,minmax,0.7,max,0.0001,COMPLETE
11,0.3527,2025-07-07 20:45:51.320358,2025-07-07 20:46:34.141793,0 days 00:00:42.821435,leakyrelu,512,16,1,1,0.1,1e-05,1,L2,0.8,max,1e-06,COMPLETE
12,0.4045,2025-07-07 20:46:34.142793,2025-07-07 20:47:30.187099,0 days 00:00:56.044306,elu,512,16,2,1,0.5,0.0001,3,L2,0.85,max,0.0001,COMPLETE
13,0.317,2025-07-07 20:47:30.188099,2025-07-07 20:48:10.804130,0 days 00:00:40.616031,relu,128,16,1,0,0.4,1e-05,1,L2,0.75,max,1e-05,COMPLETE
14,0.3834,2025-07-07 20:48:10.805130,2025-07-07 20:48:59.777926,0 days 00:00:48.972796,gelu,512,16,2,1,0.3,0.001,2,minmax,0.95,max,1e-05,COMPLETE
15,0.3674,2025-07-07 20:48:59.778926,2025-07-07 20:49:08.111351,0 days 00:00:08.332425,leakyrelu,128,128,1,1,0.1,0.0001,1,L2,0.7,max,0.0001,COMPLETE
16,0.4363,2025-07-07 20:49:08.112351,2025-07-07 20:50:04.218169,0 days 00:00:56.105818,tanh,512,16,3,2,0.3,0.0001,3,L2,0.8,max,1e-06,COMPLETE
17,0.4145,2025-07-07 20:50:04.220169,2025-07-07 20:50:59.987635,0 days 00:00:55.767466,tanh,512,16,3,2,0.3,0.0001,3,L2,0.8,max,1e-06,COMPLETE
18,0.4333,2025-07-07 20:50:59.987635,2025-07-07 20:51:55.562237,0 days 00:00:55.574602,tanh,512,16,3,3,0.3,0.001,3,minmax,0.8,max,1e-06,COMPLETE
19,0.4076,2025-07-07 20:51:55.563239,2025-07-07 20:52:25.299145,0 days 00:00:29.735906,tanh,512,32,3,3,0.3,0.001,3,minmax,0.8,max,1e-06,COMPLETE
20,0.3958,2025-07-07 20:52:25.300144,2025-07-07 20:52:35.753328,0 days 00:00:10.453184,tanh,512,128,3,3,0.3,0.001,3,minmax,0.8,max,1e-06,COMPLETE
21,0.4411,2025-07-07 20:52:35.754328,2025-07-07 20:53:24.541129,0 days 00:00:48.786801,tanh,512,16,2,2,0.3,0.001,2,minmax,0.8,max,1e-06,COMPLETE
22,0.4111,2025-07-07 20:53:24.542129,2025-07-07 20:54:20.159840,0 days 00:00:55.617711,tanh,512,16,2,2,0.3,0.001,3,minmax,0.8,max,1e-06,COMPLETE
