number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.4483,2025-07-07 20:59:18.012024,2025-07-07 20:59:43.396953,0 days 00:00:25.384929,elu,128,32,2,2,0.1,0.0001,2,L2,0.75,mean,1e-05,COMPLETE
1,0.3013,2025-07-07 20:59:43.397954,2025-07-07 20:59:58.807623,0 days 00:00:15.409669,leakyrelu,512,64,0,0,0.2,1e-05,3,minmax,0.95,max,1e-05,COMPLETE
2,0.2174,2025-07-07 20:59:58.808624,2025-07-07 21:00:36.093573,0 days 00:00:37.284949,elu,512,16,0,1,0.2,1e-05,1,L2,0.9,mean,1e-06,COMPLETE
3,0.4457,2025-07-07 21:00:36.094574,2025-07-07 21:01:04.584475,0 days 00:00:28.489901,leakyrelu,256,32,1,3,0.1,0.001,3,minmax,0.85,mean,0.0,COMPLETE
4,0.4606,2025-07-07 21:01:04.585475,2025-07-07 21:01:19.667088,0 days 00:00:15.081613,selu,512,64,1,0,0.2,0.0001,2,minmax,0.85,mean,1e-05,COMPLETE
5,0.3736,2025-07-07 21:01:19.668088,2025-07-07 21:02:08.702245,0 days 00:00:49.034157,gelu,512,16,2,2,0.4,0.0001,2,minmax,0.95,max,1e-05,COMPLETE
6,0.3621,2025-07-07 21:02:08.703245,2025-07-07 21:02:17.834119,0 days 00:00:09.130874,gelu,128,128,0,2,0.1,0.0001,3,minmax,0.95,max,1e-06,COMPLETE
7,0.3598,2025-07-07 21:02:17.835121,2025-07-07 21:02:25.196773,0 days 00:00:07.361652,gelu,512,128,0,0,0.4,1e-05,1,minmax,0.9,mean,1e-05,COMPLETE
8,0.385,2025-07-07 21:02:25.197773,2025-07-07 21:02:34.305835,0 days 00:00:09.108062,elu,128,128,0,2,0.2,0.0001,3,minmax,0.75,max,1e-06,COMPLETE
9,0.4344,2025-07-07 21:02:34.306834,2025-07-07 21:02:42.386999,0 days 00:00:08.080165,elu,128,128,1,0,0.4,0.001,1,L2,0.7,max,1e-05,COMPLETE
10,0.4503,2025-07-07 21:02:42.387999,2025-07-07 21:02:57.725816,0 days 00:00:15.337817,selu,256,64,1,1,0.5,0.0001,2,L2,0.85,mean,0.0001,COMPLETE
11,0.4465,2025-07-07 21:02:57.726815,2025-07-07 21:03:13.134409,0 days 00:00:15.407594,selu,256,64,1,1,0.5,0.0001,2,L2,0.85,mean,0.0001,COMPLETE
12,0.4576,2025-07-07 21:03:13.135411,2025-07-07 21:03:28.543936,0 days 00:00:15.408525,selu,256,64,1,1,0.5,0.0001,2,L2,0.85,mean,0.0001,COMPLETE
13,0.4297,2025-07-07 21:03:28.544936,2025-07-07 21:03:43.442051,0 days 00:00:14.897115,tanh,256,64,2,0,0.3,0.0001,2,L2,0.8,mean,0.0001,COMPLETE
14,0.4408,2025-07-07 21:03:43.443052,2025-07-07 21:03:58.879689,0 days 00:00:15.436637,selu,512,64,1,1,0.5,0.0001,2,minmax,0.85,mean,0.0,COMPLETE
15,0.4274,2025-07-07 21:03:58.880690,2025-07-07 21:04:12.284315,0 days 00:00:13.403625,relu,256,64,1,0,0.3,0.001,1,L2,0.85,mean,0.0001,COMPLETE
16,0.4527,2025-07-07 21:04:12.285316,2025-07-07 21:04:27.823077,0 days 00:00:15.537761,selu,256,64,2,1,0.2,0.0001,2,minmax,0.8,mean,0.0001,COMPLETE
17,0.5171,2025-07-07 21:04:27.824076,2025-07-07 21:04:45.027870,0 days 00:00:17.203794,selu,512,64,3,3,0.5,0.0001,3,L2,0.7,mean,0.0,COMPLETE
18,0.4681,2025-07-07 21:04:45.028870,2025-07-07 21:05:38.473502,0 days 00:00:53.444632,relu,512,16,3,3,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
19,0.4752,2025-07-07 21:05:38.474503,2025-07-07 21:06:32.286700,0 days 00:00:53.812197,relu,512,16,3,3,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
20,0.4806,2025-07-07 21:06:32.287700,2025-07-07 21:07:26.220663,0 days 00:00:53.932963,relu,512,16,3,3,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
21,0.4686,2025-07-07 21:07:26.221662,2025-07-07 21:08:20.162025,0 days 00:00:53.940363,relu,512,16,3,3,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
22,0.4608,2025-07-07 21:08:20.163026,2025-07-07 21:09:15.306461,0 days 00:00:55.143435,relu,512,16,3,3,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
23,0.4574,2025-07-07 21:09:15.307233,2025-07-07 21:10:11.094038,0 days 00:00:55.786805,relu,512,16,3,3,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
24,0.4549,2025-07-07 21:10:11.095038,2025-07-07 21:11:08.721539,0 days 00:00:57.626501,tanh,512,16,3,3,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
25,0.4555,2025-07-07 21:11:08.722539,2025-07-07 21:12:04.282482,0 days 00:00:55.559943,relu,512,16,3,3,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
26,0.4687,2025-07-07 21:12:04.289334,2025-07-07 21:12:34.147848,0 days 00:00:29.858514,relu,512,32,3,2,0.5,0.001,3,L2,0.7,max,0.0,COMPLETE
27,0.4697,2025-07-07 21:12:34.147848,2025-07-07 21:13:30.106680,0 days 00:00:55.958832,relu,512,16,2,3,0.3,1e-05,3,L2,0.7,mean,0.0,COMPLETE
28,0.4799,2025-07-07 21:13:30.106680,2025-07-07 21:14:28.408459,0 days 00:00:58.301779,leakyrelu,512,16,3,2,0.5,0.001,3,L2,0.7,mean,0.0,COMPLETE
29,0.439,2025-07-07 21:14:28.408459,2025-07-07 21:14:59.952588,0 days 00:00:31.544129,leakyrelu,128,32,2,2,0.1,0.001,3,L2,0.75,mean,0.0,COMPLETE
