embedding,best_f1,batch_size,pooling,norm,lr,wd,n_layers,base_dim,activation,dropout_rate,pca_frac,bn_layer,do_layer
baseline_CASIAB.csv,0.4099,64,max,minmax,0.0001,0.0001,2,128,gelu,0.3,0.8,1,2
baseline_OUMVLP.csv,0.4357,128,mean,L2,0.001,1e-06,3,512,tanh,0.5,0.9,2,3
gaitgl.csv,0.4026,64,mean,L2,0.001,0.0,2,512,gelu,0.1,0.95,2,1
gaitgl_GREW.csv,0.4151,64,mean,L2,0.0001,0.0,3,256,relu,0.5,0.9,3,3
gaitgl_GREW_BNNeck.csv,0.3915,16,max,minmax,0.001,0.0001,2,128,selu,0.2,0.75,1,2
gaitgl_OUMVLP.csv,0.4048,128,mean,minmax,0.001,1e-06,3,128,gelu,0.2,0.9,2,3
gaitpart.csv,0.4058,128,max,minmax,1e-05,0.0,3,128,elu,0.4,0.8,2,2
gaitpart_GREW.csv,0.4188,128,mean,minmax,0.0001,0.0001,3,256,relu,0.5,0.95,3,3
gaitpart_OUMVLP.csv,0.4355,32,max,L2,0.001,0.0,3,256,selu,0.1,0.95,1,0
gaitset.csv,0.4077,64,mean,minmax,1e-05,1e-06,2,512,tanh,0.3,0.85,1,1
gaitset_GREW.csv,0.3873,64,mean,L2,0.001,0.0,3,256,leakyrelu,0.3,0.9,3,3
gaitset_OUMVLP.csv,0.4411,16,max,minmax,0.001,1e-06,2,512,tanh,0.3,0.8,2,2
gln_phase1.csv,0.5171,64,mean,L2,0.0001,0.0,3,512,selu,0.5,0.7,3,3
gln_phase2.csv,0.4611,16,mean,L2,0.0001,0.0,2,256,leakyrelu,0.2,0.85,0,0
