number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.2174,2025-08-06 14:54:53.489754,2025-08-06 14:55:06.608747,0 days 00:00:13.118993,tanh,128,64,2,0.3,1e-05,2,L2,2,,max,False,1e-06,6.025248408317566,COMPLETE,6.025248408317566
1,0.3681,2025-08-06 14:55:06.608747,2025-08-06 14:55:20.027596,0 days 00:00:13.418849,gelu,128,64,0,0.4,0.001,3,minmax,0,,max,False,1e-06,0.03735277755185962,COMPLETE,0.03735277755185962
2,0.3758,2025-08-06 14:55:20.027596,2025-08-06 14:56:06.346234,0 days 00:00:46.318638,tanh,512,16,1,0.1,0.001,3,minmax,2,0.95,max,True,0.0,0.0005913683207836584,COMPLETE,0.0005913683207836584
3,0.3843,2025-08-06 14:56:06.346234,2025-08-06 14:56:19.897873,0 days 00:00:13.551639,elu,512,64,1,0.4,0.0001,2,minmax,1,,max,False,1e-06,0.7517210021615028,COMPLETE,0.7517210021615028
4,0.2768,2025-08-06 14:56:19.898875,2025-08-06 14:56:26.884085,0 days 00:00:06.985210,gelu,128,128,1,0.1,1e-05,1,minmax,0,0.8,mean,True,0.0001,3.200578451156616,COMPLETE,3.200578451156616
5,0.2594,2025-08-06 14:56:26.884085,2025-08-06 14:57:11.272210,0 days 00:00:44.388125,elu,256,16,2,0.5,1e-05,3,L2,3,0.9,max,True,0.0,21.32201898097992,COMPLETE,21.32201898097992
6,0.3577,2025-08-06 14:57:11.272210,2025-08-06 14:57:18.609860,0 days 00:00:07.337650,tanh,512,128,0,0.4,0.0001,1,minmax,0,,mean,False,1e-05,2.2839642763137817,COMPLETE,2.2839642763137817
7,0.3555,2025-08-06 14:57:18.609860,2025-08-06 14:57:40.561008,0 days 00:00:21.951148,relu,512,32,0,0.1,0.001,2,minmax,2,0.75,mean,True,0.0,0.0004294522586860694,COMPLETE,0.0004294522586860694
8,0.3701,2025-08-06 14:57:40.561008,2025-08-06 14:57:59.346307,0 days 00:00:18.785299,relu,512,32,1,0.2,0.0001,1,minmax,0,,mean,False,0.0,6.378133684396744,COMPLETE,6.378133684396744
9,0.4034,2025-08-06 14:57:59.347307,2025-08-06 14:58:45.048826,0 days 00:00:45.701519,tanh,512,16,2,0.2,0.0001,3,L2,3,,mean,False,0.0,0.1125463133212179,COMPLETE,0.1125463133212179
10,0.3956,2025-08-06 14:58:45.056001,2025-08-06 14:59:29.409177,0 days 00:00:44.353176,leakyrelu,256,16,3,0.2,0.0001,3,L2,3,,mean,False,0.0001,0.04023837490240112,COMPLETE,0.04023837490240112
11,0.3951,2025-08-06 14:59:29.409177,2025-08-06 15:00:14.068150,0 days 00:00:44.658973,leakyrelu,256,16,3,0.2,0.0001,3,L2,3,,mean,False,0.0001,0.03491051873425022,COMPLETE,0.03491051873425022
12,0.4276,2025-08-06 15:00:14.068150,2025-08-06 15:00:58.663866,0 days 00:00:44.595716,leakyrelu,256,16,3,0.2,0.0001,3,L2,3,,mean,False,0.0001,0.04410638310946524,COMPLETE,0.04410638310946524
13,0.4148,2025-08-06 15:00:58.664700,2025-08-06 15:01:43.372611,0 days 00:00:44.707911,leakyrelu,256,16,3,0.2,0.0001,3,L2,3,,mean,False,1e-05,0.04745409690076485,COMPLETE,0.04745409690076485
14,0.3967,2025-08-06 15:01:43.372611,2025-08-06 15:02:24.024066,0 days 00:00:40.651455,leakyrelu,256,16,2,0.2,0.0001,2,L2,1,,mean,False,1e-05,0.008866581367328763,COMPLETE,0.008866581367328763
15,0.4267,2025-08-06 15:02:24.024066,2025-08-06 15:03:09.016109,0 days 00:00:44.992043,leakyrelu,256,16,3,0.5,0.0001,3,L2,2,,mean,False,1e-05,5.751166117144749,COMPLETE,5.751166117144749
16,0.4212,2025-08-06 15:03:09.017106,2025-08-06 15:03:49.716514,0 days 00:00:40.699408,leakyrelu,256,16,2,0.5,0.0001,2,L2,1,,mean,False,0.0001,0.014729497081134468,COMPLETE,0.014729497081134468
17,0.4255,2025-08-06 15:03:49.716514,2025-08-06 15:04:13.587597,0 days 00:00:23.871083,leakyrelu,256,32,3,0.5,0.0001,3,L2,2,,mean,False,1e-05,0.026885716360993683,COMPLETE,0.026885716360993683
