number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3215,2025-08-06 15:58:07.059450,2025-08-06 15:58:08.732166,0 days 00:00:01.672716,leakyrelu,128,64,1,0.2,1e-05,1,minmax,0,,max,False,0.0001,0.9982715845108032,COMPLETE,0.9982715845108032
1,0.2353,2025-08-06 15:58:08.733165,2025-08-06 15:58:10.689174,0 days 00:00:01.956009,gelu,128,128,1,0.2,0.0001,2,L2,2,,mean,False,1e-06,0.8304292559623718,COMPLETE,0.8304292559623718
2,0.2353,2025-08-06 15:58:10.689174,2025-08-06 15:58:12.849538,0 days 00:00:02.160364,relu,128,128,0,0.1,1e-05,2,minmax,1,,mean,False,0.0,0.9659032225608826,COMPLETE,0.9659032225608826
3,0.2353,2025-08-06 15:58:12.849538,2025-08-06 15:58:15.339546,0 days 00:00:02.490008,leakyrelu,256,64,3,0.4,0.0001,3,L2,2,0.85,max,True,1e-06,0.8369163870811462,COMPLETE,0.8369163870811462
4,0.2238,2025-08-06 15:58:15.339546,2025-08-06 15:58:17.719682,0 days 00:00:02.380136,gelu,128,64,1,0.4,1e-05,2,L2,1,,mean,False,0.0001,1.040193796157837,COMPLETE,1.040193796157837
5,0.1616,2025-08-06 15:58:17.719682,2025-08-06 15:58:23.996629,0 days 00:00:06.276947,elu,512,16,1,0.5,0.001,3,L2,0,,mean,False,0.0,0.09264564607292414,COMPLETE,0.09264564607292414
6,0.2401,2025-08-06 15:58:23.996629,2025-08-06 15:58:28.465165,0 days 00:00:04.468536,elu,128,16,0,0.5,0.001,1,L2,1,0.75,max,True,0.0001,0.42937691509723663,COMPLETE,0.42937691509723663
7,0.2319,2025-08-06 15:58:28.466313,2025-08-06 15:58:30.923076,0 days 00:00:02.456763,tanh,512,128,1,0.1,0.001,2,minmax,2,,max,False,0.0,0.0006044085021130741,COMPLETE,0.0006044085021130741
8,0.2353,2025-08-06 15:58:30.923076,2025-08-06 15:58:32.978697,0 days 00:00:02.055621,gelu,512,128,1,0.3,0.0001,1,L2,1,,max,False,1e-06,0.9085178971290588,COMPLETE,0.9085178971290588
9,0.2353,2025-08-06 15:58:32.978697,2025-08-06 15:58:35.426971,0 days 00:00:02.448274,tanh,128,64,1,0.4,1e-05,3,L2,1,,mean,False,1e-06,0.9671104550361633,COMPLETE,0.9671104550361633
10,0.2341,2025-08-06 15:58:35.426971,2025-08-06 15:58:38.687852,0 days 00:00:03.260881,leakyrelu,256,32,0,0.2,1e-05,1,minmax,0,0.9,max,True,1e-05,2.0205999612808228,COMPLETE,2.0205999612808228
11,0.3122,2025-08-06 15:58:38.687852,2025-08-06 15:58:43.188327,0 days 00:00:04.500475,elu,128,16,0,0.5,0.001,1,minmax,0,0.75,max,True,0.0001,0.6144224256277084,COMPLETE,0.6144224256277084
12,0.2988,2025-08-06 15:58:43.188779,2025-08-06 15:58:47.738494,0 days 00:00:04.549715,elu,128,16,0,0.5,0.001,1,minmax,0,0.75,max,True,0.0001,0.6660371422767639,COMPLETE,0.6660371422767639
13,0.3164,2025-08-06 15:58:47.738494,2025-08-06 15:58:51.161894,0 days 00:00:03.423400,leakyrelu,128,32,0,0.2,0.001,1,minmax,0,0.8,max,True,0.0001,0.05008944123983383,COMPLETE,0.05008944123983383
14,0.1846,2025-08-06 15:58:51.161894,2025-08-06 15:58:54.509448,0 days 00:00:03.347554,leakyrelu,128,32,0,0.2,1e-05,1,minmax,0,0.8,max,True,0.0001,2.086328387260437,COMPLETE,2.086328387260437
15,0.2238,2025-08-06 15:58:54.525074,2025-08-06 15:58:57.967229,0 days 00:00:03.442155,leakyrelu,256,32,1,0.2,1e-05,1,minmax,0,0.8,max,True,1e-05,2.0271573066711426,COMPLETE,2.0271573066711426
16,0.2939,2025-08-06 15:58:57.968375,2025-08-06 15:59:01.418764,0 days 00:00:03.450389,leakyrelu,128,32,2,0.2,0.001,2,minmax,0,0.7,max,True,0.0001,0.005979993962682784,COMPLETE,0.005979993962682784
