number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.2554,2025-08-06 15:59:39.439297,2025-08-06 16:00:02.623432,0 days 00:00:23.184135,gelu,128,32,1,0.1,1e-05,3,minmax,1,,max,False,0.0,10.212663114070892,COMPLETE,10.212663114070892
1,0.3659,2025-08-06 16:00:02.630254,2025-08-06 16:00:42.885803,0 days 00:00:40.255549,relu,512,16,2,0.2,1e-05,2,minmax,0,0.9,mean,True,0.0001,15.464907437562943,COMPLETE,15.464907437562943
2,0.3958,2025-08-06 16:00:42.885803,2025-08-06 16:01:04.617709,0 days 00:00:21.731906,gelu,128,32,2,0.2,0.0001,2,minmax,1,,mean,False,1e-06,0.07370528299361467,COMPLETE,0.07370528299361467
3,0.385,2025-08-06 16:01:04.618157,2025-08-06 16:01:25.030537,0 days 00:00:20.412380,tanh,512,32,1,0.3,0.001,1,L2,1,,mean,False,1e-06,0.015399444964714348,COMPLETE,0.015399444964714348
4,0.2174,2025-08-06 16:01:25.030537,2025-08-06 16:01:33.031922,0 days 00:00:08.001385,leakyrelu,512,128,1,0.4,0.0001,2,L2,0,,max,False,1e-05,2.9943522810935974,COMPLETE,2.9943522810935974
5,0.4011,2025-08-06 16:01:33.031922,2025-08-06 16:01:40.032385,0 days 00:00:07.000463,tanh,256,128,0,0.2,0.001,1,minmax,0,,max,False,0.0,0.47624024748802185,COMPLETE,0.47624024748802185
6,0.3899,2025-08-06 16:01:40.032385,2025-08-06 16:02:00.665310,0 days 00:00:20.632925,relu,256,32,1,0.5,0.0001,2,minmax,0,0.7,max,True,0.0,3.881412997841835,COMPLETE,3.881412997841835
7,0.3925,2025-08-06 16:02:00.667098,2025-08-06 16:02:24.160631,0 days 00:00:23.493533,leakyrelu,256,32,2,0.5,0.001,3,minmax,3,0.9,max,True,1e-05,0.002362820065172855,COMPLETE,0.002362820065172855
8,0.3772,2025-08-06 16:02:24.161630,2025-08-06 16:03:07.614252,0 days 00:00:43.452622,relu,128,16,0,0.2,0.001,3,minmax,2,0.8,mean,True,1e-05,0.00022975849833528628,COMPLETE,0.00022975849833528628
9,0.2174,2025-08-06 16:03:07.614252,2025-08-06 16:03:21.822321,0 days 00:00:14.208069,relu,128,64,2,0.3,0.0001,3,L2,3,,max,False,1e-06,5.899975299835205,COMPLETE,5.899975299835205
10,0.325,2025-08-06 16:03:21.823320,2025-08-06 16:03:29.096145,0 days 00:00:07.272825,tanh,256,128,0,0.1,0.001,1,L2,0,,max,False,0.0,2.3946086168289185,COMPLETE,2.3946086168289185
11,0.3839,2025-08-06 16:03:29.096145,2025-08-06 16:03:36.715251,0 days 00:00:07.619106,elu,256,128,0,0.2,0.0001,1,minmax,1,,mean,False,1e-06,0.8525680303573608,COMPLETE,0.8525680303573608
12,0.3812,2025-08-06 16:03:36.730877,2025-08-06 16:03:48.057205,0 days 00:00:11.326328,gelu,128,64,0,0.2,0.001,1,minmax,0,,mean,False,0.0001,1.880034178495407,COMPLETE,1.880034178495407
13,0.3823,2025-08-06 16:03:48.058203,2025-08-06 16:03:56.433500,0 days 00:00:08.375297,gelu,256,128,2,0.2,0.0001,2,minmax,1,,mean,False,0.0,0.050136368721723557,COMPLETE,0.050136368721723557
