number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3828,2025-08-06 16:07:07.401232,2025-08-06 16:07:18.637954,0 days 00:00:11.236722,gelu,256,64,0,0.3,0.001,1,L2,0,,mean,False,0.0001,4.309597194194794,COMPLETE,4.309597194194794
1,0.4086,2025-08-06 16:07:18.637954,2025-08-06 16:07:25.790693,0 days 00:00:07.152739,gelu,128,128,0,0.1,0.001,2,L2,0,0.7,mean,True,1e-06,2.3466840386390686,COMPLETE,2.3466840386390686
2,0.3036,2025-08-06 16:07:25.790693,2025-08-06 16:07:32.965356,0 days 00:00:07.174663,gelu,256,128,0,0.4,1e-05,1,minmax,0,0.95,mean,True,1e-05,3.181417942047119,COMPLETE,3.181417942047119
3,0.426,2025-08-06 16:07:32.966356,2025-08-06 16:08:10.649803,0 days 00:00:37.683447,leakyrelu,128,16,2,0.2,0.0001,2,minmax,0,0.75,mean,True,0.0001,2.5497102066874504,COMPLETE,2.5497102066874504
4,0.4149,2025-08-06 16:08:10.650802,2025-08-06 16:08:54.862633,0 days 00:00:44.211831,relu,256,16,0,0.4,1e-05,3,minmax,2,0.8,max,True,1e-05,10.79960748553276,COMPLETE,10.79960748553276
5,0.3999,2025-08-06 16:08:54.863430,2025-08-06 16:09:39.709911,0 days 00:00:44.846481,tanh,256,16,3,0.3,0.0001,3,L2,1,,mean,False,0.0001,0.15444651269353926,COMPLETE,0.15444651269353926
6,0.3966,2025-08-06 16:09:39.709911,2025-08-06 16:10:25.103904,0 days 00:00:45.393993,leakyrelu,128,16,1,0.5,0.0001,3,minmax,2,,mean,False,1e-05,4.025567591190338,COMPLETE,4.025567591190338
7,0.4404,2025-08-06 16:10:25.104904,2025-08-06 16:10:44.203054,0 days 00:00:19.098150,leakyrelu,128,32,1,0.2,0.0001,1,L2,1,,mean,False,0.0,4.027976155281067,COMPLETE,4.027976155281067
8,0.2174,2025-08-06 16:10:44.204054,2025-08-06 16:11:24.562451,0 days 00:00:40.358397,relu,512,16,1,0.1,1e-05,2,L2,2,,max,False,1e-06,21.8049333691597,COMPLETE,21.8049333691597
9,0.3911,2025-08-06 16:11:24.563451,2025-08-06 16:11:35.863808,0 days 00:00:11.300357,tanh,256,64,0,0.4,1e-05,1,minmax,1,0.95,mean,True,0.0,4.930914282798767,COMPLETE,4.930914282798767
10,0.3731,2025-08-06 16:11:35.864807,2025-08-06 16:11:55.058963,0 days 00:00:19.194156,elu,512,32,1,0.2,0.0001,1,L2,1,,max,False,0.0,9.983422636985779,COMPLETE,9.983422636985779
11,0.4415,2025-08-06 16:11:55.059964,2025-08-06 16:12:15.483327,0 days 00:00:20.423363,leakyrelu,128,32,2,0.2,0.0001,2,minmax,0,0.75,mean,True,0.0001,3.306014269590378,COMPLETE,3.306014269590378
12,0.4499,2025-08-06 16:12:15.484327,2025-08-06 16:12:36.747590,0 days 00:00:21.263263,leakyrelu,128,32,2,0.2,0.0001,2,minmax,1,0.75,mean,True,0.0,0.7204401232302189,COMPLETE,0.7204401232302189
