number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.4189,2025-08-14 17:02:28.580749,2025-08-14 17:02:50.784881,0 days 00:00:22.204132,gelu,512,32,3,0.4,1e-05,3,minmax,2,0.75,max,True,0.0,0.5996626500531408,COMPLETE,0.5996626500531408
1,0.3314,2025-08-14 17:02:50.784881,2025-08-14 17:03:12.956555,0 days 00:00:22.171674,leakyrelu,512,32,1,0.2,1e-05,3,minmax,0,0.75,mean,True,1e-06,0.8752474422623491,COMPLETE,0.8752474422623491
2,0.2176,2025-08-14 17:03:12.957557,2025-08-14 17:03:23.669197,0 days 00:00:10.711640,elu,128,64,1,0.3,0.0001,1,L2,0,0.8,max,True,1e-06,0.9862037440971546,COMPLETE,0.9862037440971546
3,0.2383,2025-08-14 17:03:23.670197,2025-08-14 17:03:32.520973,0 days 00:00:08.850776,relu,256,128,0,0.3,1e-05,2,L2,1,0.95,mean,True,1e-06,0.9727591782137512,COMPLETE,0.9727591782137512
4,0.3833,2025-08-14 17:03:32.522974,2025-08-14 17:03:46.023589,0 days 00:00:13.500615,leakyrelu,128,64,1,0.1,0.001,3,L2,1,,max,False,0.0,0.20710896473030568,COMPLETE,0.20710896473030568
5,0.3892,2025-08-14 17:03:46.024590,2025-08-14 17:04:04.357824,0 days 00:00:18.333234,elu,128,32,0,0.3,1e-05,1,minmax,1,,max,False,1e-06,0.8570596136847493,COMPLETE,0.8570596136847493
6,0.3435,2025-08-14 17:04:04.357824,2025-08-14 17:04:17.488572,0 days 00:00:13.130748,tanh,256,64,3,0.2,0.0001,3,L2,3,0.95,max,True,1e-06,0.27658243563589174,COMPLETE,0.27658243563589174
7,0.2176,2025-08-14 17:04:17.489573,2025-08-14 17:04:24.969494,0 days 00:00:07.479921,leakyrelu,256,128,1,0.4,0.0001,1,L2,0,0.75,mean,True,1e-05,0.9839963740474541,COMPLETE,0.9839963740474541
8,0.3979,2025-08-14 17:04:24.971091,2025-08-14 17:04:38.829629,0 days 00:00:13.858538,elu,256,64,1,0.3,0.0001,3,minmax,2,0.8,max,True,1e-05,0.46736085731116905,COMPLETE,0.46736085731116905
9,0.4188,2025-08-14 17:04:38.830630,2025-08-14 17:04:51.579477,0 days 00:00:12.748847,relu,128,64,1,0.4,0.001,3,minmax,0,0.75,mean,True,1e-05,0.03780405447366153,COMPLETE,0.03780405447366153
10,0.4026,2025-08-14 17:04:51.580476,2025-08-14 17:05:29.942583,0 days 00:00:38.362107,gelu,512,16,2,0.5,1e-05,2,minmax,2,,max,False,0.0,0.4161157417335694,COMPLETE,0.4161157417335694
11,0.3906,2025-08-14 17:05:29.943582,2025-08-14 17:05:51.379112,0 days 00:00:21.435530,relu,512,32,2,0.4,0.001,2,minmax,2,0.85,mean,True,0.0001,0.00028740452939211733,COMPLETE,0.00028740452939211733
12,0.3646,2025-08-14 17:05:51.380517,2025-08-14 17:06:34.670861,0 days 00:00:43.290344,gelu,128,16,3,0.4,0.001,3,minmax,3,0.7,mean,True,1e-05,0.004727831896886916,COMPLETE,0.004727831896886916
13,0.3678,2025-08-14 17:06:34.671862,2025-08-14 17:06:57.536271,0 days 00:00:22.864409,gelu,512,32,2,0.4,0.001,3,minmax,2,0.9,mean,True,0.0,0.003926732790936384,COMPLETE,0.003926732790936384
14,0.2176,2025-08-14 17:06:57.536271,2025-08-14 17:07:07.979910,0 days 00:00:10.443639,relu,128,64,0,0.4,1e-05,2,minmax,0,,max,False,0.0001,0.9999965484885924,COMPLETE,0.9999965484885924
15,0.4057,2025-08-14 17:07:07.979910,2025-08-14 17:07:30.587970,0 days 00:00:22.608060,tanh,512,32,3,0.5,0.001,3,minmax,1,0.75,mean,True,0.0,9.040474433394245e-05,COMPLETE,9.040474433394245e-05
16,0.3817,2025-08-14 17:07:30.603596,2025-08-14 17:07:37.873046,0 days 00:00:07.269450,gelu,128,128,0,0.1,0.001,2,minmax,0,0.75,mean,True,1e-05,0.01081763124362928,COMPLETE,0.01081763124362928
17,0.4147,2025-08-14 17:07:37.873046,2025-08-14 17:08:20.656653,0 days 00:00:42.783607,relu,512,16,2,0.4,1e-05,3,minmax,3,0.75,max,True,0.0,0.41063962546192184,COMPLETE,0.41063962546192184
18,0.3881,2025-08-14 17:08:20.657653,2025-08-14 17:08:41.915830,0 days 00:00:21.258177,gelu,128,32,1,0.4,0.001,2,minmax,1,,max,False,1e-05,0.02671901795450131,COMPLETE,0.02671901795450131
19,0.3664,2025-08-14 17:08:41.916821,2025-08-14 17:08:55.124815,0 days 00:00:13.207994,relu,512,64,3,0.4,1e-05,3,minmax,2,0.9,mean,True,0.0001,0.6399146728576954,COMPLETE,0.6399146728576954
20,0.4144,2025-08-14 17:08:55.125815,2025-08-14 17:09:07.035031,0 days 00:00:11.909216,tanh,128,64,1,0.5,0.001,2,minmax,1,0.7,mean,True,1e-05,0.1627543056413675,COMPLETE,0.1627543056413675
21,0.3977,2025-08-14 17:09:07.036032,2025-08-14 17:09:52.778548,0 days 00:00:45.742516,relu,512,16,2,0.4,1e-05,3,minmax,3,0.75,max,True,0.0,0.37620624583633766,COMPLETE,0.37620624583633766
22,0.3935,2025-08-14 17:09:52.779550,2025-08-14 17:10:38.960378,0 days 00:00:46.180828,relu,512,16,2,0.4,1e-05,3,minmax,3,0.75,max,True,0.0,0.3714314922450823,COMPLETE,0.3714314922450823
23,0.4006,2025-08-14 17:10:38.961378,2025-08-14 17:11:24.120376,0 days 00:00:45.158998,relu,512,16,3,0.4,1e-05,3,minmax,3,0.75,max,True,0.0,0.18506170267844124,COMPLETE,0.18506170267844124
24,0.418,2025-08-14 17:11:24.121376,2025-08-14 17:12:09.512722,0 days 00:00:45.391346,relu,512,16,2,0.4,1e-05,3,minmax,2,0.85,max,True,0.0,0.27237284432653447,COMPLETE,0.27237284432653447
25,0.4101,2025-08-14 17:12:09.513723,2025-08-14 17:12:53.629767,0 days 00:00:44.116044,gelu,512,16,3,0.1,1e-05,3,minmax,2,0.85,max,True,0.0,0.14861233273694752,COMPLETE,0.14861233273694752
26,0.3424,2025-08-14 17:12:53.629767,2025-08-14 17:13:16.648962,0 days 00:00:23.019195,relu,512,32,2,0.2,1e-05,3,L2,2,,max,False,0.0,0.8464843734284306,COMPLETE,0.8464843734284306
27,0.3144,2025-08-14 17:13:16.648962,2025-08-14 17:13:25.347430,0 days 00:00:08.698468,relu,512,128,1,0.4,1e-05,2,minmax,1,0.85,max,True,1e-05,0.8978592962314078,COMPLETE,0.8978592962314078
28,0.394,2025-08-14 17:13:25.348430,2025-08-14 17:14:08.238408,0 days 00:00:42.889978,gelu,256,16,2,0.4,0.0001,3,minmax,2,0.85,mean,True,0.0001,0.012767158966763035,COMPLETE,0.012767158966763035
29,0.3864,2025-08-14 17:14:08.239613,2025-08-14 17:14:29.895302,0 days 00:00:21.655689,leakyrelu,128,32,3,0.2,0.001,3,minmax,2,0.85,mean,True,0.0,0.00012136229898419734,COMPLETE,0.00012136229898419734
