number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.2176,2025-08-14 17:14:30.346490,2025-08-14 17:15:00.502537,0 days 00:00:30.156047,leakyrelu,256,16,1,0.4,1e-05,1,L2,0,0.75,max,True,0.0,1.0218859941629734,COMPLETE,1.0218859941629734
1,0.409,2025-08-14 17:15:00.503400,2025-08-14 17:15:40.363269,0 days 00:00:39.859869,relu,128,16,3,0.4,0.001,3,L2,0,,mean,False,1e-06,0.029897515539235624,COMPLETE,0.029897515539235624
2,0.3566,2025-08-14 17:15:40.363269,2025-08-14 17:15:50.559208,0 days 00:00:10.195939,elu,512,64,1,0.5,0.001,1,L2,1,,max,False,0.0001,0.7641861881473824,COMPLETE,0.7641861881473824
3,0.405,2025-08-14 17:15:50.559208,2025-08-14 17:16:00.907506,0 days 00:00:10.348298,leakyrelu,128,64,0,0.1,0.001,1,minmax,1,0.9,max,True,1e-05,0.0015030322690760879,COMPLETE,0.0015030322690760879
4,0.3799,2025-08-14 17:16:00.914585,2025-08-14 17:16:17.399025,0 days 00:00:16.484440,relu,512,32,0,0.1,0.0001,1,L2,0,0.9,mean,True,1e-06,0.7554585188148106,COMPLETE,0.7554585188148106
5,0.3767,2025-08-14 17:16:17.400024,2025-08-14 17:16:27.038116,0 days 00:00:09.638092,leakyrelu,256,64,0,0.1,0.001,1,minmax,0,0.8,mean,True,0.0,0.01220353166318208,COMPLETE,0.01220353166318208
6,0.4275,2025-08-14 17:16:27.053743,2025-08-14 17:16:49.789247,0 days 00:00:22.735504,leakyrelu,128,32,2,0.2,0.001,3,L2,3,0.95,mean,True,0.0001,0.00048399589302795386,COMPLETE,0.00048399589302795386
7,0.4255,2025-08-14 17:16:49.789247,2025-08-14 17:17:22.821995,0 days 00:00:33.032748,tanh,256,16,0,0.4,0.0001,1,L2,1,,mean,False,0.0001,0.017112309041274323,COMPLETE,0.017112309041274323
8,0.3749,2025-08-14 17:17:22.821995,2025-08-14 17:18:03.551118,0 days 00:00:40.729123,gelu,256,16,3,0.4,0.001,3,minmax,0,,max,False,1e-06,0.010885386908175334,COMPLETE,0.010885386908175334
9,0.3738,2025-08-14 17:18:03.552118,2025-08-14 17:18:46.527878,0 days 00:00:42.975760,relu,256,16,1,0.2,0.001,3,minmax,3,,max,False,0.0001,0.2072424831593535,COMPLETE,0.2072424831593535
