number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3633,2025-08-14 17:29:24.046198,2025-08-14 17:29:36.568577,0 days 00:00:12.522379,leakyrelu,256,64,0,0.3,0.0001,3,minmax,1,0.7,mean,True,1e-06,0.10083393086574469,COMPLETE,0.10083393086574469
1,0.3625,2025-08-14 17:29:36.568577,2025-08-14 17:29:56.877148,0 days 00:00:20.308571,elu,512,32,0,0.2,0.001,2,L2,2,,mean,False,0.0001,0.0009175549026195355,COMPLETE,0.0009175549026195355
2,0.3619,2025-08-14 17:29:56.878146,2025-08-14 17:30:17.964241,0 days 00:00:21.086095,relu,256,32,2,0.5,0.001,3,L2,0,,mean,False,0.0,0.0003434518970303175,COMPLETE,0.0003434518970303175
3,0.2176,2025-08-14 17:30:17.965241,2025-08-14 17:30:40.094362,0 days 00:00:22.129121,leakyrelu,256,32,0,0.2,1e-05,3,L2,3,0.95,max,True,0.0001,0.9844065908450406,COMPLETE,0.9844065908450406
4,0.3232,2025-08-14 17:30:40.095362,2025-08-14 17:31:18.778319,0 days 00:00:38.682957,tanh,128,16,2,0.2,0.0001,2,minmax,1,,max,False,1e-06,0.02199092594804871,COMPLETE,0.02199092594804871
5,0.2774,2025-08-14 17:31:18.779319,2025-08-14 17:31:37.063638,0 days 00:00:18.284319,elu,512,32,1,0.5,0.001,1,L2,1,,max,False,0.0001,0.7305869015466745,COMPLETE,0.7305869015466745
6,0.318,2025-08-14 17:31:37.064483,2025-08-14 17:31:45.360951,0 days 00:00:08.296468,gelu,256,128,2,0.3,0.0001,2,minmax,2,,max,False,1e-05,0.1923325098691646,COMPLETE,0.1923325098691646
7,0.3786,2025-08-14 17:31:45.360951,2025-08-14 17:32:25.744765,0 days 00:00:40.383814,relu,128,16,0,0.2,0.0001,3,minmax,3,,mean,False,0.0,0.011808955107614925,COMPLETE,0.011808955107614925
8,0.2193,2025-08-14 17:32:25.745671,2025-08-14 17:32:34.789450,0 days 00:00:09.043779,relu,128,128,3,0.5,1e-05,3,minmax,3,0.8,max,True,1e-06,0.9904506599404804,COMPLETE,0.9904506599404804
9,0.2176,2025-08-14 17:32:34.794731,2025-08-14 17:32:51.727698,0 days 00:00:16.932967,gelu,128,32,1,0.5,1e-05,1,L2,0,,max,False,0.0001,1.0147707857119692,COMPLETE,1.0147707857119692
