number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3444,2025-08-14 17:51:10.816656,2025-08-14 17:51:23.519876,0 days 00:00:12.703220,relu,256,64,1,0.2,0.001,3,L2,3,0.85,mean,True,1e-06,0.002606889119478829,COMPLETE,0.002606889119478829
1,0.3748,2025-08-14 17:51:23.519876,2025-08-14 17:51:46.479218,0 days 00:00:22.959342,elu,512,32,1,0.4,0.0001,3,minmax,2,0.85,mean,True,1e-06,0.035191036742839396,COMPLETE,0.035191036742839396
2,0.2733,2025-08-14 17:51:46.480219,2025-08-14 17:51:55.728940,0 days 00:00:09.248721,elu,256,128,2,0.4,1e-05,3,minmax,2,,mean,False,1e-06,0.9135528597801061,COMPLETE,0.9135528597801061
3,0.2176,2025-08-14 17:51:55.728940,2025-08-14 17:52:03.791110,0 days 00:00:08.062170,relu,512,128,3,0.3,0.0001,3,L2,0,,max,False,0.0,1.0033157021286403,COMPLETE,1.0033157021286403
4,0.3376,2025-08-14 17:52:03.791110,2025-08-14 17:52:22.367918,0 days 00:00:18.576808,leakyrelu,128,32,0,0.5,0.0001,2,minmax,0,,max,False,0.0001,0.2434394116187019,COMPLETE,0.2434394116187019
5,0.3623,2025-08-14 17:52:22.367918,2025-08-14 17:52:56.608748,0 days 00:00:34.240830,tanh,512,16,1,0.4,0.001,1,L2,1,,mean,False,0.0,0.00027399820423837736,COMPLETE,0.00027399820423837736
6,0.3629,2025-08-14 17:52:56.608748,2025-08-14 17:53:04.002483,0 days 00:00:07.393735,elu,512,128,0,0.1,0.0001,1,minmax,1,0.75,mean,True,1e-05,0.6543662298913937,COMPLETE,0.6543662298913937
7,0.2176,2025-08-14 17:53:04.002483,2025-08-14 17:53:15.708600,0 days 00:00:11.706117,gelu,512,64,1,0.3,1e-05,3,L2,0,,mean,False,1e-05,1.0006890180026604,COMPLETE,1.0006890180026604
8,0.3443,2025-08-14 17:53:15.708600,2025-08-14 17:53:35.663140,0 days 00:00:19.954540,gelu,512,32,0,0.5,0.001,2,minmax,1,0.75,mean,True,1e-05,4.507895145489283e-05,COMPLETE,4.507895145489283e-05
9,0.3605,2025-08-14 17:53:35.663140,2025-08-14 17:53:43.469496,0 days 00:00:07.806356,relu,256,128,1,0.3,0.001,1,L2,1,,mean,False,0.0001,0.0023590073242508044,COMPLETE,0.0023590073242508044
10,0.3619,2025-08-14 17:53:43.476451,2025-08-14 17:54:04.185784,0 days 00:00:20.709333,elu,128,32,2,0.4,0.0001,2,minmax,2,0.95,max,True,1e-06,0.13589052611608599,COMPLETE,0.13589052611608599
11,0.3636,2025-08-14 17:54:04.186784,2025-08-14 17:54:36.789295,0 days 00:00:32.602511,elu,512,16,0,0.1,0.0001,1,minmax,1,0.7,mean,True,1e-05,0.36065571968386795,COMPLETE,0.36065571968386795
12,0.3625,2025-08-14 17:54:36.789295,2025-08-14 17:55:09.455672,0 days 00:00:32.666377,elu,512,16,0,0.1,0.0001,1,minmax,1,0.7,mean,True,1e-05,0.3580529225025913,COMPLETE,0.3580529225025913
13,0.3501,2025-08-14 17:55:09.456672,2025-08-14 17:55:47.756540,0 days 00:00:38.299868,elu,512,16,0,0.1,0.0001,2,minmax,2,0.8,mean,True,1e-06,0.014413031464939715,COMPLETE,0.014413031464939715
14,0.3525,2025-08-14 17:55:47.757596,2025-08-14 17:56:26.325405,0 days 00:00:38.567809,tanh,128,16,2,0.2,0.0001,2,minmax,2,0.85,max,True,1e-06,0.15308940429779494,COMPLETE,0.15308940429779494
15,0.3607,2025-08-14 17:56:26.325405,2025-08-14 17:56:42.459602,0 days 00:00:16.134197,leakyrelu,512,32,0,0.1,0.0001,1,minmax,0,0.9,mean,True,1e-05,0.18686037632813407,COMPLETE,0.18686037632813407
16,0.3495,2025-08-14 17:56:42.460601,2025-08-14 17:57:05.266273,0 days 00:00:22.805672,elu,512,32,3,0.4,1e-05,3,minmax,3,0.7,mean,True,0.0001,0.714776347112809,COMPLETE,0.714776347112809
