number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3091,2025-08-14 18:04:44.773402,2025-08-14 18:05:15.107218,0 days 00:00:30.333816,elu,512,16,0,0.2,1e-05,1,minmax,0,0.7,max,True,1e-05,0.9357542098526787,COMPLETE,0.9357542098526787
1,0.3252,2025-08-14 18:05:15.108218,2025-08-14 18:05:25.214821,0 days 00:00:10.106603,tanh,512,64,1,0.5,0.0001,1,minmax,0,0.85,max,True,1e-05,0.8287128112323798,COMPLETE,0.8287128112323798
2,0.3235,2025-08-14 18:05:25.215820,2025-08-14 18:05:37.803966,0 days 00:00:12.588146,relu,512,64,2,0.3,0.001,3,L2,3,0.8,max,True,0.0001,0.03272008253830422,COMPLETE,0.03272008253830422
3,0.3687,2025-08-14 18:05:37.804967,2025-08-14 18:05:45.158242,0 days 00:00:07.353275,elu,512,128,0,0.1,0.001,1,minmax,1,,mean,False,1e-06,0.009784077728388777,COMPLETE,0.009784077728388777
4,0.3791,2025-08-14 18:05:45.159243,2025-08-14 18:05:55.609165,0 days 00:00:10.449922,gelu,128,64,1,0.2,0.001,1,L2,1,0.9,mean,True,0.0,0.004293475347987325,COMPLETE,0.004293475347987325
5,0.2484,2025-08-14 18:05:55.610166,2025-08-14 18:06:38.337922,0 days 00:00:42.727756,relu,128,16,2,0.4,1e-05,3,minmax,1,0.85,mean,True,0.0001,0.9359748649060534,COMPLETE,0.9359748649060534
6,0.3667,2025-08-14 18:06:38.338922,2025-08-14 18:06:50.788320,0 days 00:00:12.449398,tanh,512,64,3,0.1,0.0001,3,minmax,1,0.8,mean,True,0.0,0.011908805632658327,COMPLETE,0.011908805632658327
7,0.3483,2025-08-14 18:06:50.789320,2025-08-14 18:07:29.370909,0 days 00:00:38.581589,elu,128,16,1,0.2,0.0001,2,minmax,2,0.8,max,True,0.0001,0.608798300338328,COMPLETE,0.608798300338328
8,0.3391,2025-08-14 18:07:29.371908,2025-08-14 18:07:39.137094,0 days 00:00:09.765186,gelu,128,64,0,0.3,0.0001,1,minmax,0,0.95,mean,True,1e-06,0.7548525275908099,COMPLETE,0.7548525275908099
9,0.2176,2025-08-14 18:07:39.138094,2025-08-14 18:07:48.693508,0 days 00:00:09.555414,elu,128,64,0,0.2,0.0001,1,L2,0,,mean,False,0.0001,0.9988379999755663,COMPLETE,0.9988379999755663
