number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3252,2025-08-14 18:12:16.166111,2025-08-14 18:12:21.941580,0 days 00:00:05.775469,relu,512,16,1,0.5,0.001,2,minmax,1,0.95,max,True,0.0,0.00012118676968384535,COMPLETE,0.00012118676968384535
1,0.3164,2025-08-14 18:12:21.942580,2025-08-14 18:12:24.295613,0 days 00:00:02.353033,tanh,256,128,3,0.1,0.001,3,L2,0,,max,False,1e-05,0.07530643045902252,COMPLETE,0.07530643045902252
2,0.3577,2025-08-14 18:12:24.296614,2025-08-14 18:12:30.610531,0 days 00:00:06.313917,elu,256,16,0,0.1,0.0001,3,L2,2,,max,False,1e-06,0.2942112982273102,COMPLETE,0.2942112982273102
3,0.2344,2025-08-14 18:12:30.611531,2025-08-14 18:12:35.361596,0 days 00:00:04.750065,elu,512,16,1,0.5,0.001,1,minmax,0,0.85,mean,True,0.0,0.1292792111635208,COMPLETE,0.1292792111635208
4,0.2484,2025-08-14 18:12:35.362596,2025-08-14 18:12:38.646683,0 days 00:00:03.284087,relu,128,32,0,0.2,0.0001,1,minmax,0,0.7,mean,True,1e-06,0.817625093460083,COMPLETE,0.817625093460083
5,0.2603,2025-08-14 18:12:38.647684,2025-08-14 18:12:45.185407,0 days 00:00:06.537723,gelu,128,16,1,0.3,0.0001,3,L2,2,0.85,mean,True,1e-05,0.8987074375152588,COMPLETE,0.8987074375152588
6,0.2841,2025-08-14 18:12:45.186406,2025-08-14 18:12:51.465822,0 days 00:00:06.279416,gelu,512,16,3,0.5,0.001,3,L2,2,,mean,False,0.0,0.000366956829384435,COMPLETE,0.000366956829384435
7,0.2603,2025-08-14 18:12:51.466822,2025-08-14 18:12:53.402515,0 days 00:00:01.935693,gelu,512,64,1,0.5,1e-05,1,minmax,0,,mean,False,1e-05,0.9488321542739868,COMPLETE,0.9488321542739868
8,0.2603,2025-08-14 18:12:53.403516,2025-08-14 18:12:55.240928,0 days 00:00:01.837412,relu,512,64,0,0.4,0.0001,1,L2,0,0.7,max,True,0.0,0.9272079467773438,COMPLETE,0.9272079467773438
9,0.2197,2025-08-14 18:12:55.241927,2025-08-14 18:12:57.235374,0 days 00:00:01.993447,relu,128,64,0,0.3,1e-05,1,L2,1,,mean,False,0.0001,0.9898840188980103,COMPLETE,0.9898840188980103
10,0.3452,2025-08-14 18:12:57.236373,2025-08-14 18:12:59.499897,0 days 00:00:02.263524,elu,256,128,0,0.1,0.0001,2,L2,2,,max,False,1e-06,0.7862354516983032,COMPLETE,0.7862354516983032
11,0.269,2025-08-14 18:12:59.500897,2025-08-14 18:13:01.720393,0 days 00:00:02.219496,elu,256,128,0,0.1,0.0001,2,L2,2,,max,False,1e-06,0.18837998807430267,COMPLETE,0.18837998807430267
12,0.3365,2025-08-14 18:13:01.721393,2025-08-14 18:13:05.707590,0 days 00:00:03.986197,elu,256,32,0,0.1,0.0001,2,L2,2,,max,False,1e-06,0.8557221174240113,COMPLETE,0.8557221174240113
13,0.2603,2025-08-14 18:13:05.708590,2025-08-14 18:13:08.182144,0 days 00:00:02.473554,leakyrelu,256,128,2,0.1,0.0001,3,L2,3,,max,False,1e-06,0.9071594476699829,COMPLETE,0.9071594476699829
14,0.3291,2025-08-14 18:13:08.183144,2025-08-14 18:13:10.426531,0 days 00:00:02.243387,elu,256,128,0,0.1,0.0001,2,L2,2,,max,False,1e-06,0.2916322350502014,COMPLETE,0.2916322350502014
15,0.3027,2025-08-14 18:13:10.427531,2025-08-14 18:13:16.224653,0 days 00:00:05.797122,elu,256,16,0,0.4,0.0001,2,L2,1,,max,False,0.0001,0.05487015619874001,COMPLETE,0.05487015619874001
16,0.2603,2025-08-14 18:13:16.225653,2025-08-14 18:13:18.720830,0 days 00:00:02.495177,leakyrelu,256,128,2,0.2,1e-05,3,L2,3,,max,False,1e-06,0.9343345761299133,COMPLETE,0.9343345761299133
17,0.2875,2025-08-14 18:13:18.721831,2025-08-14 18:13:22.783511,0 days 00:00:04.061680,tanh,256,32,0,0.1,0.0001,2,L2,1,,max,False,1e-06,0.34812423288822175,COMPLETE,0.34812423288822175
18,0.3336,2025-08-14 18:13:22.785512,2025-08-14 18:13:29.251959,0 days 00:00:06.466447,elu,256,16,2,0.1,0.0001,3,minmax,3,,max,False,1e-06,0.012053333222866058,COMPLETE,0.012053333222866058
19,0.2603,2025-08-14 18:13:29.252959,2025-08-14 18:13:31.578479,0 days 00:00:02.325520,elu,256,128,1,0.1,1e-05,2,L2,2,,max,False,0.0001,0.9357362985610962,COMPLETE,0.9357362985610962
20,0.2603,2025-08-14 18:13:31.579481,2025-08-14 18:13:38.051610,0 days 00:00:06.472129,elu,128,16,1,0.3,0.0001,3,L2,3,,max,False,1e-06,0.9177358031272889,COMPLETE,0.9177358031272889
21,0.3136,2025-08-14 18:13:38.052610,2025-08-14 18:13:42.043504,0 days 00:00:03.990894,elu,256,32,0,0.1,0.0001,2,L2,2,,max,False,1e-06,0.6773009657859802,COMPLETE,0.6773009657859802
22,0.254,2025-08-14 18:13:42.044504,2025-08-14 18:13:46.109748,0 days 00:00:04.065244,elu,256,32,0,0.1,0.0001,2,L2,1,,max,False,1e-06,0.726436996459961,COMPLETE,0.726436996459961
23,0.2508,2025-08-14 18:13:46.110749,2025-08-14 18:13:50.105642,0 days 00:00:03.994893,elu,256,32,0,0.1,0.0001,2,L2,2,,max,False,1e-06,0.48062177896499636,COMPLETE,0.48062177896499636
24,0.2489,2025-08-14 18:13:50.106642,2025-08-14 18:13:54.145547,0 days 00:00:04.038905,tanh,256,32,0,0.1,0.0001,2,L2,2,,max,False,1e-06,0.5060683727264405,COMPLETE,0.5060683727264405
25,0.2603,2025-08-14 18:13:54.146547,2025-08-14 18:13:58.182449,0 days 00:00:04.035902,leakyrelu,256,32,0,0.2,0.0001,2,L2,1,,max,False,1e-06,0.7798547148704529,COMPLETE,0.7798547148704529
26,0.2941,2025-08-14 18:13:58.183449,2025-08-14 18:14:00.720017,0 days 00:00:02.536568,elu,256,128,1,0.4,0.0001,3,minmax,3,0.8,max,True,1e-06,0.23271706700325012,COMPLETE,0.23271706700325012
27,0.3474,2025-08-14 18:14:00.721017,2025-08-14 18:14:02.965519,0 days 00:00:02.244502,elu,256,64,0,0.1,0.0001,2,L2,2,,max,False,0.0001,0.11614982038736343,COMPLETE,0.11614982038736343
28,0.2603,2025-08-14 18:14:02.966520,2025-08-14 18:14:05.422544,0 days 00:00:02.456024,elu,128,64,1,0.1,1e-05,3,L2,2,,max,False,0.0001,0.9825962781906128,COMPLETE,0.9825962781906128
